Artist,Song,Song_ID,Surface,Tags,Lemma,Entity
Mate Miso Kovac,Čuvajte mi pismu,Zwn2Yv0K_11,mi,Pp1-sd,ja,O
Mate Miso Kovac,Čuvajte mi pismu,Zwn2Yv0K_11,pismu,Ncnsd,pismo,O
Mate Miso Kovac,Da te nema,Zwn2Yv0K_12,Da,Cs,da,O
Mate Miso Kovac,Da te nema,Zwn2Yv0K_12,te,Pp2-sa,ti,O
Mate Miso Kovac,Da te nema,Zwn2Yv0K_12,nema,Vmr3s,nemati,O
Mate Miso Kovac,Da te sretnem za sto godina,Zwn2Yv0K_13,Da,Cs,da,O
Mate Miso Kovac,Da te sretnem za sto godina,Zwn2Yv0K_13,te,Pp2-sa,ti,O
Mate Miso Kovac,Da te sretnem za sto godina,Zwn2Yv0K_13,sretnem,Vmr1s,sresti,O
Mate Miso Kovac,Da te sretnem za sto godina,Zwn2Yv0K_13,za,Sa,za,O
Mate Miso Kovac,Da te sretnem za sto godina,Zwn2Yv0K_13,sto,Ncmsan,stol,O
Mate Miso Kovac,Da te sretnem za sto godina,Zwn2Yv0K_13,godina,Ncfpg,godina,O
Mate Miso Kovac,"Dalmacijo, sveto ime",Zwn2Yv0K_14,Dalmacijo,Npmsn,Dalmacijo,B-per
Mate Miso Kovac,"Dalmacijo, sveto ime",Zwn2Yv0K_14,",",Z,",",O
Mate Miso Kovac,"Dalmacijo, sveto ime",Zwn2Yv0K_14,sveto,Agpnsay,svet,O
Mate Miso Kovac,"Dalmacijo, sveto ime",Zwn2Yv0K_14,ime,Ncnsa,ime,O
Mate Miso Kovac,Dalmatinac,Zwn2Yv0K_15,Dalmatinac,Ncmsn,dalmatinac,O
Mate Miso Kovac,Dalmatinska,Zwn2Yv0K_16,Dalmatinska,Agpfsny,dalmatinski,B-loc
Mate Miso Kovac,Digao sam ruke od života,Zwn2Yv0K_17,Digao,Vmp-sm,dići,O
Mate Miso Kovac,Digao sam ruke od života,Zwn2Yv0K_17,sam,Var1s,biti,O
Mate Miso Kovac,Digao sam ruke od života,Zwn2Yv0K_17,ruke,Ncfpa,ruka,O
Mate Miso Kovac,Digao sam ruke od života,Zwn2Yv0K_17,od,Sg,od,O
Mate Miso Kovac,Digao sam ruke od života,Zwn2Yv0K_17,života,Ncmsg,život,O
Mate Miso Kovac,Dome moj,Zwn2Yv0K_18,Dome,Ncmsv,dom,O
Mate Miso Kovac,Dome moj,Zwn2Yv0K_18,moj,Ps1msv,moj,O
Mate Miso Kovac,Dušu sam dao,Zwn2Yv0K_19,Dušu,Ncfsa,duša,O
Mate Miso Kovac,Dušu sam dao,Zwn2Yv0K_19,sam,Var1s,biti,O
Mate Miso Kovac,Dušu sam dao,Zwn2Yv0K_19,dao,Vmp-sm,dati,O
Mate Miso Kovac,Gdje ste noćas prijatelji,Zwn2Yv0K_20,Gdje,Rgp,gdje,O
Mate Miso Kovac,Gdje ste noćas prijatelji,Zwn2Yv0K_20,ste,Var2p,biti,O
Mate Miso Kovac,Gdje ste noćas prijatelji,Zwn2Yv0K_20,noćas,Agpmpny,noćas,O
Mate Miso Kovac,Gdje ste noćas prijatelji,Zwn2Yv0K_20,prijatelji,Ncmpn,prijatelj,O
Mate Miso Kovac,"Gitaro moja, jedini druže",Zwn2Yv0K_21,Gitaro,Ncfsv,gitara,O
Mate Miso Kovac,"Gitaro moja, jedini druže",Zwn2Yv0K_21,moja,Ps1fsn,moj,O
Mate Miso Kovac,"Gitaro moja, jedini druže",Zwn2Yv0K_21,",",Z,",",O
Mate Miso Kovac,"Gitaro moja, jedini druže",Zwn2Yv0K_21,jedini,Agpmsny,jedini,O
Mate Miso Kovac,"Gitaro moja, jedini druže",Zwn2Yv0K_21,druže,Vmr3p,družiti,O
Mate Miso Kovac,Hajde živote prijatelj mi budi,Zwn2Yv0K_22,Hajde,I,hajde,O
Mate Miso Kovac,Hajde živote prijatelj mi budi,Zwn2Yv0K_22,živote,Ncmpa,život,O
Mate Miso Kovac,Hajde živote prijatelj mi budi,Zwn2Yv0K_22,prijatelj,Ncmsn,prijatelj,O
Mate Miso Kovac,Hajde živote prijatelj mi budi,Zwn2Yv0K_22,mi,Pp1-sd,ja,O
Mate Miso Kovac,Hajde živote prijatelj mi budi,Zwn2Yv0K_22,budi,Vmr3s,buditi,O
Mate Miso Kovac,Hrvatska ljubavi,Zwn2Yv0K_23,Hrvatska,Npfsn,Hrvatska,B-loc
Mate Miso Kovac,Hrvatska ljubavi,Zwn2Yv0K_23,ljubavi,Ncfsg,ljubav,O
Mate Miso Kovac,I na križu,Zwn2Yv0K_24,I,Cc,i,O
Mate Miso Kovac,I na križu,Zwn2Yv0K_24,na,Sl,na,O
Mate Miso Kovac,I na križu,Zwn2Yv0K_24,križu,Ncmsl,križ,O
Mate Miso Kovac,Igramo zadnji tango,Zwn2Yv0K_25,Igramo,Vmr1p,igrati,O
Mate Miso Kovac,Igramo zadnji tango,Zwn2Yv0K_25,zadnji,Agpmsayn,zadnji,O
Mate Miso Kovac,Igramo zadnji tango,Zwn2Yv0K_25,tango,Ncmsan,tango,O
Mate Miso Kovac,Ivana,Zwn2Yv0K_26,Ivana,Npfsn,Ivana,B-per
Mate Miso Kovac,Izajdi na prozor (Klapa Šibenik),Zwn2Yv0K_27,Izajdi,Ncnpn,izajde,O
Mate Miso Kovac,Izajdi na prozor (Klapa Šibenik),Zwn2Yv0K_27,na,Sa,na,O
Mate Miso Kovac,Izajdi na prozor (Klapa Šibenik),Zwn2Yv0K_27,prozor,Ncmsan,prozor,O
Mate Miso Kovac,Izajdi na prozor (Klapa Šibenik),Zwn2Yv0K_27,(,Z,(,O
Mate Miso Kovac,Izajdi na prozor (Klapa Šibenik),Zwn2Yv0K_27,Klapa,Ncfsn,klapa,B-org
Mate Miso Kovac,Izajdi na prozor (Klapa Šibenik),Zwn2Yv0K_27,Šibenik,Npmsn,Šibenik,I-org
Mate Miso Kovac,Izajdi na prozor (Klapa Šibenik),Zwn2Yv0K_27,),Z,),O
Mate Miso Kovac,Ja bez tebe sreće nemam,Zwn2Yv0K_28,Ja,Pp1-sn,ja,O
Mate Miso Kovac,Ja bez tebe sreće nemam,Zwn2Yv0K_28,bez,Sg,bez,O
Mate Miso Kovac,Ja bez tebe sreće nemam,Zwn2Yv0K_28,tebe,Agpfsgy,Tebe,O
Mate Miso Kovac,Ja bez tebe sreće nemam,Zwn2Yv0K_28,sreće,Ncfsg,sreća,O
Mate Miso Kovac,Ja bez tebe sreće nemam,Zwn2Yv0K_28,nemam,Var1s,nemati,O
Mate Miso Kovac,Ja nemam više razloga da živim,Zwn2Yv0K_29,Ja,Pp1-sn,ja,O
Mate Miso Kovac,Ja nemam više razloga da živim,Zwn2Yv0K_29,nemam,Vmr1s,nemati,O
Mate Miso Kovac,Ja nemam više razloga da živim,Zwn2Yv0K_29,više,Rgc,mnogo,O
Mate Miso Kovac,Ja nemam više razloga da živim,Zwn2Yv0K_29,razloga,Ncmpg,razlog,O
Mate Miso Kovac,Ja nemam više razloga da živim,Zwn2Yv0K_29,da,Cs,da,O
Mate Miso Kovac,Ja nemam više razloga da živim,Zwn2Yv0K_29,živim,Vmr1s,živjeti,O
Mate Miso Kovac,Ja odlazim (Ya me voi),Zwn2Yv0K_30,Ja,Pp1-sn,ja,O
Mate Miso Kovac,Ja odlazim (Ya me voi),Zwn2Yv0K_30,odlazim,Vmr1s,odlaziti,O
Mate Miso Kovac,Ja odlazim (Ya me voi),Zwn2Yv0K_30,(,Z,(,O
Mate Miso Kovac,Ja odlazim (Ya me voi),Zwn2Yv0K_30,Ya,Xf,Ya,B-misc
Mate Miso Kovac,Ja odlazim (Ya me voi),Zwn2Yv0K_30,me,Xf,ja,I-misc
Mate Miso Kovac,Ja odlazim (Ya me voi),Zwn2Yv0K_30,voi,Xf,voi,I-misc
Mate Miso Kovac,Ja odlazim (Ya me voi),Zwn2Yv0K_30,),Z,),O
Mate Miso Kovac,Ja želim mir,Zwn2Yv0K_31,Ja,Pp1-sn,ja,O
Mate Miso Kovac,Ja želim mir,Zwn2Yv0K_31,želim,Vmr1s,željeti,O
Mate Miso Kovac,Ja želim mir,Zwn2Yv0K_31,mir,Ncmsan,mir,O
