Artist,Song,Song_ID,Surface,Tags,Lemma,Entity
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,Jer,Cs,jer,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,još,Rgp,još,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,misliš,Vmr2s,misliti,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,kadar,Ncmsan,kadar,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,sam,Var1s,biti,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,Da,Cs,da,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,pravu,Agpfsay,prav,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,ljubav,Ncfsa,ljubav,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,dam,Vmr1s,dati,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,Za,Sa,za,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,igru,Ncfsa,igra,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,i,Cc,i,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,žalost,Ncfsa,žalost,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,znaš,Vmr2s,znati,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,I,Cc,i,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,osmijeh,Ncmsn,osmijeh,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,da,Cs,da,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,meni,Pp1-sd,ja,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,daš,Vmr2s,dati,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,Za,Sa,za,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,tvoj,Ps2msan,tvoj,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,svijet,Ncmsan,svijet,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,je,Var3s,biti,O
