Artist,Song,Song_ID,Lyrics,Url
Novi fosili,Noćas umiru stare ljubavi,oOIOCzZV_24,"Ako ti kazem
Da te volim jos
Hoce li andeli znati naci
Tvoj put
Ako te zagrlim
Njezno
Najnjeznije
Hoce li ptice krenuti
Na moj znak

Nocas umiru stare ljubavi
Suti slomljeno srce
Sutimo mi
Osjecas li me
Osjecas li kako boli
Nocas umiru stare ljubavi

Ako ti kazem
Da te volim jos
Hoce li andeli znati naci
Tvoj put
Ako te poljubim tiho
Tiho ko san
Hoces li ostati
Sa mnom jos jedan dan",https://cuspajz.com//tekstovi-pjesama/pjesma/novi-fosili/nocas-umiru-stare-ljubavi.html
Novi fosili,Obriši suze generacijo,oOIOCzZV_25,,https://cuspajz.com//tekstovi-pjesama/pjesma/novi-fosili/obrisi-suze-generacijo.html
Novi fosili,Pazi da ne nazebeš,oOIOCzZV_26,"Idi sad
Ponesi sve sto zazelis
Idi sad
Pokupi fotografije
Idi sad
Obuci demper hladno je
I pazi da ne nazebes

Idi sad
Jer srce je tamno jezero
Idi sad
Cujes li jesen dolazi
Idi sad
Povuci vrata za sobom
I pazi da ne nazebes

Ponesi svoje stvari sve
Al' ostavi cipele
One stare najdraze
Pa jednom zbog njih vrati se
I pazi da ne nazebes

Idi sad
Napusti sve i odlazi
Idi sad
Zbog dima ova suza ja
Idi sad
Jos malo pa zima ce
I pazi da ne nazebes",https://cuspajz.com//tekstovi-pjesama/pjesma/novi-fosili/pazi-da-ne-nazebes.html
Novi fosili,Poslije svega,oOIOCzZV_27,"Prijatelji dolaze na vrijeme
I vec su upaljene svijece
Darovi se dijele
Prava slika srece

I noc se ova Silverstarska trosi
Uz poljupce i kolace
I mnogo lijepih zelja
A mozda se nekom place

Kad odu svi
Kad ostanemo sami
U nasoj sobi
Sami ja i ti

Kad odu svi
U praznickoj tami
Bez nade i snova
Ostat cemo mi

I ti ces reci
Ti ces samo hladno raci
Sretna Nova Sretna Nova

Dimnjacar zadnji ide niz cestu
Jos se piju razna pica
Jos minuta i ponoc tuce
Nasoj ljubavi bez pokrica",https://cuspajz.com//tekstovi-pjesama/pjesma/novi-fosili/poslije-svega.html
Novi fosili,Radije budi mi brat,oOIOCzZV_28,"Ponovo te vidam
Uvijek ides sam
Tvoj sneni pogled
Budi sjecanja

I sve mi se vraca
Snjezna lavina
Sad kad vise namam
Nista da ti dam

Radije budi mi brat
I zauvjek bit ces mi drag
Nemoj pokvariti sad
Radije budi mi brat

Pricas mi price
Ja te dobro znam
Ostao si isti
Hiljadu snova na sat

I sve mi se vraca
Snjezna lavina
Sad kad vise namam
Nista da ti dam",https://cuspajz.com//tekstovi-pjesama/pjesma/novi-fosili/radije-budi-mi-brat.html
Novi fosili,"Reci mi tiho, tiho",oOIOCzZV_29,"Kada more susti, kada zvijezde gore
kada zelis ljubav od jutra do zore
reci mi tiho, reci mi najtise
samo ja cu cuti ja i nitko vise

Ako neka tuga tvoje srce steze
ako neka zalost na dusu ti legne
sapni mi tiho, sapni mi najtise
samo ja cu cuti, ja i nitko vise

Reci mi tiho, tiho, reci mi najtise
samo ja cu sve to cuti
samo ja i nitko vise
pricaj mi tiho, tiho, pricaj mi najtise
samo ja cu sve to znati
samo ja i nitko vise

Kad pozelis opet djetinstvo u luci
miris toplog kruha u majcinoj ruci
reci mi to tiho, reci mi najtise
samo ja cu cuti ja i nitko vise

A kad netko drugi dusu ti ukrade
svejedno mi reci, reci mi najtise
i neka je tesko i neka bez nade
samo ja cu znati, ja i nitko vise

Reci mi tiho, tiho
reci mi najtise
samo ja cu sve to cuti
samo ja i nitko vise",https://cuspajz.com//tekstovi-pjesama/pjesma/novi-fosili/reci-mi-tiho-tiho.html
Novi fosili,Samo mi se javi,oOIOCzZV_30,"Ugasili smo davno
Petrolejke i luci
I posjekli su kesten
Za telefonske zice

Sad mogu na daleko
Da pitam gdje su ptice
I kakao sada zivis
U nasoj praznoj kuci

U svakom ne'ko brine
U svakom ne'ko cami
I stignemo pred vrata
Al' bojimo se uci

A tako malo tako malo treba
Kad misle da su sami
Da zazvoni telefon
U nasoj praznoj kuci

Reci da ni ovo
Nije tako lose
Reci da je tesko
Reci sto god hoces

Al' samo mi se javi
Samo se oglasi
Da ti makar telefonom
Ljubim sjede vlasi",https://cuspajz.com//tekstovi-pjesama/pjesma/novi-fosili/samo-mi-se-javi.html
Novi fosili,Sanjaj me,oOIOCzZV_31,"Ugasnut će jednom ljubav naša
negdje drugdje gnijezda ćemo sviti
uspomene odnijet će vrijeme
u albumu ni slike neće biti

Sanjaj me, sanjaj me noćas
kad za me nema spokoja ni snova
noćas me sanjaj jer možda već sutra
u snove ti uđe ljubav nova",https://cuspajz.com//tekstovi-pjesama/pjesma/novi-fosili/sanjaj-me.html
Novi fosili,Simpatija,oOIOCzZV_32,"Kad ovu noć okreneš zadnji list
i tiho već toneš u san
još pomisli na one koji
sad nasred ceste su svoj našli stan.
I samo to dovoljno bit će znaj,
i samo to bit će im sve

Simpatija za onog tko je sad
već napustio posljednje sne,
već napustio posljednje sne.

Jer ovaj svijet ne žrei znati to
i tuđu bol krije od nas.
Jer ovaj svijet što gleda zvijezda svod
neće ljubavi da sluša glas.

I samo to dovoljni bit će znaj,
i samo to bit će im sve.

Simpatija za onog tko je sad
već napustio posljednje sne,
već napustio posljednje sne.

I samo to dovoljni bit će znaj,
i samo to bit će im sve.

Simpatija za onog tko je sad
već napustio posljednje sne,
već napustio posljednje sne.",https://cuspajz.com//tekstovi-pjesama/pjesma/novi-fosili/simpatija.html
Novi fosili,Sklopi oči,oOIOCzZV_33,"Sklopi oci kad zazelis da me vidis
jer ako me stvarno volis
tada samo sklopi oci
i ne brini ja cu doci.

Sklopi oci kad god utjeha ti treba
a nje nema ni sa zemlje ni sa neba
tada samo sklopi oci
i ne brini ja cu doci.

Sklopi oci kad si tuzna
i kad places u samoci
tada samo sklopi oci
i ne brini ja cu doci.

Ako jednom ipak krenes
s nekim drugim trazit srecu
uzalud ces oci sklapat
i uzalud ces mene zvati.

Jer kad jednom ipak krenes
s nekim drugim trazit srecu
znaj da vise, nikad vise
ja ti doci necu.

Sklopi oci kad zazelis da me vidis
jer ako me stvarno volis
tada samo sklopi oci
i ne brini ja cu doci.",https://cuspajz.com//tekstovi-pjesama/pjesma/novi-fosili/sklopi-oci.html
