lemma,upos,Artist_name,Song,Song_ID,Lyrics_url,Views
Zagreb,PROPN,Prljavo Kazalište,"Bye, Bye",Xp4QBL1e_1_14,"https://tekstovi.net/2,206,11806.html",26325
Split,PROPN,Prljavo Kazalište,"Bye, Bye",Xp4QBL1e_1_14,"https://tekstovi.net/2,206,11806.html",26325
Knin,PROPN,Prljavo Kazalište,"Bye, Bye",Xp4QBL1e_1_14,"https://tekstovi.net/2,206,11806.html",26325
Gospić,PROPN,Prljavo Kazalište,"Bye, Bye",Xp4QBL1e_1_14,"https://tekstovi.net/2,206,11806.html",26325
Karlovac,PROPN,Prljavo Kazalište,"Bye, Bye",Xp4QBL1e_1_14,"https://tekstovi.net/2,206,11806.html",26325
Cobra,PROPN,Prljavo Kazalište,Cobra Tref,Xp4QBL1e_1_16,"https://tekstovi.net/2,206,13951.html",15919
T.,PROPN,Prljavo Kazalište,Cobra Tref,Xp4QBL1e_1_16,"https://tekstovi.net/2,206,13951.html",15919
Bog,PROPN,Prljavo Kazalište,Cobra Tref,Xp4QBL1e_1_16,"https://tekstovi.net/2,206,13951.html",15919
Davorin,PROPN,Prljavo Kazalište,Crno bijeli svijet,Xp4QBL1e_1_18,https://lyricstranslate.com/en/crno-bijeli-svijet-black-and-white-world.html,53720
Bogović,PROPN,Prljavo Kazalište,Crno bijeli svijet,Xp4QBL1e_1_18,https://lyricstranslate.com/en/crno-bijeli-svijet-black-and-white-world.html,53720
Sezdeset,PROPN,Prljavo Kazalište,Dani ponosa i slave,Xp4QBL1e_1_21,"https://tekstovi.net/2,206,14012.html",32506
Božuri,PROPN,Prljavo Kazalište,Devedeseta,Xp4QBL1e_1_22,https://lyricstranslate.com/en/devedeseta-ninety.html,24830
Bog,PROPN,Prljavo Kazalište,Devedeseta,Xp4QBL1e_1_22,https://lyricstranslate.com/en/devedeseta-ninety.html,24830
Odavde,PROPN,Prljavo Kazalište,Devedeseta,Xp4QBL1e_1_22,https://lyricstranslate.com/en/devedeseta-ninety.html,24830
Bleiburg,PROPN,Prljavo Kazalište,Devedeseta,Xp4QBL1e_1_22,https://lyricstranslate.com/en/devedeseta-ninety.html,24830
Montgomery,PROPN,Prljavo Kazalište,Dobar vjetar u leđa,Xp4QBL1e_1_26,https://lyricstranslate.com/en/prljavo-kazali%C5%A1te-dobar-vjetar-u-le%C4%91a-lyrics.html,20634
Clift,PROPN,Prljavo Kazalište,Dobar vjetar u leđa,Xp4QBL1e_1_26,https://lyricstranslate.com/en/prljavo-kazali%C5%A1te-dobar-vjetar-u-le%C4%91a-lyrics.html,20634
Gospod,PROPN,Prljavo Kazalište,"Dođi sada, Gospode",Xp4QBL1e_1_29,https://cuspajz.com//tekstovi-pjesama/pjesma/prljavo-kazaliste/dodji-sada-gospode.html,527
Kumrovec,PROPN,Prljavo Kazalište,Drugovima vise ja ne vjerujem,Xp4QBL1e_1_30,"https://tekstovi.net/2,206,22851.html",26875
James,PROPN,Prljavo Kazalište,Heroj ulice,Xp4QBL1e_1_33,https://lyricstranslate.com/en/heroj-ulice-road-hero.html,186568
Bond,PROPN,Prljavo Kazalište,Heroj ulice,Xp4QBL1e_1_33,https://lyricstranslate.com/en/heroj-ulice-road-hero.html,186568
Romeo,PROPN,Prljavo Kazalište,Heroj ulice,Xp4QBL1e_1_33,https://lyricstranslate.com/en/heroj-ulice-road-hero.html,186568
Juliet,PROPN,Prljavo Kazalište,Heroj ulice,Xp4QBL1e_1_33,https://lyricstranslate.com/en/heroj-ulice-road-hero.html,186568
Zlatar,PROPN,Prljavo Kazalište,Ipak,Xp4QBL1e_1_35,"https://tekstovi.net/2,206,31711.html",39496
