Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Album_title_discogs,Album_year_discogs,Featuring_discogs,Album_year_title_discogs,All_albums_discogs
Ivan Zak,Ivan Zak,Naučila Si Me,,Bolja Od Najbolje,2012.0,,2012.0-Bolja Od Najbolje,2012.0-Bolja Od Najbolje
Ivan Zak,Ivan Zak,Ilegala,,Bolja Od Najbolje,2012.0,,2012.0-Bolja Od Najbolje,2012.0-Bolja Od Najbolje
Ivan Zak,Ivan Zak,Nepobjediva,,Bolja Od Najbolje,2012.0,,2012.0-Bolja Od Najbolje,2012.0-Bolja Od Najbolje
Ivan Zak,Ivan Zak,U Tvome Telefonu,,Bolja Od Najbolje,2012.0,,2012.0-Bolja Od Najbolje,2012.0-Bolja Od Najbolje
Ivan Zak,Ivan Zak,Kosa S Mog Kaputa,,Bolja Od Najbolje,2012.0,,2012.0-Bolja Od Najbolje,2012.0-Bolja Od Najbolje
Ivan Zak,Ivan Zak,Slaži Još Večeras,,Bolja Od Najbolje,2012.0,,2012.0-Bolja Od Najbolje,2012.0-Bolja Od Najbolje
Ivan Zak,Ivan Zak,Neostvarena Želja,,Bolja Od Najbolje,2012.0,,2012.0-Bolja Od Najbolje,2012.0-Bolja Od Najbolje
Ivan Zak,Ivan Zak,Tko Mi Te Krade Remix,,Bolja Od Najbolje,2012.0,,2012.0-Bolja Od Najbolje,2012.0-Bolja Od Najbolje
Ivan Zak,Ivan Zak,Jedan U Nizu,,Usne Varane,2015.0,,2015.0-Usne Varane,2015.0-Usne Varane
Ivan Zak,Ivan Zak,Pretjerujem,,Usne Varane,2015.0,,2015.0-Usne Varane,2015.0-Usne Varane
Ivan Zak,Ivan Zak,Ne Pitaš Za Mene,,Usne Varane,2015.0,,2015.0-Usne Varane,2015.0-Usne Varane
Ivan Zak,Ivan Zak,Usne Varane,,Usne Varane,2015.0,,2015.0-Usne Varane,2015.0-Usne Varane
Ivan Zak,Ivan Zak,Jedna Noć,,Usne Varane,2015.0,,2015.0-Usne Varane,2015.0-Usne Varane
Ivan Zak,Ivan Zak,Ruže,,Usne Varane,2015.0,,2015.0-Usne Varane,2015.0-Usne Varane
Ivan Zak,Ivan Zak,Koliko Sam Tvoj,,Usne Varane,2015.0,,2015.0-Usne Varane,2015.0-Usne Varane
Ivan Zak,Ivan Zak,Njeno Ime,,Usne Varane,2015.0,,2015.0-Usne Varane,2015.0-Usne Varane
Ivan Zak,Ivan Zak,Škripi Veza,,Usne Varane,2015.0,,2015.0-Usne Varane,2015.0-Usne Varane
Ivan Zak,Ivan Zak,Daleko,,Usne Varane,2015.0,,2015.0-Usne Varane,2015.0-Usne Varane
Ivan Zak,Ivan Zak,Duguješ Mi Ljeto,,Usne Varane,2015.0,,2015.0-Usne Varane,2015.0-Usne Varane
Ivan Zak,Ivan Zak,Nikada Tvoj,,Usne Varane,2015.0,,2015.0-Usne Varane,2015.0-Usne Varane
Ivan Zak,Ivan Zak,Za Ljubav Rođeni,3:24,Za Ljubav Rođeni,2016.0,,2016.0-Za Ljubav Rođeni,2016.0-Za Ljubav Rođeni/2019.0-Milion
Ivan Zak,Ivan Zak,Ničija,3:34,Ničija,2017.0,,2017.0-Ničija,2017.0-Ničija/2019.0-Milion
Ivan Zak,Ivan Zak,Sama,,Milion,2019.0,,2019.0-Milion,2019.0-Milion
Ivan Zak,Ivan Zak,Milion,,Milion,2019.0,,2019.0-Milion,2019.0-Milion
Ivan Zak,Ivan Zak,Idu Dani,,Milion,2019.0,,2019.0-Milion,2019.0-Milion
Ivan Zak,Ivan Zak,Da Si Tu,,Milion,2019.0,,2019.0-Milion,2019.0-Milion
Ivan Zak,Ivan Zak,Dar Mar,,Milion,2019.0,,2019.0-Milion,2019.0-Milion
Ivan Zak,Ivan Zak,Laku Noć,,Milion,2019.0,,2019.0-Milion,2019.0-Milion
Ivan Zak,Ivan Zak,Sve Si Moje,,Milion,2019.0,,2019.0-Milion,2019.0-Milion
Ivan Zak,Ivan Zak,Mala Princeza,,Milion,2019.0,,2019.0-Milion,2019.0-Milion
Ivan Zak,Ivan Zak,Naj Naj,,Milion,2019.0,Majda Šušelj Tara,2019.0-Milion,2019.0-Milion
Ivan Zak,Ivan Zak,Meni Se S Tobom,,Milion,2019.0,,2019.0-Milion,2019.0-Milion
Ivan Zak,Ivan Zak,Još Mi Fališ Ti,,Milion,2019.0,,2019.0-Milion,2019.0-Milion
Ivan Zak,Ivan Zak,Ja Ti Se Kunem,,Milion,2019.0,,2019.0-Milion,2019.0-Milion
Ivan Zak,Ivan Zak,Puno Je Želja,,Milion,2019.0,,2019.0-Milion,2019.0-Milion
