Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Album_title_discogs,Album_year_discogs,Music By_discogs,Arranged By_discogs,Piano_discogs,Saxophone [Solo]_discogs,Soloist_discogs,Vocals_discogs,Featuring_discogs,Choir_discogs,Lyrics By_discogs,Written-By_discogs,Backing Vocals_discogs,Adapted By_discogs,Saxophone_discogs,Tamburitza [Bisernica_discogs,Brač]_discogs,Vocals [Second]_discogs,Alto Saxophone_discogs,Vocals [Female]_discogs,Guitar_discogs,Tamburitza [Prim]_discogs,Saxophone [Alto]_discogs,Tamburitza_discogs,Performer_discogs,Strings [Šargija]_discogs,Violin_discogs,Tambura_discogs,Featuring [Duet]_discogs,Arranged By [Uncredited]_discogs,Vocals [Duet] _discogs,Vocals [Duet]_discogs,Album_year_title_discogs,All_albums_discogs
Željko Bebek,Željko Bebek,Šta Je Meni Ovo Trebalo,4:00,...A Svemir Miruje,,,,,,,,,,,Miroslav Drljača Rus,,,,,,,,,,,,,,,,,,,,,nan-...A Svemir Miruje,nan-...A Svemir Miruje/nan-Sve Najbolje/nan-18 Najvećih Hitova/nan-Zlatna Kolekcija/nan-Hit Do Hita/nan-Antologija / Bebek / 40 Godina
Željko Bebek,Željko Bebek,Ono Malo Tvoje Duše,3:46,...A Svemir Miruje,,Đorđe Novković,,,,,,,,Miroslav Drljača Rus,,,,,,,,,,,,,,,,,,,,,,nan-...A Svemir Miruje,nan-...A Svemir Miruje
Željko Bebek,Željko Bebek,Crna Žena,3:33,...A Svemir Miruje,,Zrinko Tutić,,,,,,,,Dragoslav Guzina,,,,,,,,,,,,,,,,,,,,,,nan-...A Svemir Miruje,nan-...A Svemir Miruje
Željko Bebek,Željko Bebek,Slijepi Putnik,3:46,...A Svemir Miruje,,Zrinko Tutić,,,,,,,,Arsen Dedić,,,,,,,,,,,,,,,,,,,,,,nan-...A Svemir Miruje,nan-...A Svemir Miruje
Željko Bebek,Željko Bebek,Nemoj Mala Hoću-Neću,3:50,...A Svemir Miruje,,Zrinko Tutić,,,,,,,,Zlatan Stipišić Gibonni,,,,,,,,,,,,,,,,,,,,,,nan-...A Svemir Miruje,nan-...A Svemir Miruje/nan-Zlatna Kolekcija/nan-Antologija / Bebek / 40 Godina
Željko Bebek,Željko Bebek,Ja Bih Tebi Sve Oprostio,5:28,...A Svemir Miruje,,Azur Pašić,,,,,,,,Alka Vuica,,,,,,,,,,,,,,,,,,,,,,nan-...A Svemir Miruje,nan-...A Svemir Miruje
Željko Bebek,Željko Bebek,S Drugim Moja Draga Spava,4:20,...A Svemir Miruje,,Đorđe Novković,,,,,,,,Miroslav Drljača Rus,,,,,,,,,,,,,,,,,,,,,,nan-...A Svemir Miruje,nan-...A Svemir Miruje/nan-Sve Najbolje/nan-Zlatna Kolekcija
Željko Bebek,Željko Bebek,"Idu Dani, Lete Godine",4:15,...A Svemir Miruje,,Đorđe Novković,,,,,,,,Miroslav Drljača Rus,,,,,,,Zlatan Stipišić Gibonni,,,,,,,,,,,,,,,nan-...A Svemir Miruje,nan-...A Svemir Miruje/nan-Sve Najbolje/nan-Zlatna Kolekcija/nan-Antologija / Bebek / 40 Godina
Željko Bebek,Željko Bebek,...A Svemir Miruje,4:40,...A Svemir Miruje,,,,,,,,,,,Miroslav Drljača Rus,,,,,,,Marko Križan,Maja Blagdan,,,,,,,,,,,,,nan-...A Svemir Miruje,nan-...A Svemir Miruje/nan-18 Najvećih Hitova
Željko Bebek,Željko Bebek,Sarajevo (In The Ghetto),,Sarajevo (In The Ghetto) / Sve Me Noćas Podsjeća Na Tebe,1993.0,Mac Davis,Fedor Boić,,,,,,,Miroslav Drljača Rus,,,,,,,,,,,,,,,,,,,,,,1993.0-Sarajevo (In The Ghetto) / Sve Me Noćas Podsjeća Na Tebe,1993.0-Sarajevo (In The Ghetto) / Sve Me Noćas Podsjeća Na Tebe
