Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Written-By_discogs,Album_title_discogs,Album_year_discogs,Lyrics By_discogs,Music By_discogs,Arranged By_discogs,Adapted By_discogs,Keyboards_discogs,Lead Vocals_discogs,Film Director_discogs,Featuring_discogs,Album_year_title_discogs,All_albums_discogs
Divlje Jagode,Divlje Jagode,Osjećam gola si ispod haljine,,,Najlepše Balade - Krivo Je More,2004.0,,,,,,,,,2004.0-Najlepše Balade - Krivo Je More,2004.0-Najlepše Balade - Krivo Je More
Divlje Jagode,Divlje Jagode,Svi nisu kao ja,,,Najlepše Balade - Krivo Je More,2004.0,,,,,,,,,2004.0-Najlepše Balade - Krivo Je More,2004.0-Najlepše Balade - Krivo Je More
Divlje Jagode,Divlje Jagode,"Meni je lijepo, ja volim slijepo",,,Najlepše Balade - Krivo Je More,2004.0,,,,,,,,,2004.0-Najlepše Balade - Krivo Je More,2004.0-Najlepše Balade - Krivo Je More
Divlje Jagode,Divlje Jagode,Motori 2003.,4:29,,The Very Best Of - Let Na Drugi Svijet,,,,,,,,,,nan-The Very Best Of - Let Na Drugi Svijet,nan-The Very Best Of - Let Na Drugi Svijet/2006.0-Collection
Divlje Jagode,Divlje Jagode,Shayla,4:47,,The Very Best Of - Let Na Drugi Svijet,,,,,,,,,,nan-The Very Best Of - Let Na Drugi Svijet,nan-The Very Best Of - Let Na Drugi Svijet/nan-Wild Strawberries/nan-Collection/2018.0-Original Album Collection Vol. 1
Divlje Jagode,Divlje Jagode,Fire On The Water,3:32,,The Very Best Of - Let Na Drugi Svijet,,,,,,,,,,nan-The Very Best Of - Let Na Drugi Svijet,nan-The Very Best Of - Let Na Drugi Svijet/nan-Wild Strawberries/nan-Collection/2008.0-The Ultimate Collection/2018.0-Original Album Collection Vol. 1
Divlje Jagode,Divlje Jagode,Wild Boys,3:08,,The Very Best Of - Let Na Drugi Svijet,,,,,,,,,,nan-The Very Best Of - Let Na Drugi Svijet,nan-The Very Best Of - Let Na Drugi Svijet/nan-Wild Strawberries/nan-Collection/2008.0-The Ultimate Collection/2018.0-Original Album Collection Vol. 1
Divlje Jagode,Divlje Jagode,Krivo Je More New Version,3:45,,The Very Best Of - Let Na Drugi Svijet,,,,,,,,,,nan-The Very Best Of - Let Na Drugi Svijet,nan-The Very Best Of - Let Na Drugi Svijet
Divlje Jagode,Divlje Jagode,Meni Je Lijepo Ja Volim Slijepo,5:28,,The Very Best Of - Let Na Drugi Svijet,,,,,,,,,,nan-The Very Best Of - Let Na Drugi Svijet,nan-The Very Best Of - Let Na Drugi Svijet
Divlje Jagode,Divlje Jagode,Magic Love,5:17,,The Very Best Of - Let Na Drugi Svijet,,,,,,,,,,nan-The Very Best Of - Let Na Drugi Svijet,"nan-The Very Best Of - Let Na Drugi Svijet/nan-Collection/2011.0-Ne, Nisam Ja/2011.0-Najljepše Ljubavne Pjesme - The Love Collection/2018.0-Original Album Collection Vol. 2"
Divlje Jagode,Divlje Jagode,She's Gone,4:59,,The Very Best Of - Let Na Drugi Svijet,,,,,,,,,,nan-The Very Best Of - Let Na Drugi Svijet,nan-The Very Best Of - Let Na Drugi Svijet/nan-Collection/2018.0-Original Album Collection Vol. 2
Divlje Jagode,Divlje Jagode,Piramida,,,Piramida,,Đina Lacko,,,,,,,,nan-Piramida,nan-Piramida/nan-Collection/2008.0-The Ultimate Collection/nan-The Ultimate Collection
Divlje Jagode,Divlje Jagode,Dancing In The Jungle,,,Wild Strawberries,,,,,,,,,,nan-Wild Strawberries,nan-Wild Strawberries/nan-Collection/2018.0-Original Album Collection Vol. 1
Divlje Jagode,Divlje Jagode,Snakes Can't Dance,,,Wild Strawberries,,,,,,,,,,nan-Wild Strawberries,nan-Wild Strawberries/nan-Collection/2018.0-Original Album Collection Vol. 1
Divlje Jagode,Divlje Jagode,Gipsy Heart,,,Wild Strawberries,,,,,,,,,,nan-Wild Strawberries,nan-Wild Strawberries
Divlje Jagode,Divlje Jagode,Caught In The Trap,,,Wild Strawberries,,,,,,,,,,nan-Wild Strawberries,nan-Wild Strawberries/nan-Collection/2018.0-Original Album Collection Vol. 1
Divlje Jagode,Divlje Jagode,Angel In White,,,Wild Strawberries,,,,,,,,,,nan-Wild Strawberries,nan-Wild Strawberries/nan-Collection/2018.0-Original Album Collection Vol. 1
Divlje Jagode,Divlje Jagode,Love Walked Away,,,Wild Strawberries,,,,,,,,,,nan-Wild Strawberries,nan-Wild Strawberries/nan-Collection/2018.0-Original Album Collection Vol. 1
Divlje Jagode,Divlje Jagode,Čekam Sunce Da Zađe,,,Collection,,,,,,,,,,nan-Collection,nan-Collection/2018.0-Original Album Collection Vol. 1
Divlje Jagode,Divlje Jagode,Za One Do Tebe,,,Collection,,,,,,,,,,nan-Collection,nan-Collection
Divlje Jagode,Divlje Jagode,Nasmješi Se,,,Collection,,,,,,,,,,nan-Collection,nan-Collection
Divlje Jagode,Divlje Jagode,Zagrizi Rock'n'roll,,,Collection,,,,,,,,,,nan-Collection,nan-Collection/2018.0-Original Album Collection Vol. 1
Divlje Jagode,Divlje Jagode,Morrison (Uvod),,,Collection,,,,,,,,,,nan-Collection,nan-Collection/2018.0-Original Album Collection Vol. 1
Divlje Jagode,Divlje Jagode,Hopa Cupa,,,Collection,,,,,,,,,,nan-Collection,nan-Collection/2008.0-The Ultimate Collection/2018.0-Original Album Collection Vol. 1
Divlje Jagode,Divlje Jagode,Gipsy,,,Collection,,,,,,,,,,nan-Collection,nan-Collection
Divlje Jagode,Divlje Jagode,"Ne Brini Sestro, Večeras Sam Tvoj",,,Collection,,,,,,,,,,nan-Collection,nan-Collection/2018.0-Original Album Collection Vol. 2
Divlje Jagode,Divlje Jagode,"Osjećam, Gola Si Ispod Haljine",,,Collection,,,,,,,,,,nan-Collection,nan-Collection/2018.0-Original Album Collection Vol. 2
Divlje Jagode,Divlje Jagode,"Labude, Kad Rata Ne Bude",,,Collection,,,,,,,,,,nan-Collection,nan-Collection
Divlje Jagode,Divlje Jagode,Take A Look In The Mirror,,,Collection,,,,,,,,,,nan-Collection,nan-Collection/2018.0-Original Album Collection Vol. 2
Divlje Jagode,Divlje Jagode,Stranger,,,Collection,,,,,,,,,,nan-Collection,nan-Collection/2018.0-Original Album Collection Vol. 2
Divlje Jagode,Divlje Jagode,Can't Stop,,,Collection,,,,,,,,,,nan-Collection,nan-Collection/2018.0-Original Album Collection Vol. 2
Divlje Jagode,Divlje Jagode,Crazy Nights,,,Collection,,,,,,,,,,nan-Collection,nan-Collection/2018.0-Original Album Collection Vol. 2
Divlje Jagode,Divlje Jagode,Love Is In Your Hands,,,Collection,,,,,,,,,,nan-Collection,nan-Collection/2011.0-Najljepše Ljubavne Pjesme - The Love Collection/2018.0-Original Album Collection Vol. 2
Divlje Jagode,Divlje Jagode,Life Story,,,Collection,,,,,,,,,,nan-Collection,nan-Collection/2018.0-Original Album Collection Vol. 2
Divlje Jagode,Divlje Jagode,Morrison Uvod,1:00,,The Ultimate Collection,2008.0,,,,,,,,,2008.0-The Ultimate Collection,2008.0-The Ultimate Collection
Divlje Jagode,Divlje Jagode,Što Je To U Tebi,4:05,,The Ultimate Collection,2008.0,,,,,,,,,2008.0-The Ultimate Collection,2008.0-The Ultimate Collection/nan-The Ultimate Collection
Divlje Jagode,Divlje Jagode,Sto Vijekova,4:26,,The Ultimate Collection,2008.0,,,,,,,,,2008.0-The Ultimate Collection,2008.0-The Ultimate Collection/nan-The Ultimate Collection
Divlje Jagode,Divlje Jagode,Krivo Je More (New Version),4:17,,The Ultimate Collection,,Ante Janković,,,,,,,,nan-The Ultimate Collection,nan-The Ultimate Collection
Divlje Jagode,Divlje Jagode,"Ne, Nisam Ja (Official Video)",,,"Ne, Nisam Ja",2011.0,Sead Lipovača,Sead Lipovača,,,,,Muris Beglerović,,"2011.0-Ne, Nisam Ja","2011.0-Ne, Nisam Ja"
Divlje Jagode,Divlje Jagode,"Ne, Nisam Ja (Radio Version)",,,"Ne, Nisam Ja",2011.0,Sead Lipovača,Sead Lipovača,,,,,,,"2011.0-Ne, Nisam Ja","2011.0-Ne, Nisam Ja"
Divlje Jagode,Divlje Jagode,"Ne, Nisam Ja",4:22,,Najljepše Ljubavne Pjesme - The Love Collection,2011.0,,,,,,,,,2011.0-Najljepše Ljubavne Pjesme - The Love Collection,2011.0-Najljepše Ljubavne Pjesme - The Love Collection
Divlje Jagode,Divlje Jagode,Poglede Dovodiš,3:24,,Biodinamička Ljubav,,,,,,,,,,nan-Biodinamička Ljubav,nan-Biodinamička Ljubav/2018.0-Original Album Collection Vol. 2
Divlje Jagode,Divlje Jagode,Kad Te Netko Spomene,3:34,,Biodinamička Ljubav,,,,,,,,,,nan-Biodinamička Ljubav,nan-Biodinamička Ljubav/nan-Greatest Hits/2018.0-Original Album Collection Vol. 2
Divlje Jagode,Divlje Jagode,Ti Bez Riječi Znaš,3:58,,Biodinamička Ljubav,,,,,,,,,,nan-Biodinamička Ljubav,nan-Biodinamička Ljubav/2018.0-Original Album Collection Vol. 2
Divlje Jagode,Divlje Jagode,Korake Ne Gledaj,4:02,,Biodinamička Ljubav,,,,,,,,,,nan-Biodinamička Ljubav,nan-Biodinamička Ljubav/2018.0-Original Album Collection Vol. 2
Divlje Jagode,Divlje Jagode,Usne Usnule,3:17,,Biodinamička Ljubav,,,,,,,,,,nan-Biodinamička Ljubav,nan-Biodinamička Ljubav/2018.0-Original Album Collection Vol. 2
Divlje Jagode,Divlje Jagode,Samo Da Znaš,3:41,,Biodinamička Ljubav,,,,,,,,,,nan-Biodinamička Ljubav,nan-Biodinamička Ljubav/nan-Greatest Hits/2018.0-Original Album Collection Vol. 2
Divlje Jagode,Divlje Jagode,Tragovi,4:03,,Biodinamička Ljubav,,,,,,,,,Žanil Tataj,nan-Biodinamička Ljubav,nan-Biodinamička Ljubav/2018.0-Original Album Collection Vol. 2
Divlje Jagode,Divlje Jagode,Srce Ne Laže,4:34,,Biodinamička Ljubav,,,,,,,,,Vladimir Kmoniček,nan-Biodinamička Ljubav,nan-Biodinamička Ljubav/2018.0-Original Album Collection Vol. 2
Divlje Jagode,Divlje Jagode,Ne Nisam Ja,3:49,,Biodinamička Ljubav,,,,,,,,,Marko Osmanović,nan-Biodinamička Ljubav,nan-Biodinamička Ljubav/nan-Greatest Hits/2018.0-Original Album Collection Vol. 2
Divlje Jagode,Divlje Jagode,Do Prvog Dodira,3:47,,Biodinamička Ljubav,,,,,,,,,Ivana Pavlović,nan-Biodinamička Ljubav,nan-Biodinamička Ljubav/2018.0-Original Album Collection Vol. 2
Divlje Jagode,Divlje Jagode,Evo Banke Cigane Moj,3:00,,Evo Banke Cigane Moj,2016.0,,,,,,,,,2016.0-Evo Banke Cigane Moj,2016.0-Evo Banke Cigane Moj
Divlje Jagode,Divlje Jagode,Wild Strawberries,,,Original Album Collection Vol. 1,2018.0,,,,,,,,,2018.0-Original Album Collection Vol. 1,2018.0-Original Album Collection Vol. 1
Divlje Jagode,Divlje Jagode,Gypsy,,,Original Album Collection Vol. 1,2018.0,,,,,,,,,2018.0-Original Album Collection Vol. 1,2018.0-Original Album Collection Vol. 1
Divlje Jagode,Divlje Jagode,Zele - Magic Love,,,Original Album Collection Vol. 2,2018.0,,,,,,,,,2018.0-Original Album Collection Vol. 2,2018.0-Original Album Collection Vol. 2
Divlje Jagode,Divlje Jagode,Biodinamička Ljubav,,,Original Album Collection Vol. 2,2018.0,,,,,,,,,2018.0-Original Album Collection Vol. 2,2018.0-Original Album Collection Vol. 2
Divlje Jagode,Divlje Jagode,Jukebox,3:16,,Jukebox,,,,,,,,,,nan-Jukebox,nan-Jukebox
Divlje Jagode,Divlje Jagode,Virtualni Svijet,4:14,,Jukebox,,,,,,,,,,nan-Jukebox,nan-Jukebox
Divlje Jagode,Divlje Jagode,Dug Je Bio Put,3:33,,Jukebox,,,,,,,,,,nan-Jukebox,nan-Jukebox
Divlje Jagode,Divlje Jagode,Znamo Da Je Kraj,4:12,,Jukebox,,,,,,,,,,nan-Jukebox,nan-Jukebox
Divlje Jagode,Divlje Jagode,Plave Noći Bez Tebe,3:58,,Plave Noći Bez Tebe,2022.0,,,,,,,,,2022.0-Plave Noći Bez Tebe,2022.0-Plave Noći Bez Tebe
