Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Written-By_discogs,Album_title_discogs,Album_year_discogs,Lyrics By_discogs,Music By_discogs,Arranged By_discogs,Adapted By_discogs,Keyboards_discogs,Lead Vocals_discogs,Film Director_discogs,Featuring_discogs,Album_year_title_discogs,All_albums_discogs
Divlje Jagode,Divlje Jagode,Zauvijek Tvoj,,,Konji,,Mladen Vojičić Tifa,,,,,,,,nan-Konji,"nan-Konji/nan-Sarajevo, Ti I Ja/nan-The Very Best Of - Let Na Drugi Svijet/2006.0-Collection/nan-Collection/2008.0-The Ultimate Collection/nan-The Ultimate Collection/nan-Greatest Hits/2018.0-Original Album Collection Vol. 2/nan-Jukebox"
Divlje Jagode,Divlje Jagode,Zaboravi,,,Konji,,,,,,,,,,nan-Konji,nan-Konji/2004.0-The Very Best Of - Let Na Drugi Svijet/nan-Collection/2018.0-Original Album Collection Vol. 2
Divlje Jagode,Divlje Jagode,I Want Your Love,,,Konji,,,,,,,,,,nan-Konji,nan-Konji/2006.0-Collection/nan-Collection/2018.0-Original Album Collection Vol. 2
Divlje Jagode,Divlje Jagode,Osjećam Gola Si Ispod Haljine,,,Konji,,,,,,,,,,nan-Konji,nan-Konji/nan-The Very Best Of - Let Na Drugi Svijet
Divlje Jagode,Divlje Jagode,London,,,Konji,,,,,,,,,,nan-Konji,nan-Konji/nan-Collection/2018.0-Original Album Collection Vol. 2
Divlje Jagode,Divlje Jagode,Zbog Tebe Draga,,,Labude Kad Rata Ne Bude ,,,,,,,,,,nan-Labude Kad Rata Ne Bude ,nan-Labude Kad Rata Ne Bude /nan-The Very Best Of - Let Na Drugi Svijet/2006.0-Collection/nan-Collection/2008.0-The Ultimate Collection/2011.0-Najljepše Ljubavne Pjesme - The Love Collection/2018.0-Original Album Collection Vol. 2/nan-Jukebox
Divlje Jagode,Divlje Jagode,Labude Kad Rata Ne Bude,,,Labude Kad Rata Ne Bude ,,,,,,,,,,nan-Labude Kad Rata Ne Bude ,nan-Labude Kad Rata Ne Bude /2018.0-Original Album Collection Vol. 2/2018.0-Original Album Collection Vol. 2
Divlje Jagode,Divlje Jagode,Ljubav Može Sve,,,Labude Kad Rata Ne Bude ,,,,,,,,,,nan-Labude Kad Rata Ne Bude ,nan-Labude Kad Rata Ne Bude /nan-Collection/2018.0-Original Album Collection Vol. 2
Divlje Jagode,Divlje Jagode,Što Mi Radiš To,,,Labude Kad Rata Ne Bude ,,,,,,,,,,nan-Labude Kad Rata Ne Bude ,nan-Labude Kad Rata Ne Bude /nan-The Very Best Of - Let Na Drugi Svijet/nan-Collection/2018.0-Original Album Collection Vol. 2
Divlje Jagode,Divlje Jagode,"Sarajevo, Ti I Ja",,,Labude Kad Rata Ne Bude ,,,,,,,,,,nan-Labude Kad Rata Ne Bude ,"nan-Labude Kad Rata Ne Bude /nan-Sarajevo, Ti I Ja/2006.0-Collection/nan-Collection/2008.0-The Ultimate Collection/2011.0-Najljepše Ljubavne Pjesme - The Love Collection/2018.0-Original Album Collection Vol. 2/nan-Jukebox"
Divlje Jagode,Divlje Jagode,Rospija,,,Labude Kad Rata Ne Bude ,,,,,,,,,,nan-Labude Kad Rata Ne Bude ,nan-Labude Kad Rata Ne Bude /nan-Collection/2018.0-Original Album Collection Vol. 2
Divlje Jagode,Divlje Jagode,Zvijezda Sjevera,,,Labude Kad Rata Ne Bude ,,,,,,,,,,nan-Labude Kad Rata Ne Bude ,nan-Labude Kad Rata Ne Bude /nan-Collection/2008.0-The Ultimate Collection/nan-The Ultimate Collection/nan-Greatest Hits/2018.0-Original Album Collection Vol. 2/nan-Jukebox
Divlje Jagode,Divlje Jagode,Na Tvojim Usnama,,,Labude Kad Rata Ne Bude ,,,,,,,,,,nan-Labude Kad Rata Ne Bude ,nan-Labude Kad Rata Ne Bude /nan-Collection/2011.0-Najljepše Ljubavne Pjesme - The Love Collection/2018.0-Original Album Collection Vol. 2
Divlje Jagode,Divlje Jagode,Da Li Si Ikada Mene Voljela,,,Labude Kad Rata Ne Bude ,,,,,,,,,,nan-Labude Kad Rata Ne Bude ,nan-Labude Kad Rata Ne Bude /nan-Collection/2018.0-Original Album Collection Vol. 2
Divlje Jagode,Divlje Jagode,Zauvjek Tvoj,,,Antologija 2,,Mladen Vojičić Tifa,,,,,,,,nan-Antologija 2,nan-Antologija 2/2011.0-Najljepše Ljubavne Pjesme - The Love Collection
Divlje Jagode,Divlje Jagode,Moja Si,,,Antologija 2,,,,,,,,,,nan-Antologija 2,nan-Antologija 2/nan-Collection/2018.0-Original Album Collection Vol. 1
Divlje Jagode,Divlje Jagode,Sarajevo Ti I Ja,,,Antologija 2,,Gojko Bjelac,,,,,,,,nan-Antologija 2,nan-Antologija 2/nan-The Very Best Of - Let Na Drugi Svijet
Divlje Jagode,Divlje Jagode,Love Is In Your Hand,,,Antologija 2,,Žak Tataj,,,,,,,,nan-Antologija 2,nan-Antologija 2/nan-The Very Best Of - Let Na Drugi Svijet
Divlje Jagode,Divlje Jagode,Maida,,,Antologija 2,,,,,,,,,,nan-Antologija 2,nan-Antologija 2/nan-The Very Best Of - Let Na Drugi Svijet/2006.0-Collection/nan-Collection/2008.0-The Ultimate Collection/2011.0-Najljepše Ljubavne Pjesme - The Love Collection/2018.0-Original Album Collection Vol. 2
Divlje Jagode,Divlje Jagode,Hungry For Your Love,,,Antologija 1,,Žak Tataj,,,,,,,,nan-Antologija 1,nan-Antologija 1/nan-Collection/2018.0-Original Album Collection Vol. 2
Divlje Jagode,Divlje Jagode,Šta Je To U Tebi,,,Sto Vjekova,,Sead Lipovača,,,,,,,,nan-Sto Vjekova,nan-Sto Vjekova/nan-Collection/2011.0-Najljepše Ljubavne Pjesme - The Love Collection/2018.0-Original Album Collection Vol. 2
Divlje Jagode,Divlje Jagode,Sto Vjekova,,,Sto Vjekova,,Sanja Grgić,,,,,,,,nan-Sto Vjekova,nan-Sto Vjekova/nan-The Very Best Of - Let Na Drugi Svijet/nan-Collection/nan-Greatest Hits/2018.0-Original Album Collection Vol. 2/2018.0-Original Album Collection Vol. 2
Divlje Jagode,Divlje Jagode,"Meni Je Lijepo, Ja Volim Slijepo",,,Sto Vjekova,,Dino Merlin,,Dario G. Da Rosa,,Dario G. Da Rosa,,,,nan-Sto Vjekova,nan-Sto Vjekova/nan-Collection/2018.0-Original Album Collection Vol. 2
Divlje Jagode,Divlje Jagode,Living In My Dreams,,,Sto Vjekova,,Žak Tataj,,,,,,,,nan-Sto Vjekova,nan-Sto Vjekova/nan-Collection/2008.0-The Ultimate Collection/2011.0-Najljepše Ljubavne Pjesme - The Love Collection/2018.0-Original Album Collection Vol. 2
Divlje Jagode,Divlje Jagode,Ti Si Moj San,,,Sto Vjekova,,Sead Lipovača,,,,Dario G. Da Rosa,,,,nan-Sto Vjekova,nan-Sto Vjekova/nan-Collection/2018.0-Original Album Collection Vol. 2
Divlje Jagode,Divlje Jagode,"Ljubavi, Daj Mi Ljubavi",,,Sto Vjekova,,Sanja Grgić,,,,,,,,nan-Sto Vjekova,nan-Sto Vjekova/nan-Collection/2018.0-Original Album Collection Vol. 2
Divlje Jagode,Divlje Jagode,Lejla,,,Sto Vjekova,,Dino Merlin,,,,,,,,nan-Sto Vjekova,nan-Sto Vjekova/nan-Collection/2018.0-Original Album Collection Vol. 2
Divlje Jagode,Divlje Jagode,Bihać '95,,,Sto Vjekova,,,,,,,,,,nan-Sto Vjekova,nan-Sto Vjekova/nan-Collection/2018.0-Original Album Collection Vol. 2
Divlje Jagode,Divlje Jagode,On The Road Again,,,Sto Vjekova,,Zlatan Stipišić Gibonni,,,,,,,,nan-Sto Vjekova,nan-Sto Vjekova/nan-Collection/2018.0-Original Album Collection Vol. 2
Divlje Jagode,Divlje Jagode,Marija,,,Marija,2003.0,,,,,,,,,2003.0-Marija,2003.0-Marija/2003.0-Dobro Došla Ljubavi/nan-Od Neba Do Neba/2004.0-Live + video clips/2004.0-Najlepše Balade - Krivo Je More/nan-The Very Best Of - Let Na Drugi Svijet/2006.0-Collection/nan-Collection/2008.0-The Ultimate Collection/nan-The Ultimate Collection/nan-Greatest Hits/2018.0-Original Album Collection Vol. 2
Divlje Jagode,Divlje Jagode,Interview,,,Marija,2003.0,,,,,,,,,2003.0-Marija,2003.0-Marija
Divlje Jagode,Divlje Jagode,"CD ROM Dodatak: Biografija, Diskografija",,,Marija,2003.0,,,,,,,,,2003.0-Marija,2003.0-Marija
Divlje Jagode,Divlje Jagode,Dobro Došla Ljubavi (Edit),,,Dobro Došla Ljubavi,2003.0,,,,,,,,,2003.0-Dobro Došla Ljubavi,2003.0-Dobro Došla Ljubavi
Divlje Jagode,Divlje Jagode,Dobro Došla Ljubavi,,,Od Neba Do Neba,,,,,,,,,,nan-Od Neba Do Neba,nan-Od Neba Do Neba/nan-Collection/2008.0-The Ultimate Collection/nan-The Ultimate Collection/2011.0-Najljepše Ljubavne Pjesme - The Love Collection/nan-Greatest Hits/2018.0-Original Album Collection Vol. 2
Divlje Jagode,Divlje Jagode,Motori 2003,,,Od Neba Do Neba,,,,,,,,,,nan-Od Neba Do Neba,nan-Od Neba Do Neba/nan-Collection/2008.0-The Ultimate Collection/nan-Greatest Hits/2018.0-Original Album Collection Vol. 2
Divlje Jagode,Divlje Jagode,Piši Mi,,,Od Neba Do Neba,,,,,,,,,,nan-Od Neba Do Neba,nan-Od Neba Do Neba/nan-Collection/2018.0-Original Album Collection Vol. 2
Divlje Jagode,Divlje Jagode,Od Neba Do Neba,,,Od Neba Do Neba,,,,,,,,,,nan-Od Neba Do Neba,nan-Od Neba Do Neba/nan-Collection/2018.0-Original Album Collection Vol. 2/2018.0-Original Album Collection Vol. 2
Divlje Jagode,Divlje Jagode,Ne Krivi Me,,,Od Neba Do Neba,,,,,,,Ante Janković,,,nan-Od Neba Do Neba,nan-Od Neba Do Neba/nan-Collection/2011.0-Najljepše Ljubavne Pjesme - The Love Collection/2018.0-Original Album Collection Vol. 2
Divlje Jagode,Divlje Jagode,Kap Po Kap,,,Od Neba Do Neba,,,,,,,,,,nan-Od Neba Do Neba,nan-Od Neba Do Neba/2004.0-The Very Best Of - Let Na Drugi Svijet/nan-The Very Best Of - Let Na Drugi Svijet/2006.0-Collection/nan-Collection/2008.0-The Ultimate Collection/nan-The Ultimate Collection/nan-Greatest Hits/2018.0-Original Album Collection Vol. 2
Divlje Jagode,Divlje Jagode,Ljubi Me I Ostani,,,Od Neba Do Neba,,,,,,,,,,nan-Od Neba Do Neba,nan-Od Neba Do Neba/nan-Collection/2018.0-Original Album Collection Vol. 2
Divlje Jagode,Divlje Jagode,Oluja,,,Od Neba Do Neba,,,,,,,,,,nan-Od Neba Do Neba,nan-Od Neba Do Neba/nan-Collection/2011.0-Najljepše Ljubavne Pjesme - The Love Collection/2018.0-Original Album Collection Vol. 2
Divlje Jagode,Divlje Jagode,TV Kralj,,,Od Neba Do Neba,,,,,,,,,,nan-Od Neba Do Neba,nan-Od Neba Do Neba/nan-Collection/2018.0-Original Album Collection Vol. 2
Divlje Jagode,Divlje Jagode,Jedina moja,5:15,,The Very Best Of,,,,,,,,,,nan-The Very Best Of,nan-The Very Best Of/2004.0-Najlepše Balade - Krivo Je More
Divlje Jagode,Divlje Jagode,Krivo je more,4:16,,The Very Best Of,,,,,,,,,,nan-The Very Best Of,nan-The Very Best Of/2004.0-Live + video clips
