Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Lyrics By_discogs,Album_title_discogs,Album_year_discogs,Music By_discogs,Written-By_discogs,Choir_discogs,Producer_discogs,Arranged By_discogs,Trombone_discogs,Trumpet_discogs,Adapted By_discogs,Bagpipes_discogs,Flute [Dvojnica]_discogs,Guest_discogs,Vocals [Duet]_discogs,Backing Vocals_discogs,Featuring_discogs,Lead Vocals_discogs,Engineer_discogs,Performer_discogs,Guitar_discogs,Mixed By_discogs,Album_year_title_discogs,All_albums_discogs
Boris Novković,Boris Novković,Opasna Zona (Za Ljubljenje Bombona),4:12,Stevo Cvikić,100 X,,,,,,,,,,,,,,,,,,,,,nan-100 X,nan-100 X
Boris Novković,Boris Novković,S Tobom Poludjet Ću,4:08,Stevo Cvikić,100 X,,,,,,,,,,,,,,,,,,,,,nan-100 X,nan-100 X
Boris Novković,Boris Novković,Ne Vjerujem Da Me Više Ne Voliš,4:35,,100 X,,,,,,,,,,,,,,,,,,,,,nan-100 X,nan-100 X
Boris Novković,Boris Novković,Ako Ovo Nije Ljubav,2:35,,100 X,,,,,,,,,,,,,,,,,,,,,nan-100 X,nan-100 X
Boris Novković,Boris Novković,Ne Mogu Te Preboljeti (Kuda Bježiš Od Mene),4:19,,100 X,,,,,,,,,,,,,,,,,,,,,nan-100 X,nan-100 X
Boris Novković,Boris Novković,Nek' Nam Noćas Život Bude Drug,3:40,,100 X,,,,,,,,,,,,,,,,,,,,,nan-100 X,nan-100 X
Boris Novković,Boris Novković,"Sve Do Neba, Sve Do Zvijezda",3:12,,100 X,,Traditional,,"Dječji Zbor ""Vjeverice""",,,,,,,,,,,,,,,,,nan-100 X,nan-100 X
Boris Novković,Boris Novković,Kad Te Srce Za Mnom Zaboli,4:14,,100 X,,,,,,,,,,,,,,,,,,,,,nan-100 X,nan-100 X/nan-Struji Struja /nan-The Best Of.../2005.0-Zlatna Kolekcija/2005.0-LIVE Ostvaren San
Boris Novković,Boris Novković,100 Puta Preko Puta,3:11,Fahrudin Pecikoza,100 X,,,,,,,,,,,,,,,,,,,,,nan-100 X,nan-100 X
Boris Novković,Boris Novković,Struji Struja,,Zlatko Arslanagić,Struji Struja / Loša Navika,1993.0,,,,,,,,,,,,,,,,,,,,1993.0-Struji Struja / Loša Navika,1993.0-Struji Struja / Loša Navika/nan-Struji Struja /nan-The Best Of/nan-The Best Of.../2005.0-Zlatna Kolekcija/2007.0-Mojih Prvih 20 Live/2008.0-The Platinum Collection/nan-The Best Of Collection
Boris Novković,Boris Novković,Loša Navika,,Alka Vuica,Struji Struja / Loša Navika,1993.0,,,,,,,,,,,,,,,,,,,,1993.0-Struji Struja / Loša Navika,1993.0-Struji Struja / Loša Navika/nan-Struji Struja 
Boris Novković,Boris Novković,Kurve Sudbine,3:45,,Struji Struja ,,,,,,,,,,,,,,,,,,,,,nan-Struji Struja ,nan-Struji Struja 
Boris Novković,Boris Novković,Sve Miriše Na Kraj,3:51,,Struji Struja ,,,,,,,,,,,,,,,,,,,,,nan-Struji Struja ,nan-Struji Struja 
Boris Novković,Boris Novković,Reci Gdje Da Pobjegnem ,3:44,,Struji Struja ,,,,,,,,,,,,,,,,,,,,,nan-Struji Struja ,nan-Struji Struja 
Boris Novković,Boris Novković,I Pod Ledom,4:48,,Struji Struja ,,,,,,,,,,,,,,,,,,,,,nan-Struji Struja ,nan-Struji Struja 
Boris Novković,Boris Novković,Više Ništa Nije Kao Prije,4:09,,Struji Struja ,,,,,,,,,,,,,,,,,,,,,nan-Struji Struja ,nan-Struji Struja /nan-The Best Of/nan-The Best Of.../2005.0-Zlatna Kolekcija/nan-The Best Of Collection
Boris Novković,Boris Novković,Odlazim ,3:07,,Struji Struja ,,,,,,,,,,,,,,,,,,,,,nan-Struji Struja ,nan-Struji Struja 
Boris Novković,Boris Novković,Stvorena Za Mene,5:55,,Struji Struja ,,,,,,,,,,,,,,,,,,,,,nan-Struji Struja ,nan-Struji Struja 
Boris Novković,Boris Novković,Učinit Ću Sve Zbog Tebe,4:32,,Struji Struja ,,,,,,,,,,,,,,,,,,,,,nan-Struji Struja ,nan-Struji Struja 
Boris Novković,Boris Novković,Lete Ptice...,3:54,,Struji Struja ,,,,,,,,,,,,,,,,,,,,,nan-Struji Struja ,nan-Struji Struja /nan-The Best Of
Boris Novković,Boris Novković,Dajana,2:43,,Struji Struja ,,,,,,,,,,,,,,,,,,,,,nan-Struji Struja ,nan-Struji Struja 
Boris Novković,Boris Novković,Radio Edit,,,U Dobru I Zlu,1995.0,,,,,,,,,,,,,,,,,,,,1995.0-U Dobru I Zlu,1995.0-U Dobru I Zlu
Boris Novković,Boris Novković,Sax Verzija,,,U Dobru I Zlu,1995.0,,,,,,,,,,,,,,,,,,,,1995.0-U Dobru I Zlu,1995.0-U Dobru I Zlu
Boris Novković,Boris Novković,Matrica,,,U Dobru I Zlu,1995.0,,,,,,,,,,,,,,,,,,,,1995.0-U Dobru I Zlu,1995.0-U Dobru I Zlu
Boris Novković,Boris Novković,Mašta Moja,3:03,,The Best Of,,Doug Fieger,,,Miro Buljan,Miro Buljan,,,,,,,,,,,,,,,nan-The Best Of,nan-The Best Of/nan-The Best Of.../2005.0-Zlatna Kolekcija/2005.0-LIVE Ostvaren San/2007.0-Mojih Prvih 20 Live/2008.0-The Platinum Collection/nan-The Platinum Collection
Boris Novković,Boris Novković,Mi Smo Jači I Od Sudbine,3:23,,The Best Of,,,,,,,,,,,,,,,,,,,,,nan-The Best Of,nan-The Best Of/nan-The Best Of.../2005.0-Zlatna Kolekcija/2007.0-Mojih Prvih 20 Live/2008.0-The Platinum Collection/nan-The Platinum Collection/2010.0-Najljepše Ljubavne Pjesme/nan-The Best Of Collection
Boris Novković,Boris Novković,Od Kad Nisam Tvoj,4:57,,The Best Of,,,,,,,,,,,,,,,,,,,,,nan-The Best Of,nan-The Best Of/2005.0-Zlatna Kolekcija
Boris Novković,Boris Novković,Dok Svira Radio,4:04,,The Best Of,,,,,Krešimir Klemenčić,Krešimir Klemenčić,,,,,,,,,,,,,,,nan-The Best Of,nan-The Best Of/nan-The Best Of.../2005.0-Zlatna Kolekcija/2005.0-LIVE Ostvaren San/2007.0-Mojih Prvih 20 Live/2008.0-The Platinum Collection/nan-The Platinum Collection/nan-The Best Of Collection
Boris Novković,Boris Novković,Ajša,4:27,Marina Tucaković,The Best Of,,,,,,,,,,,,,,,,,,,,,nan-The Best Of,nan-The Best Of/nan-The Best Of.../2005.0-Zlatna Kolekcija/2005.0-LIVE Ostvaren San/2007.0-Mojih Prvih 20 Live/2008.0-The Platinum Collection/nan-The Platinum Collection/2010.0-Najljepše Ljubavne Pjesme
Boris Novković,Boris Novković,Ne Vjerujem Tvojim Usnama,3:51,,The Best Of,,,Zlatko Arslanagić,,,,,,,,,,,,,,,,,,nan-The Best Of,nan-The Best Of/nan-The Best Of.../2005.0-Zlatna Kolekcija/2005.0-LIVE Ostvaren San/2007.0-Mojih Prvih 20 Live/2008.0-The Platinum Collection/nan-The Platinum Collection/2010.0-Najljepše Ljubavne Pjesme
Boris Novković,Boris Novković,Što Je S Princezom Moje Vrele Mladosti (U Tvojim Očima),3:33,Benjamin Isović,The Best Of,,Bill Conti,,,,,,,,,,,,,,,,,,,nan-The Best Of,nan-The Best Of/nan-The Best Of.../2005.0-Zlatna Kolekcija
Boris Novković,Boris Novković,Emily,3:00,,The Best Of,,,,,,,,,,,,,,,,,,,,,nan-The Best Of,nan-The Best Of/nan-The Best Of.../2005.0-Zlatna Kolekcija/2008.0-The Platinum Collection/nan-The Platinum Collection/2010.0-Najljepše Ljubavne Pjesme
Boris Novković,Boris Novković,Digni Me Visoko,,,U Dobru I Zlu,,,,,,,,,,,,,,,,,,,,,nan-U Dobru I Zlu,nan-U Dobru I Zlu
Boris Novković,Boris Novković,"Daj Mi, Daj Mi",,,U Dobru I Zlu,,,,,,,,,,,,,,,,,,,,,nan-U Dobru I Zlu,nan-U Dobru I Zlu
