,Song_ID,Song,Lyrics
21,4wxdBzAi_1_21,"Pričaju, pričaju","Uvijek kad se tebe sjetim. Sve je tužnije. Protiv srca se ne ide. Oči gledaju, al' nikog drugog. Ne vide. Prijatelji stari svrate. Pa se zapjeva. Al' ne daj da mi život prođe. Dok mi opet korak tvoj, Opet ne dođe. I znam da pričaju, pričaju. Lažu, varaju, da ja i bez tebe. Sretna ostat ću. Pričaju, pričaju, ljudi ne znaju. Da fališ mi, fališ mi. Čak i kad si tu. Ljudi dođu, ljudi odu. Tuga ostaje, sva se nasloni. Na mene. Nema usana ni vina. Da te zamjene. Sanjam ono čega nema. Što je tuđe sad. Više ne znam sretna biti. Sanjam tebe pa ne mogu. Drugog ljubiti"
22,4wxdBzAi_1_22,Šašava,"Tko je pitao glave blesave. Za godine. Meni je dvadeset, i tebi dvadeset. Imamo zajedno četrdeset, na. na. izgorjela je večer, na. na. kao plamen svijeće. Kad sam te poljubila. Sva sam pošašavila. Ljubavi se napila. Sa tvojih usana. Ali tvoje oči te. I druge su gledale. Lagale me, lagale, aje...je... je... Na rukavice kad pahuljice. Padaju. Dolazi zima čini mi se hladnija. Jer tebe, tebe mi nema tu, na... na... što ću majko sada, na... na... zaljubih se mlada"
23,4wxdBzAi_1_23,Smile & EnJoy,"Budi dobar, budi još moj. Jer ja živim, živim, živim... . živim, živim smile EnJoy. Ja znam da stotine ljudi. Ljubav izludi. Ako ne postanu ludi. Bar ih probudi. Nisam ni znala ljubav donosi bol. Pitam se kako, kako srcu je tvom?. Reci, reci još jednu riječ. Da ubije bol na srcu mom. Budi dobar, budi još moj. I živi po onom- smile enjoy!. Reci, reci još jednu riječ. Da ubije bol na srcu mom. Budi dobar, budi još moj. Jer ja živim, živim, živim. . živim, živim smile enjoy"
24,4wxdBzAi_1_24,Što je nebu bilo,Mnogim ljudima se posreći. Sreću pronađu i u nesreći. Mnogi momci znaju lagati. Al' tako dobro ne ni jedan kao ti. Ne vjerujem tebi ja. Više nikada. Što je nebu. Što je nebu bilo. Kada me je s tobom spojilo. Neću više ja u tvoje krilo. Kada si mi srce ranio. Iza kiše skidam ja kabanicu. I evo okrečem novu stranicu. Odlazim od ove žalosti. Da sebi poklonim malo radosti. Ne vjerujem tebi ja. Više nikada
25,4wxdBzAi_1_25,Svemu dođe kraj,"Ljudi vole al' ne kao ja. Moje srce ljubav osjeća. I dok plakala bih ja. I kad bi se smijala. Ljudi vole al' ne kao ja. Ljudi vole al' ne kao ja. Ljubim otkad sam se rodila. Prije nego umrem ja. Tebe bi poljubila. Svome dragom sunce donijela. Svemu dođe kraj, svemu oproštaj. Kad se zamrači sunce gubi sjaj. A kad osvane, tuga nestane. Moja ljubav samo, samo ostane"
26,4wxdBzAi_1_26,Tebi mogu reći sve,"Kad me pitaju, slažem da me ne boli. I nesigurno tvoje ime tada izustim. U životu svom, svega ću se odreći, mmmmm. Jedino što nikad neću tebe prestat voljeti. I nema, sreće nema mi, moja ljubavi. Tebi mogu reći sve. Al' da te ne volim to nikad ne. Kad te neko spomene i priča krene do mene, mmmm. Sjeti me na sretne dane, na jorgovane, ne, ne, ne"
27,4wxdBzAi_1_27,"Ti mi, ti mi (duet Darus)","Reci mi, da li znas da te zelim, cijelu noc, cijeli dan, duso samo tebi pripadam. Priznaj mi, da i ti zelis mene, ludo, najludje, da su ti usne moje najsladje. Reci, volim te, reci, molim te. Ti mi, ti mi, ti mi, znacis toliko, koliko je plavo nebo visoko, ti mi, ti mi, ti mi, trebas toliko, koliko je plavo more duboko. Reci mi, da li znas da te zelim, cijelu noc, cijeli dan, duso samo tebi pripadam. Priznaj mi, da i ti zelis mene, ludo, najludje, da su ti usne moje najsladje. Reci, volim te, reci, molim te"
28,4wxdBzAi_1_28,To je to,"Napola je mjesec puk'o, napola kao jabuka, po nebu je zvijezde vuko, od juga sve do sjevera. Imam dragog, al' sam sama, ne vidim ga sedam dana, hej, da l' je kod druge, kisa pada, prozor moci, od nje mi se sjaje oci, hej, dodji do mene. Ljubavi me vino opilo, vino slatko, vino crveno, to je to, to je to, to je to, volim te i gotovo. Spustila se magla gusta, vidim te i kroz oblake, tebe su mi zedna usta, andjele, moj andjele"
29,4wxdBzAi_1_29,Uzalud,"Kad srce srcu zbogom kaže. Onda se ljudi rastaju. Okrenu leđa jedno drugom. Pa krenu i ne zastaju. Ja tebi ne znam reći zbogom. I ne znam se okrenuti. A koliko sam puta rekla. Da neću te spomenuti. Uzalud, kad te vidim srce stane. Stara vatra opet plane. I ne znam se pomaknuti. O,o,o, uzalud, kad te vidim srce stane. Sve i da mi suza kane. Neće te dotaknuti"
30,4wxdBzAi_1_30,Uzmi me,"Gdje si ti nesrećo. Srce mi je ranjeno. Nikoga ne vidim ja. Dušu da mi sačuva. Dukati, biseri. Nisu mi najvažniji. Jednu noć da mi daš. Dušu da mi poslušaš. Uzmi me, uzmi me. Jako, jače, najjače. Kad ti dan uzme noć. Ja te zovem upomoć. Uzmi me, uzmi me. Noći su mi najgore. Kad ti dan otme noć. Tebe zovem upomoć!"
31,4wxdBzAi_1_31,Zapela mi haljina,"Vezao me jedan dodir tvoj. Srce moje si zarobio. Sebe više ne prepoznajem. I kad sam gladna ništa ne jedem. Ubijaš me lagano da znaš. Što si takav, što se ne javljaš. Neću dugo ja izdržati. Hitno tebe moram ljubiti. Zapela mi haljina, haljina. Za dva oka nemirna, nemirna. Pa je moja mala cipela. Prema tebi lako krenula. Vezao me jedan pogled tvoj. Dušu moju lako ukrao. Sedam dana nisam spavala. Otkada sam tebe vidjela. Ubijaš me lagano da znaš. Što si takav, što se ne javljaš. Neću dugo ja izdržati. Hitno tebe moram ljubiti"
32,4wxdBzAi_1_32,Ziva istina,"Ko bizuterija, ljubav je sto nas spaja, jeftina, s puno sjaja, izvana sretni smo, a iznutra tako bjesni, jedno drugome smo tjesni. Reda radi necu ljubiti, to ne mogu, nisam kao ti. Ziva istina je to, mi nismo jedno za drugo, vijest je stara, da je ljubav prevara, jer u bol se pretvara. Ma, kakvi doktori, to ti je kao droga, nema lijeka protiv toga, pilule, sirupi, nisu lijek za noci duge, kad se skupi puno tuge"
