Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Written-By_discogs,Album_title_discogs,Lyrics By_discogs,Music By_discogs,Vocals_discogs,Album_year_discogs,Arranged By_discogs,Transcription By_discogs,Composed By_discogs,Written By_discogs,Guest_discogs,Featuring_discogs,Vocals [Duet]_discogs,Vocals [Duet] _discogs,Performer_discogs,Album_year_title_discogs,All_albums_discogs
Vinko Coce,Vinko Coce,Zlato Moje,,,"Mama, Adio",,,,1995.0,,,,,,,,,,"1995.0-Mama, Adio","1995.0-Mama, Adio/nan-Sve Najbolje/2006.0-Zlatni Hitovi Dalmacije/2006.0-Zlatna Kolekcija/2008.0-Na Mostu Jubavi/2011.0-Najljepše Ljubavne Pjesme/2017.0-The Best Of Collection/0.0-Dalmatinski Biseri"
Vinko Coce,Vinko Coce,Poša Bi U Pope,,,"Mama, Adio",,,,1995.0,,,,,,,,,,"1995.0-Mama, Adio","1995.0-Mama, Adio"
Vinko Coce,Vinko Coce,Marija,,,"Mama, Adio",,,,1995.0,,,,,,,,,,"1995.0-Mama, Adio","1995.0-Mama, Adio"
Vinko Coce,Vinko Coce,Serenada,,,"Mama, Adio",,,,1995.0,,,,,,,,,,"1995.0-Mama, Adio","1995.0-Mama, Adio"
Vinko Coce,Vinko Coce,Kora Kruha U Vinu,,,"Mama, Adio",,,,1995.0,,,,,,,,,,"1995.0-Mama, Adio","1995.0-Mama, Adio/nan-Sve Najbolje/2006.0-Zlatna Kolekcija/2017.0-The Best Of Collection"
Vinko Coce,Vinko Coce,Ljubav Je Ka I Cvit,3:40,,Ljubav Je Ka I Cvit,Nenad Ninčević,Joško Banov,,1998.0,,,,,,,,,,1998.0-Ljubav Je Ka I Cvit,1998.0-Ljubav Je Ka I Cvit/nan-Sve Najbolje/2006.0-Zlatni Hitovi Dalmacije/2006.0-Zlatna Kolekcija/2011.0-Najljepše Ljubavne Pjesme/2017.0-The Best Of Collection
Vinko Coce,Vinko Coce,Južnjaci,4:05,Nenad Ninčević,Ljubav Je Ka I Cvit,,,,1998.0,,,,,,,,,,1998.0-Ljubav Je Ka I Cvit,1998.0-Ljubav Je Ka I Cvit
Vinko Coce,Vinko Coce,"Dalmatinko, Crno Oko Moje",3:15,Nenad Ninčević,Ljubav Je Ka I Cvit,,,,1998.0,,,,,,,,,,1998.0-Ljubav Je Ka I Cvit,1998.0-Ljubav Je Ka I Cvit/nan-Sve Najbolje/2006.0-Zlatna Kolekcija
Vinko Coce,Vinko Coce,Sto Mandolina,3:27,,Ljubav Je Ka I Cvit,Nenad Ninčević,Joško Banov,,1998.0,,,,,,,,,,1998.0-Ljubav Je Ka I Cvit,1998.0-Ljubav Je Ka I Cvit/nan-Sve Najbolje/2006.0-Zlatni Hitovi Dalmacije/2006.0-Zlatna Kolekcija/2011.0-Najljepše Ljubavne Pjesme/0.0-Dalmatinski Biseri
Vinko Coce,Vinko Coce,Pjesmom Te Ljubim,4:12,,Ljubav Je Ka I Cvit,Katarina Šoškić Naglov,Joško Banov,,1998.0,,,,,,,,,,1998.0-Ljubav Je Ka I Cvit,1998.0-Ljubav Je Ka I Cvit/nan-Sve Najbolje/2006.0-Zlatna Kolekcija/2011.0-Najljepše Ljubavne Pjesme/2017.0-The Best Of Collection
Vinko Coce,Vinko Coce,Izliči Mi Dušu Pismo,3:36,Nenad Ninčević,Ljubav Je Ka I Cvit,,,,1998.0,,,,,,,,,,1998.0-Ljubav Je Ka I Cvit,1998.0-Ljubav Je Ka I Cvit/nan-Sve Najbolje/2006.0-Zlatni Hitovi Dalmacije/2006.0-Zlatna Kolekcija/2017.0-The Best Of Collection
Vinko Coce,Vinko Coce,Ribari,4:58,Boris Oštrić,Ljubav Je Ka I Cvit,,,,1998.0,,,,,,,,,,1998.0-Ljubav Je Ka I Cvit,"1998.0-Ljubav Je Ka I Cvit/2000.0-Dalmacija, More, Ja I Ti/nan-Sve Najbolje/2006.0-Zlatni Hitovi Dalmacije/2006.0-Zlatna Kolekcija/2008.0-Ne Damo Te Pismo Naša/2015.0-Orange Collection/2017.0-The Best Of Collection"
Vinko Coce,Vinko Coce,Mi Pivamo Po Domaću,2:48,Nenad Ninčević,Ljubav Je Ka I Cvit,,,,1998.0,,,,,,,,,,1998.0-Ljubav Je Ka I Cvit,1998.0-Ljubav Je Ka I Cvit
Vinko Coce,Vinko Coce,To Je Moj Put,3:35,,Ljubav Je Ka I Cvit,Nenad Ninčević,Joško Banov,,1998.0,,,,,,,,,,1998.0-Ljubav Je Ka I Cvit,1998.0-Ljubav Je Ka I Cvit
Vinko Coce,Vinko Coce,Pjesma Ostaje,3:25,,Ljubav Je Ka I Cvit,Ivica Kurtović (2),Želimir Škarpona,,1998.0,,,,,,,,,,1998.0-Ljubav Je Ka I Cvit,1998.0-Ljubav Je Ka I Cvit/2013.0-Morska Svitanja
Vinko Coce,Vinko Coce,Okuk Selo,,,Okruk Selo,,,,1999.0,,,,,,,,,,1999.0-Okruk Selo,1999.0-Okruk Selo
Vinko Coce,Vinko Coce,Ribara Starog Kći,,,Okruk Selo,,,,1999.0,,,,,,,,,,1999.0-Okruk Selo,1999.0-Okruk Selo/2017.0-The Best Of Collection
Vinko Coce,Vinko Coce,Dva Bracanina,,,Okruk Selo,,,,1999.0,,,,,,,,,,1999.0-Okruk Selo,1999.0-Okruk Selo
Vinko Coce,Vinko Coce,Ta Divna Splitska Noć,,,Okruk Selo,,,,1999.0,,,,,,,,,,1999.0-Okruk Selo,1999.0-Okruk Selo
Vinko Coce,Vinko Coce,"O, More Duboko",,,Okruk Selo,,,,1999.0,,,,,,,,,,1999.0-Okruk Selo,1999.0-Okruk Selo
Vinko Coce,Vinko Coce,"Mix (Kad Si Bila Mala, Mare, Sve Ptičice Iz Gore)",,,Okruk Selo,,,,1999.0,,,,,,,,,,1999.0-Okruk Selo,1999.0-Okruk Selo
Vinko Coce,Vinko Coce,Ribar Plete Mrižu Svoju,,,Okruk Selo,,,,1999.0,,,,,,,,,,1999.0-Okruk Selo,1999.0-Okruk Selo/2017.0-The Best Of Collection
Vinko Coce,Vinko Coce,Plovi Barka,,,Okruk Selo,,,,1999.0,,,,,,,,,,1999.0-Okruk Selo,1999.0-Okruk Selo
Vinko Coce,Vinko Coce,"Dalmacija, More, Ja I Ti",3:52,,"Dalmacija, More, Ja I Ti",,,,2000.0,,,,,,,,,,"2000.0-Dalmacija, More, Ja I Ti","2000.0-Dalmacija, More, Ja I Ti/2015.0-Orange Collection"
Vinko Coce,Vinko Coce,Izdalo Nas I Nebo I More,4:19,,"Dalmacija, More, Ja I Ti",,,,2000.0,,,,,,,,,,"2000.0-Dalmacija, More, Ja I Ti","2000.0-Dalmacija, More, Ja I Ti/2015.0-Orange Collection"
Vinko Coce,Vinko Coce,Pivci Pivaju,4:13,,"Dalmacija, More, Ja I Ti",,,,2000.0,,,,,,,,,,"2000.0-Dalmacija, More, Ja I Ti","2000.0-Dalmacija, More, Ja I Ti/2015.0-Orange Collection"
Vinko Coce,Vinko Coce,Kada Umren,3:39,,"Dalmacija, More, Ja I Ti",,,,2000.0,,,,,,,,,,"2000.0-Dalmacija, More, Ja I Ti","2000.0-Dalmacija, More, Ja I Ti/2015.0-Orange Collection"
Vinko Coce,Vinko Coce,Kapetane,4:48,,"Dalmacija, More, Ja I Ti",,,,2000.0,,,,,,,,,,"2000.0-Dalmacija, More, Ja I Ti","2000.0-Dalmacija, More, Ja I Ti/2015.0-Orange Collection"
Vinko Coce,Vinko Coce,Crna Zurka,4:21,,"Dalmacija, More, Ja I Ti",,,,2000.0,,,,,,,,,,"2000.0-Dalmacija, More, Ja I Ti","2000.0-Dalmacija, More, Ja I Ti"
Vinko Coce,Vinko Coce,Marela,4:04,,"Dalmacija, More, Ja I Ti",,,,2000.0,,,,,,,,,,"2000.0-Dalmacija, More, Ja I Ti","2000.0-Dalmacija, More, Ja I Ti/nan-Sve Najbolje/2006.0-Zlatni Hitovi Dalmacije/2015.0-Orange Collection"
Vinko Coce,Vinko Coce,Bandire Od Svile,4:31,,"Dalmacija, More, Ja I Ti",,,,2000.0,,,,,,,,,,"2000.0-Dalmacija, More, Ja I Ti","2000.0-Dalmacija, More, Ja I Ti/2015.0-Orange Collection"
Vinko Coce,Vinko Coce,Komoštra,4:34,,"Dalmacija, More, Ja I Ti",,,,2000.0,,,,,,,,,,"2000.0-Dalmacija, More, Ja I Ti","2000.0-Dalmacija, More, Ja I Ti/2015.0-Orange Collection"
Vinko Coce,Vinko Coce,Pape,4:22,,"Dalmacija, More, Ja I Ti",,,,2000.0,,,,,,,,,,"2000.0-Dalmacija, More, Ja I Ti","2000.0-Dalmacija, More, Ja I Ti/2001.0-Ribarska noć/2015.0-Orange Collection"
Vinko Coce,Vinko Coce,Nima Dana,3:47,,"Dalmacija, More, Ja I Ti",,,,2000.0,,,,,,,,,,"2000.0-Dalmacija, More, Ja I Ti","2000.0-Dalmacija, More, Ja I Ti/2015.0-Orange Collection"
Vinko Coce,Vinko Coce,Ave Marija,3:22,,"Dalmacija, More, Ja I Ti",,,,2000.0,,,,,,,,,,"2000.0-Dalmacija, More, Ja I Ti","2000.0-Dalmacija, More, Ja I Ti"
Vinko Coce,Vinko Coce,Pijani od ljubavi,3:45,,Ribarska noć,,,,2001.0,,,,,,,,,,2001.0-Ribarska noć,2001.0-Ribarska noć
Vinko Coce,Vinko Coce,U okrilju snova,3:01,,Ribarska noć,,,,2001.0,,,,,,,,,,2001.0-Ribarska noć,2001.0-Ribarska noć
Vinko Coce,Vinko Coce,Starac i more,2:28,,Ribarska noć,,,,2001.0,,,,,,,,,,2001.0-Ribarska noć,2001.0-Ribarska noć
Vinko Coce,Vinko Coce,Nakon lita,2:57,,Ribarska noć,,,,2001.0,,,,,,,,,,2001.0-Ribarska noć,2001.0-Ribarska noć
Vinko Coce,Vinko Coce,Dite dalmatinskog krša,3:31,,Ribarska noć,,,,2001.0,,,,,,,,,,2001.0-Ribarska noć,2001.0-Ribarska noć
Vinko Coce,Vinko Coce,Stvoren za tebe,3:23,,Ribarska noć,,,,2001.0,,,,,,,,,,2001.0-Ribarska noć,2001.0-Ribarska noć
Vinko Coce,Vinko Coce,Sam,3:31,,Ribarska noć,,,,2001.0,,,,,,,,,,2001.0-Ribarska noć,2001.0-Ribarska noć/2015.0-Orange Collection
Vinko Coce,Vinko Coce,Ribarska noć,3:11,,Ribarska noć,,,,2001.0,,,,,,,,,,2001.0-Ribarska noć,2001.0-Ribarska noć
Vinko Coce,Vinko Coce,Stari kapo,2:32,,Ribarska noć,,,,2001.0,,,,,,,,,,2001.0-Ribarska noć,2001.0-Ribarska noć
Vinko Coce,Vinko Coce,Nek Zapiva Moja Dalmacija,3:40,,Sve Najbolje,,,,,,,,,,,,,,nan-Sve Najbolje,nan-Sve Najbolje
Vinko Coce,Vinko Coce,Sićaš Li Se Lungomare,4:06,,Sve Najbolje,,,,,,,,,,,,,,nan-Sve Najbolje,nan-Sve Najbolje/2006.0-Zlatna Kolekcija
Vinko Coce,Vinko Coce,Priko Mosta O Ciova,1:46,Traditional,Tenori I Tenorine O Svome Trogiru,,,,2002.0,Eduard Tudor,Duško Geić,,,,,,,,2002.0-Tenori I Tenorine O Svome Trogiru,2002.0-Tenori I Tenorine O Svome Trogiru
Vinko Coce,Vinko Coce,Okruk Selo,1:23,Traditional,Tenori I Tenorine O Svome Trogiru,,,,2002.0,,Josip Veršić,,,,,,,,2002.0-Tenori I Tenorine O Svome Trogiru,2002.0-Tenori I Tenorine O Svome Trogiru
Vinko Coce,Vinko Coce,Lipe Jesu Zelene Livade,1:14,Traditional,Tenori I Tenorine O Svome Trogiru,,,,2002.0,Nikolaj Žličar,Giuseppe Bozzotti,,,,,,,,2002.0-Tenori I Tenorine O Svome Trogiru,2002.0-Tenori I Tenorine O Svome Trogiru
Vinko Coce,Vinko Coce,Na Ciovu Saldun,1:06,Traditional,Tenori I Tenorine O Svome Trogiru,,,,2002.0,Dinko Fio,Nikola Buble,,,,,,,,2002.0-Tenori I Tenorine O Svome Trogiru,2002.0-Tenori I Tenorine O Svome Trogiru
Vinko Coce,Vinko Coce,Svet Ivane O Moga Trogira,2:09,Traditional,Tenori I Tenorine O Svome Trogiru,,,,2002.0,Nikola Buble,Nikola Buble,,,,,,,,2002.0-Tenori I Tenorine O Svome Trogiru,2002.0-Tenori I Tenorine O Svome Trogiru
Vinko Coce,Vinko Coce,Grlica Je Propivala,2:41,Traditional,Tenori I Tenorine O Svome Trogiru,,,,2002.0,Igor Kuljerić,Nikola Buble,,,,,,,,2002.0-Tenori I Tenorine O Svome Trogiru,2002.0-Tenori I Tenorine O Svome Trogiru
Vinko Coce,Vinko Coce,Falila Se Radunova Ane,2:26,Traditional,Tenori I Tenorine O Svome Trogiru,,,,2002.0,Milan Andrić,Duško Tambača,,,,,,,,2002.0-Tenori I Tenorine O Svome Trogiru,2002.0-Tenori I Tenorine O Svome Trogiru
Vinko Coce,Vinko Coce,Nećeš Višje Govoriti Majko,1:34,Traditional,Tenori I Tenorine O Svome Trogiru,,,,2002.0,Duško Geić,Duško Geić,,,,,,,,2002.0-Tenori I Tenorine O Svome Trogiru,2002.0-Tenori I Tenorine O Svome Trogiru
Vinko Coce,Vinko Coce,Projden Kroz Pasike,1:32,Traditional,Tenori I Tenorine O Svome Trogiru,,,,2002.0,Josip Veršić,Duško Geić,,,,,,,,2002.0-Tenori I Tenorine O Svome Trogiru,2002.0-Tenori I Tenorine O Svome Trogiru
Vinko Coce,Vinko Coce,Pisma Trogiru,2:34,,Tenori I Tenorine O Svome Trogiru,Stjepan Benzon,Tonči Papić,,2002.0,Ivo Lesić,,,,,,,,,2002.0-Tenori I Tenorine O Svome Trogiru,2002.0-Tenori I Tenorine O Svome Trogiru/2006.0-More Sinje/0.0-Dalmatinski Biseri
Vinko Coce,Vinko Coce,Mirno Spavaj Ružo Moja,3:57,,Tenori I Tenorine O Svome Trogiru,Nenad Ninčević,Nenad Ninčević,,2002.0,Joško Banov,,,,,,,,,2002.0-Tenori I Tenorine O Svome Trogiru,2002.0-Tenori I Tenorine O Svome Trogiru/2015.0-Orange Collection
Vinko Coce,Vinko Coce,Da Je Meni S Tobon Kroz Pasike,3:06,,Tenori I Tenorine O Svome Trogiru,Nenad Ninčević,Nenad Ninčević,,2002.0,Joško Banov,,,,,,,,,2002.0-Tenori I Tenorine O Svome Trogiru,2002.0-Tenori I Tenorine O Svome Trogiru/2015.0-Orange Collection
Vinko Coce,Vinko Coce,U Zaljevu Malom Gle,2:52,Unknown Artist,Tenori I Tenorine O Svome Trogiru,,,,2002.0,Joško Banov,,,,,,,,,2002.0-Tenori I Tenorine O Svome Trogiru,2002.0-Tenori I Tenorine O Svome Trogiru
Vinko Coce,Vinko Coce,Nedija,4:15,,Odriši mi dušu,,,,,Dragan Brnas,,Goran Komazin,Goran Komazin,,,,,,nan-Odriši mi dušu,nan-Odriši mi dušu/2011.0-Najljepše Ljubavne Pjesme
Vinko Coce,Vinko Coce,Mornari,3:31,,Odriši mi dušu,,,,,Dragan Brnas,,Goran Komazin,Goran Komazin,,,,,,nan-Odriši mi dušu,nan-Odriši mi dušu/2006.0-Zlatna Kolekcija
Vinko Coce,Vinko Coce,Srce ti je stina,3:20,,Odriši mi dušu,,,,,Dragan Brnas,,Goran Komazin,Goran Komazin,,,,,,nan-Odriši mi dušu,nan-Odriši mi dušu
Vinko Coce,Vinko Coce,Nek' te sunce zlati,4:38,,Odriši mi dušu,,,,,Dragan Brnas,,Goran Komazin,Goran Komazin,,,,,,nan-Odriši mi dušu,nan-Odriši mi dušu
Vinko Coce,Vinko Coce,Domenika,4:48,,Odriši mi dušu,,,,,Nikša Bratoš,,Dragan Brnas,Dragan Brnas,,,,,,nan-Odriši mi dušu,nan-Odriši mi dušu
Vinko Coce,Vinko Coce,Na Neretvu misečina pala,4:40,,Odriši mi dušu,,,,,Goran Martinac,,Goran Komazin,Traditional,Tomislav Martić,,,,,nan-Odriši mi dušu,nan-Odriši mi dušu
Vinko Coce,Vinko Coce,Odriši mi dušu,4:04,,Odriši mi dušu,,,,,Dragan Brnas,,Dragan Brnas,Dragan Brnas,,,,,,nan-Odriši mi dušu,nan-Odriši mi dušu
Vinko Coce,Vinko Coce,Daleko je srce,3:42,,Odriši mi dušu,,,,,Dragan Brnas,,Goran Komazin,Goran Komazin,,,,,,nan-Odriši mi dušu,nan-Odriši mi dušu
Vinko Coce,Vinko Coce,Gajeta,3:55,,Odriši mi dušu,,,,,Goran Martinac,,Goran Komazin,Goran Komazin,,,,,,nan-Odriši mi dušu,nan-Odriši mi dušu
Vinko Coce,Vinko Coce,Ništa nije važno (ka' i ti),4:06,,Odriši mi dušu,,,,,Dragan Brnas,,Dragan Brnas,Dragan Brnas,,,,,,nan-Odriši mi dušu,nan-Odriši mi dušu
Vinko Coce,Vinko Coce,Mix 1,06:30,,Zvuci Dalmacije / Sounds Of Dalmatia Megamix,,,,,,,,,,,,,,nan-Zvuci Dalmacije / Sounds Of Dalmatia Megamix,nan-Zvuci Dalmacije / Sounds Of Dalmatia Megamix
Vinko Coce,Vinko Coce,Mix 2,07:45,,Zvuci Dalmacije / Sounds Of Dalmatia Megamix,,,,,,,,,,,,,,nan-Zvuci Dalmacije / Sounds Of Dalmatia Megamix,nan-Zvuci Dalmacije / Sounds Of Dalmatia Megamix
Vinko Coce,Vinko Coce,Mix 3,09:37,,Zvuci Dalmacije / Sounds Of Dalmatia Megamix,,,,,,,,,,,,,,nan-Zvuci Dalmacije / Sounds Of Dalmatia Megamix,nan-Zvuci Dalmacije / Sounds Of Dalmatia Megamix
Vinko Coce,Vinko Coce,Mix 4,06:23,,Zvuci Dalmacije / Sounds Of Dalmatia Megamix,,,,,,,,,,,,,,nan-Zvuci Dalmacije / Sounds Of Dalmatia Megamix,nan-Zvuci Dalmacije / Sounds Of Dalmatia Megamix
Vinko Coce,Vinko Coce,Mix 5,08:22,,Zvuci Dalmacije / Sounds Of Dalmatia Megamix,,,,,,,,,,,,,,nan-Zvuci Dalmacije / Sounds Of Dalmatia Megamix,nan-Zvuci Dalmacije / Sounds Of Dalmatia Megamix
Vinko Coce,Vinko Coce,Mix 6,5:04,,Zvuci Dalmacije / Sounds Of Dalmatia Megamix,,,,,,,,,,,,,,nan-Zvuci Dalmacije / Sounds Of Dalmatia Megamix,nan-Zvuci Dalmacije / Sounds Of Dalmatia Megamix
Vinko Coce,Vinko Coce,Mix 7,11:14,,Zvuci Dalmacije / Sounds Of Dalmatia Megamix,,,,,,,,,,,,,,nan-Zvuci Dalmacije / Sounds Of Dalmatia Megamix,nan-Zvuci Dalmacije / Sounds Of Dalmatia Megamix
Vinko Coce,Vinko Coce,"Svaka Ti Vridi, Stari Moj",4:00,,"Svaka Ti Vridi, Stari Moj",,,,2006.0,,,,,,,,,,"2006.0-Svaka Ti Vridi, Stari Moj","2006.0-Svaka Ti Vridi, Stari Moj/2006.0-More Sinje"
Vinko Coce,Vinko Coce,Božje Ure,3:26,,Božje Ure,,,,2006.0,,,,,,,,,,2006.0-Božje Ure,2006.0-Božje Ure/2006.0-More Sinje/0.0-Dalmatinski Biseri
Vinko Coce,Vinko Coce,More Sinje,,,More Sinje,,,,2006.0,,,,,,,,,,2006.0-More Sinje,2006.0-More Sinje/0.0-Dalmatinski Biseri
Vinko Coce,Vinko Coce,Pod Tvojom Zastavom,,,More Sinje,,,,2006.0,,,,,,,,,,2006.0-More Sinje,2006.0-More Sinje/0.0-Dalmatinski Biseri
Vinko Coce,Vinko Coce,Plovila Mala Barka,,,More Sinje,,,,2006.0,,,,,,Marina Tomašević,,,,2006.0-More Sinje,2006.0-More Sinje/2006.0-More Sinje/2006.0-Zlatni Hitovi Dalmacije/0.0-Dalmatinski Biseri
Vinko Coce,Vinko Coce,"Dalmacijo, Ja Sam Tvoje Sime",,,More Sinje,,,,2006.0,,,,,,,,,,2006.0-More Sinje,2006.0-More Sinje
Vinko Coce,Vinko Coce,Pescatori,,,More Sinje,,,,2006.0,,,,,,,,,,2006.0-More Sinje,2006.0-More Sinje
Vinko Coce,Vinko Coce,More Li,,,More Sinje,,,,2006.0,,,,,,"Klapa ""Trogir""",,,,2006.0-More Sinje,2006.0-More Sinje/2006.0-More Sinje/2006.0-Zlatni Hitovi Dalmacije/2006.0-Zlatna Kolekcija/2008.0-Ne Damo Te Pismo Naša/2011.0-Najljepše Ljubavne Pjesme/2017.0-The Best Of Collection/0.0-Dalmatinski Biseri
Vinko Coce,Vinko Coce,Tučepi,,,More Sinje,,,,2006.0,,,,,,,,,,2006.0-More Sinje,2006.0-More Sinje/2006.0-More Sinje/0.0-Dalmatinski Biseri
Vinko Coce,Vinko Coce,Ma,,,More Sinje,,,,2006.0,,,,,,Klapa Putalj,,,,2006.0-More Sinje,2006.0-More Sinje/0.0-Dalmatinski Biseri
Vinko Coce,Vinko Coce,Živote Moj,,,More Sinje,,,,2006.0,,,,,,Goran Karan,,,,2006.0-More Sinje,2006.0-More Sinje/0.0-Dalmatinski Biseri
Vinko Coce,Vinko Coce,Ča Je Život,,,More Sinje,,,,2006.0,,,,,,Klapa Sveti Juraj - Hrm,,,,2006.0-More Sinje,2006.0-More Sinje/0.0-Dalmatinski Biseri
Vinko Coce,Vinko Coce,"More, Riba, Galeb, Sunce",,,More Sinje,,,,2006.0,,,,,,Duško Mucalo,,,,2006.0-More Sinje,2006.0-More Sinje
Vinko Coce,Vinko Coce,Video Spotovi:,,,More Sinje,,,,2006.0,,,,,,,,,,2006.0-More Sinje,2006.0-More Sinje
Vinko Coce,Vinko Coce,Sićaš Li Se Lungo Mare,04:05,,Zlatni Hitovi Dalmacije,,,,2006.0,,,,,,,,,,2006.0-Zlatni Hitovi Dalmacije,2006.0-Zlatni Hitovi Dalmacije/2011.0-Najljepše Ljubavne Pjesme/2017.0-The Best Of Collection
Vinko Coce,Vinko Coce,Hej Živote Moj,03:02,,Zlatni Hitovi Dalmacije,,,,2006.0,,,,,,,,,,2006.0-Zlatni Hitovi Dalmacije,2006.0-Zlatni Hitovi Dalmacije/2006.0-Zlatna Kolekcija
Vinko Coce,Vinko Coce,Vilo Moja,03:57,,Zlatni Hitovi Dalmacije,,,,2006.0,,,,,,"Klapa ""Krk""",,,,2006.0-Zlatni Hitovi Dalmacije,2006.0-Zlatni Hitovi Dalmacije/2008.0-Ne Damo Te Pismo Naša/2008.0-Na Mostu Jubavi
Vinko Coce,Vinko Coce,Nek' Te Sunce Zlati,4:38,,Zlatna Kolekcija,,,,2006.0,,,,,,,,,,2006.0-Zlatna Kolekcija,2006.0-Zlatna Kolekcija
