,Song_ID,Song,Lyrics
20,vmjQPyJ5_1_20,Dok svira radio,"U tvojoj sobi sentiš svira, odlaziš na spavanje, a ja zamišljam da sam kraj tebe. Gasiš svjetlo i u tami skidaš, haljinu na kopčanje, a ja gledam još u tvoje prozore. Dok svira radio šta bih ti radio, na, na, na, na, dok svira radio šta bih ti radio, na, na, na, na, samo da sam ove noći kraj tebe"
21,vmjQPyJ5_1_21,Eloise,"Un esspresso por moi. K'o barsun je rekla. A ja kao da znam. Jos stavim kap mlijeka. Pogled skinuti s nje. Nisam mogao, ne. Kaze otkazan let. Za Pariz zbog kise. Svuda Chanel No. 5. Moj Boze, mirise. K'o u onome snu. Kad sam vidio nju. Eloise, sve prolazi. Al' ti si ostala tu. Eloise, noc dolazi. Srest cu te opet u snu. Un esspresso por moi. Za Bozic napise. A na Chanel No. 5. Mi soba mirise. K'o u onome snu. Kad sam volio nju. Un esspresso pur moi. Ponekad mi pise. Tad na Chanel No. 5. Mi soba mirise. K'o u onome snu. Kad sam volio nju"
22,vmjQPyJ5_1_22,Emily,"K'o nekad i sada, ja do Starog grada, prošetam da nađem miris taj, i nebo pred kišu. Nova djeca ljube se, na pragu je proljeće, isti je početak ko zna kraj, čuj kako dišu. Emily, naši dani svi, tiha nježna sjećanja i sad, u njima ti si. Emily, oči tražim ti, grlim teške puste vječnosti. Emily... A moja si bila ti, ti i more ljubavi, u srcu još nosim isti znak, u kojem dišu. Emily..."
23,vmjQPyJ5_1_23,Gdje si ti,"Jesen je, vjetar nosi lišće i miris toplog kestena, ulice k'o iz neke priče, sve u zlatnim bojama, sunce prati djecu napolju, ptice lete prema proljeću. A gdje si ti da kažeš mi, što je prava odluka, koju stranu raskrižja odabrati. A gdje si ti da prospeš mi, dva-tri dobra razloga, da život nije prevara, iluzija. A gdje si ti da priznaš mi, da je sve postojalo, da sam te upoznao, s tobom mladost proveo, reci mi gdje si ti. Jesen je, vjetar nosi lišće i miris toplog kestena, ulice k'o iz neke priče, sve u zlatnim bojama, sunce prati djecu napolju, ptice lete prema proljeću"
24,vmjQPyJ5_1_24,Gore iznad oblaka,"Jedna vecer sasvim prosta. Komad tuge, zrno sna. Meni tebe nikad dosta. Poslije svih tih godina. Mlado vino, davne slike. K'o na platnu redaju se. Da l' iz zelje il' navike. One traju, ne daju se. A gore iznad oblaka. Svakom pise broj koraka. Ima li koga da kaze mi. Da cu te sresti pa da slaze mi. Ne znam ja nista o zvijezdama. I sto ce biti kad se probudim. Al' znam da moram da te poljubim. Bar jos jednom da ne poludim. Sve sam bure i oluje. Iza sebe ostavio. Al' od pjesme i od tebe. Jos ti nisam ozdravio"
25,vmjQPyJ5_1_25,Grlim mrak,"Sada je noć duga preduga. Grlim mrak, tražim znak ja tvoj. Vrtim k'o lud slike sjećanje. Grlim mrak, tražim znak ja tvoj. Da li bijaše to ljubav draga ili osjećaj vara me. Grlim... Šaljem putem tvoga traga slijepo nadanje. Grlim... Gdje li si, tko te čuva sad. Mala je planeta, mali ovaj grad. Bit ću ja duh ove ljubavi ovog sna. Bez tebe sam lud. Bez tebe nisam više ja. Nije tajna draga. Bez tebe ja nisam jak. Bez tebe sam lud."
26,vmjQPyJ5_1_26,Hitna ljubav (duet Sara Grimaldi),"Ne znam da l' sam postao lud, il' mozda luda si ti, tu sam gdje sam i nemam kud, al' bome nemas ni ti. Budale dvije, to smo mi, ma ko ce to promijeniti, nema ko, samo mi, samo duso ja i ti, ja i ti. Tvoju ljubav hitno trebam ja, srce skoro vise ne kuca, sporo prolaze mi sati, ili idi, il' se vrati. Svadjamo se, razloga sto, a cista obijest je to, uzeo bih sve to za zlo, ma da te ne volim tako"
27,vmjQPyJ5_1_27,Isplaci se,"On se s drugom ljubi, ti to znas, a ti si htjela, mladost da mu das. Tesko je kad srce boli te, tesko je kad suze govore. Isplaci, isplaci, isplaci se, isplaci, isplaci, isplaci, suze zaboravi, u mojim rukama, u mojim rukama. Prva ljubav, uvijek gorka je, i cini ti se, laznije tada sve"
28,vmjQPyJ5_1_28,Ispod mog kišobrana,"Kap po kap padala je kiša iznad nas, kao znak, kao da sam čuo tajni glas, i sve je bilo kao neki san, neki neobičan dan, kao da sam odabran, i sve se vidjelo u pogledu, sve je bilo deja-vue, k'o da bio sam već tu. Ispod mog kišobrana, kap po kap krala si mi srce toga dana. Ispod mog kisobrana, kap po kap da l' to bješe ljubav među nama, . Ispod mog kišobrana, kap po kap krala si mi srce toga dana. Ispod mog kisobrana, kap po kap da l' to bješe ljubav, reci Ana. Kap po kap padala je kiša iznad nas, kao znak, kao da sam čuo tajni glas, i sve je bilo kao neki san, neki neobičan dan, kao da sam odabran, i sve se vidjelo u pogledu, sve je bilo deja-vue, k'o da bio sam već tu."
29,vmjQPyJ5_1_29,Ispod starog mosta,"Dole kraj rijeke, davno svirao sam blues, sa tobom nikad, nisam znao sto je luz. Clapton i B.B. King, pokazali su put, al´ blues bez tebe, sad je uzalud. Nebo pink, oci k´o drago kamenje, nosila je osmijeh, kao znamenje. Proteklo je puno vode, ispod starog mosta, tebe u mom srcu, baby, nikad nije dosta. Prolaze mi duga ljeta, jeseni i zime, a ja samo zovem, zovem tvoje ime. Prsti su otvrdnuli, kroz te godine, al´ srce nema nacina, da otvrdne. I sto je bilo prije, blues il´ mozda bol, sreca i tuga uvijek, dijele isti stol"
30,vmjQPyJ5_1_30,Ja ću ove noći,"Ne znam ja broj ni adresu. Ne znam ja sve što trebam znati. Ali znam ruke se tresu. Znam jer meni nešto spopada. Tamo u dnu duše moje. Nemire zlatne naći ću. A dlanovi samo se znoje. Uveniti zbog tebe. Ja ću, ja ću. Ove noći na sve strane svemira. Poći. Noge ću polomiti. Al' ću tebe vidjeti. O da. Ne znam ja gdje se kriješ. Ne znam ja sve što trebam znati. Ali znam, nešto mi je. Kad o tebi razmišljam. U grudima škripi i grebe. Kao da slonovi skaću. Misleći puno na tebe. Uvenuti vjeruj mi"
31,vmjQPyJ5_1_31,Ja te sanjam,"Zaboravio sam tvoj, osmijeh i tvoj glas, jos samo oci pamtim ti, iz sjecanja izbrisao, sam stranicu ljubavi. Dok kisa pada, sjene se bude, u ovoj sobi mrak caruje. A ja te sanjam, sanjam da te ljubim, pa te jutrom trazim, u svim ljudima. I jos te sanjam, sanjam da te grlim, al' boli kad se budim, k'o noz u grudima"
32,vmjQPyJ5_1_32,Jos sam uvijek tvoj,"Ova noc je, u zivotu mom, k'o i svaka, samo falis ti. Tvoje usne, mom su srcu dom, kao crveno u ljubavi. Milijun svijeca, lezi u mom snu, na suncan dan, ja kisu nacrtam. Nema nikog, kada si na dnu, navik'o sam biti sam. Kada bi se ti, mene sjetila, glavu sagnula, i nasmijesila. Stao bih pred tugu, rek'o bih joj stoj, rijetka ptico, znaj, jos sam uvijek tvoj"
33,vmjQPyJ5_1_33,Još te volim,"Padaju li zvijezde ili sanjam. Da se nešto loše desilo. Život ruši sudbine od pijeska. Ništa od nas nije ostalo. Nek mi pruži ruke ova noć. Da me dobro sakrije, od boli te. Umiru li uvijek svi heroji. Ko i svake prave ljubavi. Ne može se dalje u budućnost. Kada prošlost glavu zarobi. Nek mi pruži ruke ova noć. Da me dobro sakrije. Od boli te. Još te volim kao nekada. Još te volim ko kišu pustinja. Teško je bilo sa tobom. Još je teže bez tebe, bez tebe"
34,vmjQPyJ5_1_34,Kad ljubav stigne u grad,"Ovo nije san, ovo nije java, nije noć, ni dan, nisam umoran, ne znam dal' sam budan ili blesav sam, ovo nije mrak, nije svjetlo, suton a ni svitanje, k'o da gori zrak, kao da me deset tona pritišće. To što se događa k'o grom me pogađa, otkad te vidjeh ja pamet me izdala. Kad ljubav stigne u grad, dani brzo prolaze, moja vučice, i bio star ili mlad, nema šanse da ti tad koljeno ne klecne. Ovo nije mrak, nije svjetlo, suton, a ni svitanje, k'o da gori zrak, kao da me deset tona pritišće, to što se događa k'o grom me pogađa, otkad te vidjeh ja pamet me izdala. Odjednom ceste su sve pune iluzije, počinje magija kad zaljubim se ja. Odjednom ceste su sve pune iluzije, počinje magija kad zaljubim se ja"
35,vmjQPyJ5_1_35,Kad te srce za mnom zaboli,"Kad te srce za mnom zaboli, bit će kasno da te opet zavolim, neću te sanjati, neću trebati, meni više ništa nećeš značiti, kad te srce za mnom zaboli. O, sve ove godine, o, nek' se zaborave, kad te srce za mnom zaboli. O, sve ove godine, o, nek' se zaborave, kad te srce za mnom zaboli"
