Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Album_title_discogs,Written-By_discogs,Album_year_discogs,Lyrics By_discogs,Lyrics By [Croatian]_discogs,Music By_discogs,Vocals_discogs,Arranged By_discogs,Performer_discogs,Remix_discogs,Recorded By_discogs,Producer_discogs,Featuring_discogs,Album_year_title_discogs,All_albums_discogs
Prljavo Kazalište,Prljavo Kazalište,Marina,3:52,Zaustavite Zemlju,,,,,,,,,,,,,nan-Zaustavite Zemlju,"nan-Zaustavite Zemlju/1989.0-... Mojoj Majci / Marina/1989.0-Voljenom Gradu/nan-Sve Je Lako Kad Si Mlad - Live/nan-Zabranjeni Koncert/nan-Božićni Koncert 27.12.1994/1998.0-Hitovi/nan-77-99 Sve Je Lako Kad Si Mlad/nan-Best Of - Live/2009.0-XXX Godina - Službeno Otvorenje Arene Zagreb, 17.01.2009/2009.0-XXX Godina - Službeno Otvorenje Arene Zagreb, 17.01.2009/2010.0-Single Collection '79 - '90/2012.0-Live Kompilacija Najvećih Hitova + Ljubav Je.../2017.0-Antologija/2019.0-XL World Tour Finale - Stadion Zagreb/2019.0-XL World Tour Finale Stadion Zagreb/2019.0-XL World Tour Finale Stadion Zagreb/2020.0-30 Godina Od Koncerta Na Trgu - Arena Zagreb/nan-30 Godina Od Koncerta Na Trgu - Arena Zagreb"
Prljavo Kazalište,Prljavo Kazalište,Moj Bijeli Labude,4:58,Zaustavite Zemlju,,,,,,,,,,,,,nan-Zaustavite Zemlju,nan-Zaustavite Zemlju/1989.0-Voljenom Gradu/nan-Sve Je Lako Kad Si Mlad - Live/nan-Rock Balade/nan-Božićni Koncert 27.12.1994/nan-20 Godina/2017.0-Antologija
Prljavo Kazalište,Prljavo Kazalište,Prisluškuju Nas Susjedi,3:00,Zaustavite Zemlju,,,,,,,,,,,,,nan-Zaustavite Zemlju,nan-Zaustavite Zemlju/nan-77-99 Sve Je Lako Kad Si Mlad/2020.0-30 Godina Od Koncerta Na Trgu - Arena Zagreb/nan-30 Godina Od Koncerta Na Trgu - Arena Zagreb
Prljavo Kazalište,Prljavo Kazalište,Slaži Mi,4:50,Zaustavite Zemlju,,,,,,,,,,,,,nan-Zaustavite Zemlju,nan-Zaustavite Zemlju/nan-ZG Rock Forces Live!/nan-Sve Je Lako Kad Si Mlad - Live/nan-77-99 Sve Je Lako Kad Si Mlad/2010.0-Single Collection '79 - '90 B Sides/2017.0-Antologija/2020.0-30 Godina Od Koncerta Na Trgu - Arena Zagreb/nan-30 Godina Od Koncerta Na Trgu - Arena Zagreb
Prljavo Kazalište,Prljavo Kazalište,449 (Svaki Put Kad Odlaziš),5:59,Zaustavite Zemlju,,,,,,,,,,,,,nan-Zaustavite Zemlju,nan-Zaustavite Zemlju/nan-Rock Balade
Prljavo Kazalište,Prljavo Kazalište,Budala Malena,3:10,Zaustavite Zemlju,,,,,,,,,,,,,nan-Zaustavite Zemlju,nan-Zaustavite Zemlju/1989.0-Voljenom Gradu/nan-Sve Je Lako Kad Si Mlad - Live/2010.0-Single Collection '79 - '90 B Sides
Prljavo Kazalište,Prljavo Kazalište,Vlakovi,3:59,Zaustavite Zemlju,,,,,,,,,,,,,nan-Zaustavite Zemlju,nan-Zaustavite Zemlju/nan-Rock Balade/nan-Božićni Koncert 27.12.1994/2017.0-Antologija/2020.0-30 Godina Od Koncerta Na Trgu - Arena Zagreb
Prljavo Kazalište,Prljavo Kazalište,... Mojoj Majci (Topoteka House Mix),,... Mojoj Majci / Marina,,1989.0,,,,,Željko Pucko,Nenad Zubak,DJ Pucko,,,,1989.0-... Mojoj Majci / Marina,1989.0-... Mojoj Majci / Marina
Prljavo Kazalište,Prljavo Kazalište,Moja Je Djevojka Otišla U Armiju,,Voljenom Gradu,,1989.0,,,,,,,,,,,1989.0-Voljenom Gradu,1989.0-Voljenom Gradu
Prljavo Kazalište,Prljavo Kazalište,Ma Kog Me Boga Za Tebe Pitaju,,Voljenom Gradu,,1989.0,,,,,,,,,,,1989.0-Voljenom Gradu,"1989.0-Voljenom Gradu/nan-Rock Balade/nan-Zabranjeni Koncert/2009.0-XXX Godina - Službeno Otvorenje Arene Zagreb, 17.01.2009/2010.0-Single Collection '79 - '90/2020.0-30 Godina Od Koncerta Na Trgu - Arena Zagreb"
Prljavo Kazalište,Prljavo Kazalište,Mojoj Majci,,Voljenom Gradu,,1989.0,,,,,,,,,,,1989.0-Voljenom Gradu,"1989.0-Voljenom Gradu/1989.0-Voljenom Gradu/nan-Sve Je Lako Kad Si Mlad - Live/nan-Rock Balade/nan-Zabranjeni Koncert/nan-77-99 Sve Je Lako Kad Si Mlad/nan-Best Of - Live/nan-Best Of - Live/2009.0-XXX Godina - Službeno Otvorenje Arene Zagreb, 17.01.2009/2009.0-XXX Godina - Službeno Otvorenje Arene Zagreb, 17.01.2009/2010.0-Single Collection '79 - '90/2010.0-Najveći Hitovi/2012.0-Live Kompilacija Najvećih Hitova + Ljubav Je.../2017.0-Antologija/2019.0-XL World Tour Finale - Stadion Zagreb/2019.0-XL World Tour Finale Stadion Zagreb/2019.0-XL World Tour Finale Stadion Zagreb/2020.0-30 Godina Od Koncerta Na Trgu - Arena Zagreb/nan-30 Godina Od Koncerta Na Trgu - Arena Zagreb/0.0-Lupi Petama,.... - Koncert U Hrvatskom Narodnom Kazalištu"
Prljavo Kazalište,Prljavo Kazalište,Kad Sam Imao 16,5:38,ZG Rock Forces Live!,,,,,Smiljan Paradiš,,Ivan Piko Stančić,,,,,,nan-ZG Rock Forces Live!,nan-ZG Rock Forces Live!
Prljavo Kazalište,Prljavo Kazalište,Ona Vrišti Da Voli Me,2:52,ZG Rock Forces Live!,,,,,Aleksandar Radulović - Futa,,Aleksandar Radulović - Futa,,,,,,nan-ZG Rock Forces Live!,nan-ZG Rock Forces Live!
Prljavo Kazalište,Prljavo Kazalište,Zauvijek!,2:40,ZG Rock Forces Live!,,,,,,,,,,,,,nan-ZG Rock Forces Live!,nan-ZG Rock Forces Live!
Prljavo Kazalište,Prljavo Kazalište,Nebo,3:25,ZG Rock Forces Live!,,,,,,,,,,,,,nan-ZG Rock Forces Live!,nan-ZG Rock Forces Live!
Prljavo Kazalište,Prljavo Kazalište,Ja Volim Samo Sebe,3:42,ZG Rock Forces Live!,,,,,,,,,,,,,nan-ZG Rock Forces Live!,nan-ZG Rock Forces Live!
Prljavo Kazalište,Prljavo Kazalište,Ramona,3:20,ZG Rock Forces Live!,,,,,,,,,,,,,nan-ZG Rock Forces Live!,nan-ZG Rock Forces Live!
Prljavo Kazalište,Prljavo Kazalište,Srce Na Cesti,3:45,ZG Rock Forces Live!,,,,,,,,,,,,,nan-ZG Rock Forces Live!,nan-ZG Rock Forces Live!
Prljavo Kazalište,Prljavo Kazalište,Zamisli Život U Ritmu Muzike Za Ples,3:25,ZG Rock Forces Live!,,,,,,,,,,,,,nan-ZG Rock Forces Live!,nan-ZG Rock Forces Live!
Prljavo Kazalište,Prljavo Kazalište,Sječam Se Prvog Poljupca,5:20,ZG Rock Forces Live!,,,,,,,,,,,,,nan-ZG Rock Forces Live!,nan-ZG Rock Forces Live!
Prljavo Kazalište,Prljavo Kazalište,Valovi (67-77-87),3:43,ZG Rock Forces Live!,,,,,,,,,,,,,nan-ZG Rock Forces Live!,nan-ZG Rock Forces Live!
Prljavo Kazalište,Prljavo Kazalište,Pjevajmo Do Zore,4:40,ZG Rock Forces Live!,,,,,,,,,,,,,nan-ZG Rock Forces Live!,nan-ZG Rock Forces Live!
Prljavo Kazalište,Prljavo Kazalište,041,4:27,ZG Rock Forces Live!,,,,,,,,,,,,,nan-ZG Rock Forces Live!,nan-ZG Rock Forces Live!
Prljavo Kazalište,Prljavo Kazalište,Pusti Nek Traje,3:32,ZG Rock Forces Live!,,,,,,,,,,,,,nan-ZG Rock Forces Live!,nan-ZG Rock Forces Live!
Prljavo Kazalište,Prljavo Kazalište,Prokleta Nedjelja,3:54,ZG Rock Forces Live!,,,,,,,,,,,,,nan-ZG Rock Forces Live!,nan-ZG Rock Forces Live!
Prljavo Kazalište,Prljavo Kazalište,Gledam Je Dok Spava,7:20,ZG Rock Forces Live!,,,,,,,,,,,,,nan-ZG Rock Forces Live!,nan-ZG Rock Forces Live!
Prljavo Kazalište,Prljavo Kazalište,Some Boys,,Sve Je Lako Kad Si Mlad - Live,,,,,,,,,,,,,nan-Sve Je Lako Kad Si Mlad - Live,nan-Sve Je Lako Kad Si Mlad - Live
