Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Album_title_discogs,Alto Saxophone_discogs,Drums_discogs,Electric Guitar_discogs,Percussion_discogs,Arranged By [Co-arranged]_discogs,Violin_discogs,Music By [Co-written]_discogs,Lyrics By [Co-written]_discogs,Backing Vocals_discogs,Pipe [Šurle]_discogs,Bagpipes_discogs,Programmed By_discogs,Double Bass_discogs,Kazoo_discogs,Engineer_discogs,Soprano Saxophone_discogs,Voice [French]_discogs,Written-By_discogs,Pipe [Fife]_discogs,Tin Whistle_discogs,Lyrics By_discogs,Accordion_discogs,Bandoneon_discogs,Djembe_discogs,Bass_discogs,Drum Programming_discogs,Music By_discogs,Arranged By_discogs,Double Bass [Contrabass]_discogs,Guitar_discogs,Harmonium_discogs,Vocals_discogs,Tambourine [Riqq]_discogs,Effects [Concrete Sounds]_discogs,Piano_discogs,Trumpet_discogs,Performer [Ghitak]_discogs,Clarinet_discogs,Goblet Drum [Tarabuka]_discogs,Saxophone [Sopran]_discogs,Sitar_discogs,Strings_discogs,Trombone_discogs,Drums [Duf]_discogs,Melodica_discogs,Organ_discogs,Saxophone_discogs,Album_year_discogs,Featuring_discogs,Written By_discogs,Cello_discogs,Stylophone [Bass]_discogs,Choir [Zbor Kojota]_discogs,Tuba_discogs,Viola_discogs,Synthesizer_discogs,Contrabass_discogs,Tenor Saxophone_discogs,Album_year_title_discogs,All_albums_discogs
Darko Rundek,Darko Rundek,La Comédie Des Sens,5:50,Ruke,,,,,,,,,,,,,,,,,,,,,Bastien Dechaume,Viviane Arnoux,Đani Pervan,Đani Pervan,Darko Rundek,Darko Rundek,Darko Rundek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Ruke,nan-Ruke
Darko Rundek,Darko Rundek,Ista Slika,4:11,Ruke,,,,,,,,,Đani Pervan,,,,,,,,,,,,Darko Rundek,,,,,,Darko Rundek,Zoran Zajec,Marc Buronfosse,Jean-Baptist Laya,Dušan Vranić,Dušan Vranić,Đani Pervan,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Ruke,nan-Ruke/nan-ApoCalypso
Darko Rundek,Darko Rundek,Kuba,5:45,Ruke,,,,,,,,,,,,,,,,,,,,,Darko Rundek,,,Đani Pervan,Darko Rundek,,Dušan Vranić,,,Darko Rundek,,,,Vedran Peternel,Dušan Vranić,Igor Pavlica,,,,,,,,,,,,,,,,,,,,,,,nan-Ruke,nan-Ruke
Darko Rundek,Darko Rundek,Mlin Tema,0:59,Ruke,,,,,,,,,,,,,,,,,,,,,,,,,,,Dušan Vranić,,,,,Dušan Vranić,,,Dušan Vranić,,Đani Pervan,,,,,,,,,,,,,,,,,,,,,,nan-Ruke,nan-Ruke
Darko Rundek,Darko Rundek,Makedo,4:17,Ruke,,,,,,,,,,,,,,,,,,,,,Darko Rundek,Viviane Arnoux,,,Darko Rundek,,Isabel (9),,Laurent Le Gall,Đani Pervan,,,,,,,,Jakša Kriletić,Đani Pervan,Philippe Botta,Dušan Vranić,Loma Gosa,,,,,,,,,,,,,,,,,nan-Ruke,nan-Ruke
Darko Rundek,Darko Rundek,Ruke,5:20,Ruke,,,,,,,,,,,,,,,,,,,,,Darko Rundek,,,,Darko Rundek,,Darko Rundek,,,Darko Rundek,,,,,,,,,,,,Loma Gosa,Nenad Grahovac,,,,,,,,,,,,,,,,nan-Ruke,nan-Ruke
Darko Rundek,Darko Rundek,Sjaj Što Izdaje,5:41,Ruke,,,,,,,,,,,,,,,,,,,,,Darko Rundek,,,,Đani Pervan,,Darko Rundek,,,Darko Rundek,,,,,,,,,,,,,Nenad Grahovac,Đani Pervan,,,,,,,,,,,,,,,nan-Ruke,nan-Ruke
Darko Rundek,Darko Rundek,Sanjam,5:08,Ruke,,,,,,,,,,,,,,,,,,,,,Darko Rundek,,Dušan Vranić,,Đani Pervan,,Isabel (9),,,Darko Rundek,,,,,,,,,,,,,,Đani Pervan,Dušan Vranić,,,,,,,,,,,,,,nan-Ruke,nan-Ruke
Darko Rundek,Darko Rundek,Tigidigi Rege,4:25,Ruke,,,,,,,,,Đani Pervan,,,,,,,,,,,,Darko Rundek,,,,Darko Rundek,,Isabel (9),,,Đani Pervan,,Dušan Vranić,,,,,,,,,,,Nenad Grahovac,,Dušan Vranić,,,,,,,,,,,,,,nan-Ruke,nan-Ruke
Darko Rundek,Darko Rundek,Stojim I Gledam Se Kako Postojim,6:32,Ruke,,Đani Pervan,,,,,,,,,,,,,,,,,,,Darko Rundek,,Dušan Vranić,,Darko Rundek,,Darko Rundek,,,Darko Rundek,,,,Vedran Peternel,,,,,,,,Loma Gosa,Nenad Grahovac,,,Dušan Vranić,,,,,,,,,,,,,nan-Ruke,nan-Ruke
