Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Composed By_discogs,Arranged By_discogs,Lyrics By_discogs,Album_title_discogs,Music By_discogs,Text By_discogs,Album_year_discogs,Vocals [Guest]_discogs,Backing Vocals_discogs,Cimbalom_discogs,Programmed By_discogs,Bass_discogs,Keyboards_discogs,Acoustic Guitar_discogs,Mandolin_discogs,Tamburitza_discogs,Vocals_discogs,Written-By_discogs,Harmonica_discogs,Electric Guitar_discogs,Violin_discogs,Flute_discogs,Accordion_discogs,Directed By_discogs,Featuring_discogs,Guest_discogs,Written By_discogs,Vocals [Duet]_discogs,Album_year_title_discogs,All_albums_discogs
Miroslav Škoro,Miroslav Škoro,Da Mi Je Soko Ptica Biti,3:00,,,,Sitan Vez,,,,,,,,,,,,,,,,,,,,,,,,,nan-Sitan Vez,nan-Sitan Vez/2003.0-Miroslav Škoro Uživo
Miroslav Škoro,Miroslav Škoro,Majko Jedina,3:19,,,,Sitan Vez,,,,,,,,,,,,,,,,,,,,,,,,,nan-Sitan Vez,nan-Sitan Vez/2003.0-Miroslav Škoro Uživo/2007.0-Sve Najbolje/2010.0-Stoput Bih Isto Ponovio - Autobiografija/2013.0-Sve Najbolje!
Miroslav Škoro,Miroslav Škoro,Stari Čikl,3:17,,,,Sitan Vez,,,,,,,,,,,,,,,,,,,,,,,,,nan-Sitan Vez,nan-Sitan Vez/2003.0-Miroslav Škoro Uživo/2010.0-Stoput Bih Isto Ponovio - Autobiografija
Miroslav Škoro,Miroslav Škoro,"Što Te Imam, Moj Živote",,,,,Ptica Samica,,,,,,,,,,,,,,,,,,,,,,,,,nan-Ptica Samica,nan-Ptica Samica/2007.0-Sve Najbolje/2013.0-Sve Najbolje!
Miroslav Škoro,Miroslav Škoro,Dvorište,,,,,Ptica Samica,,,,,,,,,,,,,,,,,,,,,,,,,nan-Ptica Samica,nan-Ptica Samica/2007.0-Sve Najbolje/2013.0-Sve Najbolje!
Miroslav Škoro,Miroslav Škoro,Neće Grom U Koprive,,,,,Ptica Samica,,,,,,,,,,,,,,,,,,,,,,,,,nan-Ptica Samica,nan-Ptica Samica
Miroslav Škoro,Miroslav Škoro,Maligani,,,,,Ptica Samica,,,,,,,,,,,,,,,,,,,,,,,,,nan-Ptica Samica,nan-Ptica Samica/2010.0-Stoput Bih Isto Ponovio - Autobiografija
Miroslav Škoro,Miroslav Škoro,Žao Mi Je,,,,,Ptica Samica,,,,,,,,,,,,,,,,,,,,,,,,,nan-Ptica Samica,nan-Ptica Samica/2010.0-Stoput Bih Isto Ponovio - Autobiografija
Miroslav Škoro,Miroslav Škoro,Ptica Samica,,,,,Ptica Samica,,,,,,,,,,,,,,,,,,,,,,,,,nan-Ptica Samica,nan-Ptica Samica/2007.0-Sve Najbolje/2013.0-Sve Najbolje!
Miroslav Škoro,Miroslav Škoro,"Život Spaja, Razdvaja",,,,,Ptica Samica,,,,,,,,,,,,,,,,,,,,,,,,,nan-Ptica Samica,nan-Ptica Samica
Miroslav Škoro,Miroslav Škoro,Nives,,,,,Ptica Samica,,,,,,,,,,,,,,,,,,,,,,,,,nan-Ptica Samica,nan-Ptica Samica/2007.0-Sve Najbolje/2010.0-Stoput Bih Isto Ponovio - Autobiografija
Miroslav Škoro,Miroslav Škoro,Nije Do Mene,,,,,Ptica Samica,,,,,,,,,,,,,,,,,,,,,,,,,nan-Ptica Samica,nan-Ptica Samica
Miroslav Škoro,Miroslav Škoro,Essekerska,,,,,Ptica Samica,,,,,,,,,,,,,,,,,,,,,,,,,nan-Ptica Samica,nan-Ptica Samica
Miroslav Škoro,Miroslav Škoro,Dida,4:07,Miroslav Škoro,,Miroslav Škoro,Slagalica,,,,,,,,,,,,,,,,,,,,,,,,,nan-Slagalica,nan-Slagalica
Miroslav Škoro,Miroslav Škoro,Suza Krene Sama Od Sebe,4:00,Miroslav Škoro,,Miroslav Škoro,Slagalica,,,,,,,,,,,,,,,,,,,,,,,,,nan-Slagalica,nan-Slagalica/2007.0-Sve Najbolje/2010.0-Stoput Bih Isto Ponovio - Autobiografija/2011.0-Najljepše Ljubavne Pjesme/2013.0-Sve Najbolje!/2014.0-Ne Vjeruje Srce Pameti
Miroslav Škoro,Miroslav Škoro,Maria De La Lovrez,4:28,Miroslav Škoro,,Miroslav Škoro,Slagalica,,,,,,,,,,,,,,,,,,,,,,,,,nan-Slagalica,nan-Slagalica/2007.0-Sve Najbolje
Miroslav Škoro,Miroslav Škoro,Ljubav Ne Bira,4:35,Miroslav Škoro,,Miroslav Škoro,Slagalica,,,,,,,,,,,,,,,,,,,,,,,,,nan-Slagalica,nan-Slagalica
Miroslav Škoro,Miroslav Škoro,Astronaut,3:28,Miroslav Škoro,,Miroslav Škoro,Slagalica,,,,,,,,,,,,,,,,,,,,,,,,,nan-Slagalica,nan-Slagalica
Miroslav Škoro,Miroslav Škoro,Blanka,3:49,Miroslav Škoro,,Miroslav Škoro,Slagalica,,,,,,,,,,,,,,,,,,,,,,,,,nan-Slagalica,nan-Slagalica
Miroslav Škoro,Miroslav Škoro,Nije Uzalud,4:18,Miroslav Škoro,,Miroslav Škoro,Slagalica,,,,,,,,,,,,,,,,,,,,,,,,,nan-Slagalica,nan-Slagalica
Miroslav Škoro,Miroslav Škoro,Kad Sjever Zapuše,4:01,Miroslav Škoro,,Miroslav Škoro,Slagalica,,,,,,,,,,,,,,,,,,,,,,,,,nan-Slagalica,nan-Slagalica/2007.0-Sve Najbolje/2010.0-Stoput Bih Isto Ponovio - Autobiografija/2013.0-Sve Najbolje!/2014.0-Ne Vjeruje Srce Pameti
Miroslav Škoro,Miroslav Škoro,Dvorac,3:31,Miroslav Škoro,,Miroslav Škoro,Slagalica,,,,,,,,,,,,,,,,,,,,,,,,,nan-Slagalica,nan-Slagalica
Miroslav Škoro,Miroslav Škoro,Tako Je Stipa Volio Anu,5:11,Željko Barba,,Miroslav Škoro,Slagalica,,,,,,,,,,,,,,,,,,,,,,,,,nan-Slagalica,nan-Slagalica/2003.0-Miroslav Škoro Uživo/2007.0-Sve Najbolje/2010.0-Stoput Bih Isto Ponovio - Autobiografija/2011.0-Najljepše Ljubavne Pjesme/2013.0-Sve Najbolje!/2014.0-Ne Vjeruje Srce Pameti
Miroslav Škoro,Miroslav Škoro,Najava,0:09,,,,Miroslav Škoro Uživo,,,2003.0,,,,,,,,,,,,,,,,,,,,,,2003.0-Miroslav Škoro Uživo,2003.0-Miroslav Škoro Uživo/2003.0-Miroslav Škoro Uživo/2003.0-Miroslav Škoro Uživo/2003.0-Miroslav Škoro Uživo/2003.0-Miroslav Škoro Uživo
Miroslav Škoro,Miroslav Škoro,Porodilja,3:16,,,,Miroslav Škoro Uživo,,,2003.0,,,,,,,,,,,,,,,,,,,,,,2003.0-Miroslav Škoro Uživo,2003.0-Miroslav Škoro Uživo
Miroslav Škoro,Miroslav Škoro,Bajo Na Kupanju,3:21,,,,Miroslav Škoro Uživo,,,2003.0,,,,,,,,,,,,,,,,,,,,,,2003.0-Miroslav Škoro Uživo,2003.0-Miroslav Škoro Uživo
Miroslav Škoro,Miroslav Škoro,Da Sam Imo Šaku Dukata,4:03,,,,Miroslav Škoro Uživo,,,2003.0,Boris Ćiro Gašparac,,,,,,,,,,,,,,,,,,,,,2003.0-Miroslav Škoro Uživo,2003.0-Miroslav Škoro Uživo
Miroslav Škoro,Miroslav Škoro,Fata I Eržika,2:49,,,,Miroslav Škoro Uživo,,,2003.0,,,,,,,,,,,,,,,,,,,,,,2003.0-Miroslav Škoro Uživo,2003.0-Miroslav Škoro Uživo
Miroslav Škoro,Miroslav Škoro,Garavušo Garava,3:05,,,,Miroslav Škoro Uživo,,,2003.0,,,,,,,,,,,,,,,,,,,,,,2003.0-Miroslav Škoro Uživo,2003.0-Miroslav Škoro Uživo/2007.0-Sve Najbolje/2013.0-Sve Najbolje!
Miroslav Škoro,Miroslav Škoro,Mata I Šaran,3:14,,,,Miroslav Škoro Uživo,,,2003.0,,,,,,,,,,,,,,,,,,,,,,2003.0-Miroslav Škoro Uživo,2003.0-Miroslav Škoro Uživo
Miroslav Škoro,Miroslav Škoro,"Test Ineligencije, Pljačka, Najava",3:33,,,,Miroslav Škoro Uživo,,,2003.0,,,,,,,,,,,,,,,,,,,,,,2003.0-Miroslav Škoro Uživo,2003.0-Miroslav Škoro Uživo
Miroslav Škoro,Miroslav Škoro,Što Će Meni Život Bez Tebe,2:56,,,,Miroslav Škoro Uživo,,,2003.0,Gazde,,,,,,,,,,,,,,,,,,,,,2003.0-Miroslav Škoro Uživo,2003.0-Miroslav Škoro Uživo
