Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Adapted By_discogs,Arranged By_discogs,Album_title_discogs,Written-By_discogs,Lyrics By_discogs,Music By_discogs,Album_year_discogs,Adapted By [Music]_discogs,Lyrics By [dt.:]_discogs,Lyrics By [Yugoslavian]_discogs,Conductor_discogs,Orchestra_discogs,Strings_discogs,Vocals [Child]_discogs,Arranged By [Co-arranged]_discogs,Lyrics By [Co-written]_discogs,Featuring [Uncredited]_discogs,Musician_discogs,Vocals_discogs,Backing Vocals_discogs,Programmed By_discogs,Featuring_discogs,Album_year_title_discogs,All_albums_discogs
Novi Fosili,Novi Fosili,Pruži Ruke,,,,Novi Fosili,,Hrvoje Hegedušić,Hrvoje Hegedušić,1973.0,,,,,,,,,,,,,,,,1973.0-Novi Fosili,1973.0-Novi Fosili
Novi Fosili,Novi Fosili,Sve Se Vrti Oko Tebe,,,,Novi Fosili,,Ivica Krajač,Stipica Kalogjera,1973.0,,,,,,,,,,,,,,,,1973.0-Novi Fosili,1973.0-Novi Fosili
Novi Fosili,Novi Fosili,Ovo Nije Kraj Za Nas,,,,Novi Fosili,,Enco Lesić,Enco Lesić,1973.0,,,,,,,,,,,,,,,,1973.0-Novi Fosili,1973.0-Novi Fosili
Novi Fosili,Novi Fosili,"Ti, Koja Ne Gledaš Me Nikad",,,,Novi Fosili,,Svemir Opara,Svemir Opara,1973.0,,,,,,,,,,,,,,,,1973.0-Novi Fosili,1973.0-Novi Fosili
Novi Fosili,Novi Fosili,Vizija,,,,Novi Fosili,,Hrvoje Hegedušić,Hrvoje Hegedušić,1973.0,,,,,,,,,,,,,,,,1973.0-Novi Fosili,1973.0-Novi Fosili
Novi Fosili,Novi Fosili,Okreće Se Kolo Sreće,,,,Novi Fosili,,Mišo Doležal,Mišo Doležal,1973.0,,,,,,,,,,,,,,,,1973.0-Novi Fosili,1973.0-Novi Fosili
Novi Fosili,Novi Fosili,Ovog Ljeta,,,,Novi Fosili,,Milan Čaleta,Milan Čaleta,1973.0,,,,,,,,,,,,,,,,1973.0-Novi Fosili,1973.0-Novi Fosili
Novi Fosili,Novi Fosili,Es Liegt An Dir,,,,Es Liegt An Dir / Margarita,,Slavomir Cvija,Slavomir Cvija,1974.0,,Bernhard Bohlke,,,,,,,,,,,,,,1974.0-Es Liegt An Dir / Margarita,1974.0-Es Liegt An Dir / Margarita
Novi Fosili,Novi Fosili,Ljubav Na Pijesku ,,,,Ljubav Na Pijesku / Dok Su Smijale Se Oči ,,Milan Čaleta,Slavomir Cvija,1974.0,,,,,,,,,,,,,,,,1974.0-Ljubav Na Pijesku / Dok Su Smijale Se Oči ,1974.0-Ljubav Na Pijesku / Dok Su Smijale Se Oči 
Novi Fosili,Novi Fosili,Dok Su Smijale Se Oči ,,,,Ljubav Na Pijesku / Dok Su Smijale Se Oči ,,Luka Juras,Svemir Opara,1974.0,,,,,,,,,,,,,,,,1974.0-Ljubav Na Pijesku / Dok Su Smijale Se Oči ,1974.0-Ljubav Na Pijesku / Dok Su Smijale Se Oči 
