Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Lyrics By_discogs,Album_title_discogs,Album_year_discogs,Arranged By_discogs,Music By_discogs,Written-By_discogs,Guest_discogs,Composed By_discogs,Vocals [Duet]_discogs,Featuring_discogs,Vocals_discogs,Album_year_title_discogs,All_albums_discogs
Mladen Grdović,Mladen Grdović,Plači Srce,3:36,Ivica Pepelko,Nedostaješ Mi Ti,1993.0,,Ivica Pepelko,,,,,,,1993.0-Nedostaješ Mi Ti,1993.0-Nedostaješ Mi Ti
Mladen Grdović,Mladen Grdović,Mama Huanita (Juanita),2:24,Đorđe Novković,Nedostaješ Mi Ti,1993.0,,,,,,,,,1993.0-Nedostaješ Mi Ti,1993.0-Nedostaješ Mi Ti
Mladen Grdović,Mladen Grdović,Zadarska Riva,3:28,Duško Nonković,Nedostaješ Mi Ti,1993.0,,Duško Nonković,,,,,,,1993.0-Nedostaješ Mi Ti,1993.0-Nedostaješ Mi Ti/nan-Za Sva Vrimena - Mix Hitova
Mladen Grdović,Mladen Grdović,"Neka, Neka, Nek Se Zna",3:02,Željko Krznarić,Nedostaješ Mi Ti,1993.0,,Đorđe Novković,,,,,,,1993.0-Nedostaješ Mi Ti,1993.0-Nedostaješ Mi Ti/2014.0-50 Originalnih Pjesama
Mladen Grdović,Mladen Grdović,"Bog Te Čuva, Hercegovino",4:00,Željko Krznarić,Nedostaješ Mi Ti,1993.0,,Mladen Grdović,,,,,,,1993.0-Nedostaješ Mi Ti,1993.0-Nedostaješ Mi Ti
Mladen Grdović,Mladen Grdović,Nedostaješ Mi Ti,3:06,Mladen Grdović,Nedostaješ Mi Ti,1993.0,,Mladen Grdović,,,,,,,1993.0-Nedostaješ Mi Ti,1993.0-Nedostaješ Mi Ti/nan-18 Zlatnih Hitova/nan-Za Sva Vrimena - Mix Hitova/2007.0-Zlatna Kolekcija/2010.0-Najljepše Ljubavne Pjesme/2014.0-50 Originalnih Pjesama
Mladen Grdović,Mladen Grdović,Umiru Leptiri,3:33,Petar Lendić,Nedostaješ Mi Ti,1993.0,,Petar Lendić,,,,,,,1993.0-Nedostaješ Mi Ti,1993.0-Nedostaješ Mi Ti/nan-Za Zaljubljene
Mladen Grdović,Mladen Grdović,Bacit' Ću Mandolinu ,3:06,,"Bacit' Ću Mandolinu / Plači, Srce",1993.0,,,,,,,,,"1993.0-Bacit' Ću Mandolinu / Plači, Srce","1993.0-Bacit' Ću Mandolinu / Plači, Srce"
Mladen Grdović,Mladen Grdović,"Plači, Srce",3:06,,"Bacit' Ću Mandolinu / Plači, Srce",1993.0,,,,,,,,,"1993.0-Bacit' Ću Mandolinu / Plači, Srce","1993.0-Bacit' Ću Mandolinu / Plači, Srce"
Mladen Grdović,Mladen Grdović,Tu Je Moj Dom,3:33,Alka Vuica,Tu Je Moj Dom,1994.0,,,,,,,,,1994.0-Tu Je Moj Dom,1994.0-Tu Je Moj Dom/nan-Nije U Šoldima Sve/nan-Za Sva Vrimena - Mix Hitova/2004.0-Hitovi 1/nan-Največi Hitovi Dalmacije/2007.0-Zlatna Kolekcija/2009.0-Evo Mene Moji Ljudi! (Koncert)/2010.0-Evo Mene Moji Ljudi/2014.0-50 Originalnih Pjesama/2017.0-The Best Of Collection
