Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Lyrics By_discogs,Album_title_discogs,Album_year_discogs,Arranged By_discogs,Music By_discogs,Written-By_discogs,Guest_discogs,Composed By_discogs,Vocals [Duet]_discogs,Featuring_discogs,Vocals_discogs,Album_year_title_discogs,All_albums_discogs
Mladen Grdović,Mladen Grdović,Lipo Mi Je Bilo,3:41,,I Za Dušu I Za Tilo,,,,,,,,,,nan-I Za Dušu I Za Tilo,nan-I Za Dušu I Za Tilo
Mladen Grdović,Mladen Grdović,Da Mi Je Partiti,3:36,,I Za Dušu I Za Tilo,,,,,,,,,,nan-I Za Dušu I Za Tilo,nan-I Za Dušu I Za Tilo
Mladen Grdović,Mladen Grdović,Zbog Tebe Sam Ruže Krao,2:44,,I Za Dušu I Za Tilo,,,,,,,,,,nan-I Za Dušu I Za Tilo,nan-I Za Dušu I Za Tilo
Mladen Grdović,Mladen Grdović,Vinčanje,2:56,,I Za Dušu I Za Tilo,,,,,,,,,,nan-I Za Dušu I Za Tilo,"nan-I Za Dušu I Za Tilo/2006.0-E, Da Mi Je Vratit Vrime"
Mladen Grdović,Mladen Grdović,Fališ Mi Ti,3:27,,I Za Dušu I Za Tilo,,,,,,,,,,nan-I Za Dušu I Za Tilo,nan-I Za Dušu I Za Tilo
Mladen Grdović,Mladen Grdović,Neka Plovi Moja Barka,4:06,,I Za Dušu I Za Tilo,,,,,,,,,,nan-I Za Dušu I Za Tilo,nan-I Za Dušu I Za Tilo/2007.0-Zlatna Kolekcija/2015.0-Orange Collection
Mladen Grdović,Mladen Grdović,Mafijoza,3:16,,I Za Dušu I Za Tilo,,,,,,,,,,nan-I Za Dušu I Za Tilo,nan-I Za Dušu I Za Tilo
Mladen Grdović,Mladen Grdović,Grijeh,2:52,,I Za Dušu I Za Tilo,,,,,,,,,,nan-I Za Dušu I Za Tilo,nan-I Za Dušu I Za Tilo
Mladen Grdović,Mladen Grdović,Sve Što Imam To Si Ti,4:11,,I Za Dušu I Za Tilo,,,,,,,,,,nan-I Za Dušu I Za Tilo,nan-I Za Dušu I Za Tilo/2008.0-Pisme Za Dušu
Mladen Grdović,Mladen Grdović,Imam Srce Dalmatinsko,2:43,Nenad Ninčević,Evo Mene Moji Ljudi,,Igor Ivanović,Mladen Grdović,,,,,,,nan-Evo Mene Moji Ljudi,nan-Evo Mene Moji Ljudi/2008.0-Pisme Za Dušu
Mladen Grdović,Mladen Grdović,Ka Vino Si,4:18,Nenad Ninčević,Evo Mene Moji Ljudi,,Igor Ivanović,Mladen Grdović,,,,,,,nan-Evo Mene Moji Ljudi,nan-Evo Mene Moji Ljudi
Mladen Grdović,Mladen Grdović,"Tiho, Tiho More Šumi",3:12,Nenad Ninčević,Evo Mene Moji Ljudi,,Igor Ivanović,Mladen Grdović,,,,,,,nan-Evo Mene Moji Ljudi,nan-Evo Mene Moji Ljudi
Mladen Grdović,Mladen Grdović,Gdje Je Moja Ljubav Stara,3:21,Nenad Ninčević,Evo Mene Moji Ljudi,,Igor Ivanović,Mladen Grdović,,,,,,,nan-Evo Mene Moji Ljudi,nan-Evo Mene Moji Ljudi/2004.0-Hitovi 1/2008.0-Pisme Za Dušu/2009.0-Evo Mene Moji Ljudi! (Koncert)/2015.0-Orange Collection
Mladen Grdović,Mladen Grdović,Ljubav Za Ljubav,3:29,Đorđe Novković,Evo Mene Moji Ljudi,,Igor Ivanović,Đorđe Novković,,,,,,,nan-Evo Mene Moji Ljudi,nan-Evo Mene Moji Ljudi
Mladen Grdović,Mladen Grdović,Ćaćine Riči (Evo Mene Moji Ljudi),3:58,Nenad Ninčević,Evo Mene Moji Ljudi,,Stipica Kalogjera,Mladen Grdović,,,,,,,nan-Evo Mene Moji Ljudi,nan-Evo Mene Moji Ljudi/2007.0-Zlatna Kolekcija
Mladen Grdović,Mladen Grdović,Da Te Mogu Pismom Zvati,4:09,Frane Bilić,Evo Mene Moji Ljudi,,Andrej Baša,Ivica Badurina,,,,,,,nan-Evo Mene Moji Ljudi,nan-Evo Mene Moji Ljudi/2010.0-Evo Mene Moji Ljudi/2015.0-Orange Collection
Mladen Grdović,Mladen Grdović,Moja Lipa,2:41,Nenad Ninčević,Evo Mene Moji Ljudi,,Igor Ivanović,Mladen Grdović,,,,,,,nan-Evo Mene Moji Ljudi,nan-Evo Mene Moji Ljudi/2008.0-Pisme Za Dušu/2015.0-Orange Collection
Mladen Grdović,Mladen Grdović,"O, Marie",2:55,Livio Morosin,Evo Mene Moji Ljudi,,Andrej Baša,Mladen Grdović,,,,,,,nan-Evo Mene Moji Ljudi,nan-Evo Mene Moji Ljudi
Mladen Grdović,Mladen Grdović,Ivana,2:55,Nenad Ninčević,Evo Mene Moji Ljudi,,Igor Ivanović,Mladen Grdović,,,,,,,nan-Evo Mene Moji Ljudi,nan-Evo Mene Moji Ljudi
Mladen Grdović,Mladen Grdović,Evo mene moji ljudi,3:57,,20 hitova,2004.0,,,,,,,,,2004.0-20 hitova,2004.0-20 hitova
Mladen Grdović,Mladen Grdović,Moja lipa,2:40,,20 hitova,2004.0,,,,,,,,,2004.0-20 hitova,2004.0-20 hitova
Mladen Grdović,Mladen Grdović,Imam srce dalmatinsko,2:42,,20 hitova,2004.0,,,,,,,,,2004.0-20 hitova,2004.0-20 hitova
Mladen Grdović,Mladen Grdović,Grdelina dva,4:04,,20 hitova,2004.0,,,,,,,,,2004.0-20 hitova,2004.0-20 hitova
Mladen Grdović,Mladen Grdović,Lipo mi je bilo,3:40,,20 hitova,2004.0,,,,,,,,,2004.0-20 hitova,2004.0-20 hitova
Mladen Grdović,Mladen Grdović,U ranu zoru,4:02,,20 hitova,2004.0,,,,,,,,,2004.0-20 hitova,2004.0-20 hitova
Mladen Grdović,Mladen Grdović,Sedam dana sedam noci,3:58,,20 hitova,2004.0,,,,,,,,,2004.0-20 hitova,2004.0-20 hitova
Mladen Grdović,Mladen Grdović,Ispod starih borova,3:47,,20 hitova,2004.0,,,,,,,,,2004.0-20 hitova,2004.0-20 hitova
Mladen Grdović,Mladen Grdović,Vitar nek puse,4:21,,20 hitova,2004.0,,,,,,,,,2004.0-20 hitova,2004.0-20 hitova
Mladen Grdović,Mladen Grdović,Otkad sam se s todom razdilja,3:46,,20 hitova,2004.0,,,,,,,,,2004.0-20 hitova,2004.0-20 hitova
Mladen Grdović,Mladen Grdović,Di ste prijateli moji,3:56,,20 hitova,2004.0,,,,,,,,,2004.0-20 hitova,2004.0-20 hitova
Mladen Grdović,Mladen Grdović,Boje zivim nego ministar,4:30,,20 hitova,2004.0,,,,,,,,,2004.0-20 hitova,2004.0-20 hitova
Mladen Grdović,Mladen Grdović,Kada se ljubav  u vino pretvori,3:20,,20 hitova,2004.0,,,,,,,,,2004.0-20 hitova,2004.0-20 hitova
Mladen Grdović,Mladen Grdović,Gdje je moja ljubav stara,3:20,,20 hitova,2004.0,,,,,,,,,2004.0-20 hitova,2004.0-20 hitova
Mladen Grdović,Mladen Grdović,Sve sto imam to si ti ,4:08,,20 hitova,2004.0,,,,,,,,,2004.0-20 hitova,2004.0-20 hitova
Mladen Grdović,Mladen Grdović,Mama marija,2:56,,20 hitova,2004.0,,,,,,,,,2004.0-20 hitova,2004.0-20 hitova
Mladen Grdović,Mladen Grdović,Dva dijamanta,4:04,,20 hitova,2004.0,,,,,,,,,2004.0-20 hitova,2004.0-20 hitova
Mladen Grdović,Mladen Grdović,Grdovic i ribari,4:02,,20 hitova,2004.0,,,,,,,,,2004.0-20 hitova,2004.0-20 hitova
Mladen Grdović,Mladen Grdović,Ja Cu Doci S Pismom,,,Hitovi 1,2004.0,,,,,,,,,2004.0-Hitovi 1,2004.0-Hitovi 1
Mladen Grdović,Mladen Grdović,Ispod Starih Borova,,,Hitovi 1,2004.0,,,,,,,,,2004.0-Hitovi 1,2004.0-Hitovi 1/2008.0-Pisme Za Dušu
Mladen Grdović,Mladen Grdović,Bolje Zivim Nego Ministar,,,Hitovi 1,2004.0,,,,,,,,,2004.0-Hitovi 1,2004.0-Hitovi 1
Mladen Grdović,Mladen Grdović,Vitar Nek Puse,,,Hitovi 1,2004.0,,,,,,,,,2004.0-Hitovi 1,2004.0-Hitovi 1
Mladen Grdović,Mladen Grdović,Cacine Rici,,,Hitovi 1,2004.0,,,,,,,,,2004.0-Hitovi 1,2004.0-Hitovi 1
Mladen Grdović,Mladen Grdović,Dalmatinac Sam,,,Hitovi 1,2004.0,,,,,,,,,2004.0-Hitovi 1,2004.0-Hitovi 1/2010.0-Evo Mene Moji Ljudi/2010.0-Evo Mene Moji Ljudi
Mladen Grdović,Mladen Grdović,Tiho Tiho ,,,Hitovi 1,2004.0,,,,,,,,,2004.0-Hitovi 1,2004.0-Hitovi 1
Mladen Grdović,Mladen Grdović,Duško Lokin,,,Pusti Da Te Prebolim,2005.0,,,,,,,,,2005.0-Pusti Da Te Prebolim,2005.0-Pusti Da Te Prebolim
Mladen Grdović,Mladen Grdović,Pusti Da Te Prebolim,3:15,Željko Krznarić,Pusti Da Te Prebolim,2005.0,Muc Softić,Duško Lokin,,,,,,,2005.0-Pusti Da Te Prebolim,2005.0-Pusti Da Te Prebolim
Mladen Grdović,Mladen Grdović,"Ljubi Nježno, Ljubi Me / Love Me Tender",3:23,Duško Lokin,Pusti Da Te Prebolim,2005.0,Zoran Jašek,Vera Matson,,,,,,,2005.0-Pusti Da Te Prebolim,2005.0-Pusti Da Te Prebolim
Mladen Grdović,Mladen Grdović,Dalmacija Cijela Budi Se,3:31,Željko Thes,Pusti Da Te Prebolim,2005.0,Branko Bogunović,Željko Thes,,,,,,,2005.0-Pusti Da Te Prebolim,2005.0-Pusti Da Te Prebolim
Mladen Grdović,Mladen Grdović,Mexico,3:54,Željko Thes,Pusti Da Te Prebolim,2005.0,Branko Bogunović,Željko Thes,,,,,,,2005.0-Pusti Da Te Prebolim,2005.0-Pusti Da Te Prebolim
Mladen Grdović,Mladen Grdović,Emily,,,Pusti Da Te Prebolim,2005.0,,,,,,,,,2005.0-Pusti Da Te Prebolim,2005.0-Pusti Da Te Prebolim
Mladen Grdović,Mladen Grdović,Vještica,3:29,,Pusti Da Te Prebolim,2005.0,,,Senad Galijašević,,,,,,2005.0-Pusti Da Te Prebolim,2005.0-Pusti Da Te Prebolim
Mladen Grdović,Mladen Grdović,"Ljubi, Ljubi",3:20,D. Gregurević,Pusti Da Te Prebolim,2005.0,Zoran Jašek,D. Gregurević,,,,,,,2005.0-Pusti Da Te Prebolim,2005.0-Pusti Da Te Prebolim
Mladen Grdović,Mladen Grdović,Mladen Grdović,,,Pusti Da Te Prebolim,2005.0,,,,,,,,,2005.0-Pusti Da Te Prebolim,2005.0-Pusti Da Te Prebolim/2015.0-Tri Kralja Zabave
Mladen Grdović,Mladen Grdović,Krunoslav Slabinac,,,Pusti Da Te Prebolim,2005.0,,,,,,,,,2005.0-Pusti Da Te Prebolim,2005.0-Pusti Da Te Prebolim
Mladen Grdović,Mladen Grdović,U Dugim Noćima,3:06,Kemal Monteno,Pusti Da Te Prebolim,2005.0,Željko Nikolin,Esad Arnautalić,,,,,,,2005.0-Pusti Da Te Prebolim,2005.0-Pusti Da Te Prebolim
Mladen Grdović,Mladen Grdović,Pusti Noćas Svoje Kose,3:48,Bratislav Zlatanović,Pusti Da Te Prebolim,2005.0,Alfi Kabiljo,Đorđe Novković,,,,,,,2005.0-Pusti Da Te Prebolim,2005.0-Pusti Da Te Prebolim
Mladen Grdović,Mladen Grdović,Spomeni Mi Nekad Ime,3:00,Tibor Benković,Pusti Da Te Prebolim,2005.0,Vladimir Delač,Vladimir Delač,,,,,,,2005.0-Pusti Da Te Prebolim,2005.0-Pusti Da Te Prebolim
Mladen Grdović,Mladen Grdović,Marko Jašek,,,Pusti Da Te Prebolim,2005.0,,,,,,,,,2005.0-Pusti Da Te Prebolim,2005.0-Pusti Da Te Prebolim
Mladen Grdović,Mladen Grdović,Mala Ludice,2:54,,Pusti Da Te Prebolim,2005.0,,,Marko Jašek,,,,,,2005.0-Pusti Da Te Prebolim,2005.0-Pusti Da Te Prebolim
Mladen Grdović,Mladen Grdović,Ne Traži Me,3:39,,Pusti Da Te Prebolim,2005.0,,,Marko Jašek,,,,,,2005.0-Pusti Da Te Prebolim,2005.0-Pusti Da Te Prebolim
Mladen Grdović,Mladen Grdović,Samo Ti Dalmacijo,4:04,,Največi Hitovi Dalmacije,,,,,,,,,,nan-Največi Hitovi Dalmacije,nan-Največi Hitovi Dalmacije
Mladen Grdović,Mladen Grdović,Sedam Dana Sedam Noči,3:58,,Največi Hitovi Dalmacije,,,,,,,,,,nan-Največi Hitovi Dalmacije,nan-Največi Hitovi Dalmacije
Mladen Grdović,Mladen Grdović,Grdović I Ribari,4:04,,Največi Hitovi Dalmacije,,,,,,,,,,nan-Največi Hitovi Dalmacije,nan-Največi Hitovi Dalmacije
Mladen Grdović,Mladen Grdović,Dalmacija Nije Samo Pisma,3:40,,Največi Hitovi Dalmacije,,,,,,,,,,nan-Največi Hitovi Dalmacije,nan-Največi Hitovi Dalmacije/2015.0-Orange Collection
Mladen Grdović,Mladen Grdović,"E, Da Mi Je Vratit Vrime",3:57,,"E, Da Mi Je Vratit Vrime",2006.0,,,,,,,,,"2006.0-E, Da Mi Je Vratit Vrime","2006.0-E, Da Mi Je Vratit Vrime/2014.0-50 Originalnih Pjesama"
Mladen Grdović,Mladen Grdović,Mornar Lutalica,3:38,,"E, Da Mi Je Vratit Vrime",2006.0,,,,,,,,,"2006.0-E, Da Mi Je Vratit Vrime","2006.0-E, Da Mi Je Vratit Vrime/2007.0-Zlatna Kolekcija/2014.0-50 Originalnih Pjesama"
Mladen Grdović,Mladen Grdović,Moja None,4:09,,"E, Da Mi Je Vratit Vrime",2006.0,,,,Klapa Maestral,,,,,"2006.0-E, Da Mi Je Vratit Vrime","2006.0-E, Da Mi Je Vratit Vrime/2014.0-50 Originalnih Pjesama"
Mladen Grdović,Mladen Grdović,Sveti Ante Dalmatinski,3:53,,"E, Da Mi Je Vratit Vrime",2006.0,,,,Klapa Šušur,,,,,"2006.0-E, Da Mi Je Vratit Vrime","2006.0-E, Da Mi Je Vratit Vrime/2007.0-Zlatna Kolekcija/2010.0-Evo Mene Moji Ljudi/2014.0-50 Originalnih Pjesama"
Mladen Grdović,Mladen Grdović,Naše Malo Misto,3:15,,"E, Da Mi Je Vratit Vrime",2006.0,,,,,,,,,"2006.0-E, Da Mi Je Vratit Vrime","2006.0-E, Da Mi Je Vratit Vrime/2014.0-50 Originalnih Pjesama"
Mladen Grdović,Mladen Grdović,Gospe Moja,3:37,,"E, Da Mi Je Vratit Vrime",2006.0,,,,,,,,,"2006.0-E, Da Mi Je Vratit Vrime","2006.0-E, Da Mi Je Vratit Vrime/2014.0-50 Originalnih Pjesama"
Mladen Grdović,Mladen Grdović,Ako Sad Odeš,3:22,,"E, Da Mi Je Vratit Vrime",2006.0,,,,,,,,,"2006.0-E, Da Mi Je Vratit Vrime","2006.0-E, Da Mi Je Vratit Vrime/2014.0-50 Originalnih Pjesama"
Mladen Grdović,Mladen Grdović,Ja Ću Doći S Pismom,4:48,,"E, Da Mi Je Vratit Vrime",2006.0,,,,,,,,,"2006.0-E, Da Mi Je Vratit Vrime","2006.0-E, Da Mi Je Vratit Vrime/2007.0-Zlatna Kolekcija/2010.0-Najljepše Ljubavne Pjesme/2014.0-50 Originalnih Pjesama/2017.0-The Best Of Collection"
Mladen Grdović,Mladen Grdović,Karma,3:57,,"E, Da Mi Je Vratit Vrime",2006.0,,,,,,,,,"2006.0-E, Da Mi Je Vratit Vrime","2006.0-E, Da Mi Je Vratit Vrime/2007.0-Zlatna Kolekcija"
Mladen Grdović,Mladen Grdović,Pustite Me,3:56,,"E, Da Mi Je Vratit Vrime",2006.0,,,,,,,,,"2006.0-E, Da Mi Je Vratit Vrime","2006.0-E, Da Mi Je Vratit Vrime/2014.0-50 Originalnih Pjesama"
Mladen Grdović,Mladen Grdović,Brod Života,3:36,,"E, Da Mi Je Vratit Vrime",2006.0,,,,,,,,,"2006.0-E, Da Mi Je Vratit Vrime","2006.0-E, Da Mi Je Vratit Vrime/2014.0-50 Originalnih Pjesama"
Mladen Grdović,Mladen Grdović,Grdovići Ribari,,,Zlatna Kolekcija,2007.0,,,,,,,,,2007.0-Zlatna Kolekcija,2007.0-Zlatna Kolekcija/2008.0-Pisme Za Dušu/2010.0-Evo Mene Moji Ljudi/2015.0-Orange Collection
Mladen Grdović,Mladen Grdović,"E, Da Mi Je Vratit' Vrime",,,Zlatna Kolekcija,2007.0,,,,,,,,,2007.0-Zlatna Kolekcija,2007.0-Zlatna Kolekcija
Mladen Grdović,Mladen Grdović,Vitar Nek' Puše,,,Zlatna Kolekcija,2007.0,,,,,,,,,2007.0-Zlatna Kolekcija,2007.0-Zlatna Kolekcija/2009.0-Evo Mene Moji Ljudi! (Koncert)/2010.0-Najljepše Ljubavne Pjesme/2015.0-Orange Collection
Mladen Grdović,Mladen Grdović,Bacit' Ću Mandolinu,,,Zlatna Kolekcija,2007.0,,,,,,,,,2007.0-Zlatna Kolekcija,2007.0-Zlatna Kolekcija
Mladen Grdović,Mladen Grdović,Moja Baba Šima,,,Zlatna Kolekcija,2007.0,,,,,,,,,2007.0-Zlatna Kolekcija,2007.0-Zlatna Kolekcija
Mladen Grdović,Mladen Grdović,Otkad Sam Se S Tobom Razdilija,,,Zlatna Kolekcija,2007.0,,,,,,,,,2007.0-Zlatna Kolekcija,2007.0-Zlatna Kolekcija/2008.0-Pisme Za Dušu
Mladen Grdović,Mladen Grdović,Da Te Nima,,,Da Te Nima,2008.0,,,,,,,,,2008.0-Da Te Nima,2008.0-Da Te Nima/2010.0-Najljepše Ljubavne Pjesme/2014.0-50 Originalnih Pjesama/2017.0-The Best Of Collection/2019.0-Moji Sentimenti
Mladen Grdović,Mladen Grdović,Otvori Staro Barilo,,Mladen Grdović,Da Te Nima,2008.0,,,,,Mladen Grdović,,,,2008.0-Da Te Nima,2008.0-Da Te Nima/2014.0-50 Originalnih Pjesama/2019.0-Moji Sentimenti
Mladen Grdović,Mladen Grdović,E Da Ćaća Zna,,,Da Te Nima,2008.0,,,,,,,,,2008.0-Da Te Nima,2008.0-Da Te Nima
Mladen Grdović,Mladen Grdović,More Sinje,,,Da Te Nima,2008.0,,,,,,,,,2008.0-Da Te Nima,2008.0-Da Te Nima/2014.0-50 Originalnih Pjesama
Mladen Grdović,Mladen Grdović,Dobri Moj Ćaća,,,Da Te Nima,2008.0,,,,,,,,,2008.0-Da Te Nima,2008.0-Da Te Nima
Mladen Grdović,Mladen Grdović,Neka Svira Mandolina,,,Da Te Nima,2008.0,,,,,,,,,2008.0-Da Te Nima,2008.0-Da Te Nima/2014.0-50 Originalnih Pjesama
Mladen Grdović,Mladen Grdović,Sve Bi Dao Ja Za Nju,,,Da Te Nima,2008.0,,,,,,,,,2008.0-Da Te Nima,2008.0-Da Te Nima/2014.0-50 Originalnih Pjesama
Mladen Grdović,Mladen Grdović,Reci Mi Živote,,,Da Te Nima,2008.0,,,,,,,,,2008.0-Da Te Nima,2008.0-Da Te Nima/2014.0-50 Originalnih Pjesama
Mladen Grdović,Mladen Grdović,Probudi Se,,,Da Te Nima,2008.0,,,,,,,,,2008.0-Da Te Nima,2008.0-Da Te Nima
Mladen Grdović,Mladen Grdović,Mornar Bez Sriće,,,Da Te Nima,2008.0,,,,,,,,,2008.0-Da Te Nima,2008.0-Da Te Nima/2014.0-50 Originalnih Pjesama/2017.0-The Best Of Collection
Mladen Grdović,Mladen Grdović,Pismo Moja,,,Da Te Nima,2008.0,,,,,,,,,2008.0-Da Te Nima,2008.0-Da Te Nima/2014.0-50 Originalnih Pjesama
Mladen Grdović,Mladen Grdović,Sve Je To Za Ljude,,,Da Te Nima,2008.0,,,,,,,,,2008.0-Da Te Nima,2008.0-Da Te Nima/2009.0-Evo Mene Moji Ljudi! (Koncert)/2010.0-Najljepše Ljubavne Pjesme/2014.0-50 Originalnih Pjesama/2019.0-Moji Sentimenti
Mladen Grdović,Mladen Grdović,Evo Mene Moji Ljudi,,,Pisme Za Dušu,2008.0,,,,,,,,,2008.0-Pisme Za Dušu,2008.0-Pisme Za Dušu/2009.0-Evo Mene Moji Ljudi! (Koncert)/2015.0-Tri Kralja Zabave
Mladen Grdović,Mladen Grdović,Di Ste Prijatelji Moji,,,Pisme Za Dušu,2008.0,,,,,,,,,2008.0-Pisme Za Dušu,2008.0-Pisme Za Dušu/2015.0-Orange Collection
Mladen Grdović,Mladen Grdović,U Rana Zoru,3:54,,Evo Mene Moji Ljudi! (Koncert),2009.0,,,,,,,,,2009.0-Evo Mene Moji Ljudi! (Koncert),2009.0-Evo Mene Moji Ljudi! (Koncert)
Mladen Grdović,Mladen Grdović,Ribari,5:08,,Evo Mene Moji Ljudi! (Koncert),2009.0,,,,,,,,,2009.0-Evo Mene Moji Ljudi! (Koncert),2009.0-Evo Mene Moji Ljudi! (Koncert)
Mladen Grdović,Mladen Grdović,Moja Hercegovina,3:24,,Evo Mene Moji Ljudi! (Koncert),2009.0,,,,,,,,,2009.0-Evo Mene Moji Ljudi! (Koncert),2009.0-Evo Mene Moji Ljudi! (Koncert)
Mladen Grdović,Mladen Grdović,Dalmatinac 2,3:54,,Evo Mene Moji Ljudi! (Koncert),2009.0,,,,,,,,,2009.0-Evo Mene Moji Ljudi! (Koncert),2009.0-Evo Mene Moji Ljudi! (Koncert)
Mladen Grdović,Mladen Grdović,Kalelarga,3:10,,Evo Mene Moji Ljudi! (Koncert),2009.0,,,,,,,,,2009.0-Evo Mene Moji Ljudi! (Koncert),2009.0-Evo Mene Moji Ljudi! (Koncert)/2010.0-Evo Mene Moji Ljudi
Mladen Grdović,Mladen Grdović,Ustaj Pape,5:21,,"Dobro Jutro Ti, More",2009.0,,,,,,,,,"2009.0-Dobro Jutro Ti, More","2009.0-Dobro Jutro Ti, More"
Mladen Grdović,Mladen Grdović,"Neću Krivit Cili Svit (Dobro Jutro Ti, More)",3:44,,"Dobro Jutro Ti, More",2009.0,,,,,,,,,"2009.0-Dobro Jutro Ti, More","2009.0-Dobro Jutro Ti, More/2010.0-Najljepše Ljubavne Pjesme"
Mladen Grdović,Mladen Grdović,Kukavica,2:46,,"Dobro Jutro Ti, More",2009.0,,,,,,,,,"2009.0-Dobro Jutro Ti, More","2009.0-Dobro Jutro Ti, More"
Mladen Grdović,Mladen Grdović,Volim Te Dalmacijo,3:30,,"Dobro Jutro Ti, More",2009.0,,,,,,,,,"2009.0-Dobro Jutro Ti, More","2009.0-Dobro Jutro Ti, More/2014.0-50 Originalnih Pjesama"
Mladen Grdović,Mladen Grdović,A Masline Stare Plaču,3:44,,"Dobro Jutro Ti, More",2009.0,,,,,,,,,"2009.0-Dobro Jutro Ti, More","2009.0-Dobro Jutro Ti, More"
Mladen Grdović,Mladen Grdović,Da Te Opet Vidin Ja,3:32,,"Dobro Jutro Ti, More",2009.0,,,,,,,,,"2009.0-Dobro Jutro Ti, More","2009.0-Dobro Jutro Ti, More/2010.0-Najljepše Ljubavne Pjesme/2014.0-50 Originalnih Pjesama/2017.0-The Best Of Collection"
Mladen Grdović,Mladen Grdović,Galeb,3:41,,"Dobro Jutro Ti, More",2009.0,,,,,,,,,"2009.0-Dobro Jutro Ti, More","2009.0-Dobro Jutro Ti, More"
Mladen Grdović,Mladen Grdović,Moja Jedina,4:08,,"Dobro Jutro Ti, More",2009.0,,,,,,,,,"2009.0-Dobro Jutro Ti, More","2009.0-Dobro Jutro Ti, More"
Mladen Grdović,Mladen Grdović,Kapetane,4:01,,"Dobro Jutro Ti, More",2009.0,,,,,,,,,"2009.0-Dobro Jutro Ti, More","2009.0-Dobro Jutro Ti, More"
Mladen Grdović,Mladen Grdović,Di Je More Di Je Cvit,3:34,,"Dobro Jutro Ti, More",2009.0,,,,,,,,,"2009.0-Dobro Jutro Ti, More","2009.0-Dobro Jutro Ti, More"
Mladen Grdović,Mladen Grdović,Malo Vitra,2:47,,"Dobro Jutro Ti, More",2009.0,,,,,,,,,"2009.0-Dobro Jutro Ti, More","2009.0-Dobro Jutro Ti, More"
Mladen Grdović,Mladen Grdović,Sve Za ljubav,4:18,,Najljepše Ljubavne Pjesme,2010.0,,,,,,Bepo Matešić,,,2010.0-Najljepše Ljubavne Pjesme,2010.0-Najljepše Ljubavne Pjesme
Mladen Grdović,Mladen Grdović,Crna Ženo,,,Evo Mene Moji Ljudi,2010.0,,,,,,,Vlado Kalember,,2010.0-Evo Mene Moji Ljudi,2010.0-Evo Mene Moji Ljudi
Mladen Grdović,Mladen Grdović,Rock Me Baby,,,Evo Mene Moji Ljudi,2010.0,,,,,,,Emilija Kokić,,2010.0-Evo Mene Moji Ljudi,2010.0-Evo Mene Moji Ljudi
Mladen Grdović,Mladen Grdović,Zadar Je U Srcu Mome,,,Evo Mene Moji Ljudi,2010.0,,,,,,,Đani Maršan,,2010.0-Evo Mene Moji Ljudi,2010.0-Evo Mene Moji Ljudi
Mladen Grdović,Mladen Grdović,Dođi Na Dugi Otok,,,Evo Mene Moji Ljudi,2010.0,,,,,,,Đani Maršan,,2010.0-Evo Mene Moji Ljudi,2010.0-Evo Mene Moji Ljudi
Mladen Grdović,Mladen Grdović,Fešta / Kome Bi Šumilo / Bepo Bagulin,,,Evo Mene Moji Ljudi,2010.0,,,,,,,,,2010.0-Evo Mene Moji Ljudi,2010.0-Evo Mene Moji Ljudi
Mladen Grdović,Mladen Grdović,Caruso (Za Tebe Živim Ja),4:59,,Za Tebe Živim Ja,2012.0,,,,,,,,,2012.0-Za Tebe Živim Ja,2012.0-Za Tebe Živim Ja/2014.0-50 Originalnih Pjesama/2019.0-Moji Sentimenti
Mladen Grdović,Mladen Grdović,Zadnja Kapja Vina,5:08,,Za Tebe Živim Ja,2012.0,,,,,,,,,2012.0-Za Tebe Živim Ja,2012.0-Za Tebe Živim Ja/2019.0-Moji Sentimenti
Mladen Grdović,Mladen Grdović,Pola Puta Do Neba,4:14,,Za Tebe Živim Ja,2012.0,,,,,,,,,2012.0-Za Tebe Živim Ja,2012.0-Za Tebe Živim Ja
Mladen Grdović,Mladen Grdović,"Dalmacijo, Ime Si Mi Dala",3:14,,Za Tebe Živim Ja,2012.0,,,,,,,,,2012.0-Za Tebe Živim Ja,2012.0-Za Tebe Živim Ja/2014.0-50 Originalnih Pjesama
Mladen Grdović,Mladen Grdović,Dalmatinac I Dalmatinka,3:45,,Za Tebe Živim Ja,2012.0,,,,,,Lidija Bačić,,,2012.0-Za Tebe Živim Ja,2012.0-Za Tebe Živim Ja/2015.0-Tri Kralja Zabave
Mladen Grdović,Mladen Grdović,"Buona Notte, Spavaj Zadre",3:52,,Za Tebe Živim Ja,2012.0,,,,,,,,,2012.0-Za Tebe Živim Ja,2012.0-Za Tebe Živim Ja
Mladen Grdović,Mladen Grdović,Ako Sutra Mi Ne Svane Zora,3:58,,Za Tebe Živim Ja,2012.0,,,,,,,,,2012.0-Za Tebe Živim Ja,2012.0-Za Tebe Živim Ja/2014.0-50 Originalnih Pjesama
Mladen Grdović,Mladen Grdović,Nikad Se Ćaća Više Nije Vratija,4:06,,Za Tebe Živim Ja,2012.0,,,,,,,,,2012.0-Za Tebe Živim Ja,2012.0-Za Tebe Živim Ja/2014.0-50 Originalnih Pjesama
Mladen Grdović,Mladen Grdović,Triba Bižat Svojoj Srići (Cmc Festival 2012),4:07,,Za Tebe Živim Ja,2012.0,,,,,,,,,2012.0-Za Tebe Živim Ja,2012.0-Za Tebe Živim Ja
Mladen Grdović,Mladen Grdović,Oči Boje Lavande ,3:21,,Za Tebe Živim Ja,2012.0,,,,,,,,Klapa Puntamika,2012.0-Za Tebe Živim Ja,2012.0-Za Tebe Živim Ja
