Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Music By_discogs,Album_title_discogs,Album_year_discogs,Arranged By_discogs,Backing Vocals_discogs,Conductor_discogs,Lyrics By_discogs,Orchestra_discogs,Backing Band_discogs,Written-By_discogs,Ensemble_discogs,Congas_discogs,Edited By_discogs,Engineer_discogs,Keyboards_discogs,Mixed By_discogs,Soprano Vocals [Intro]_discogs,Bass Guitar_discogs,Drums_discogs,Guitar_discogs,Producer_discogs,Technician_discogs,Piano_discogs,Tenor Saxophone_discogs,Electric Guitar_discogs,Electric Guitar [12 String]_discogs,Electric Piano_discogs,Mixed By [Final Mix]_discogs,Organ [Hammond B3]_discogs,Percussion_discogs,Recorded By_discogs,Orchestrated By_discogs,Musician_discogs,Programmed By [Emulator Ii Hd]_discogs,Programmed By_discogs,Programmed By [EMULATOR II and EMAX]_discogs,Guitar [Solo]_discogs,Programmed By [PPG WAVE 2.3]_discogs,Drum Programming [YAMAHA R-20]_discogs,Programmed By [EMAX]_discogs,Baritone Saxophone_discogs,Programmed By [EMULATOR II]_discogs,Programmed By [OBERHEIM MATRIX 6_discogs,YAMAHA DX7]_discogs,Vocals_discogs,Featuring_discogs,Adapted By_discogs,Drum_discogs,Trombone_discogs,Trumpet_discogs,Arranged By [Stings]_discogs,Acoustic Guitar_discogs,Organ_discogs,Arranged By [Winds]_discogs,Soprano Saxophone_discogs,Remix_discogs,Acoustic Guitar [Solo]_discogs,Saxophone_discogs,Double Bass_discogs,Vibraphone_discogs,Saxophone [Alto]_discogs,Lyrics By [Additional]_discogs,Lyrics By [Translated]_discogs,Album_year_title_discogs,All_albums_discogs
Josipa Lisac,Josipa Lisac,Plačem,,,Dnevnik Jedne Ljubavi,1973.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1973.0-Dnevnik Jedne Ljubavi,1973.0-Dnevnik Jedne Ljubavi/nan-Dnevnik Jedne Ljubavi/1997.0-Antologija/2017.0-Original Album Collection Vol. 1
Josipa Lisac,Josipa Lisac,Jedna Kratka Vijest,,,Dnevnik Jedne Ljubavi,1973.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1973.0-Dnevnik Jedne Ljubavi,1973.0-Dnevnik Jedne Ljubavi/nan-Dnevnik Jedne Ljubavi/1997.0-Antologija/nan-Hitovi/2017.0-Original Album Collection Vol. 1
Josipa Lisac,Josipa Lisac,Ležaj Od Suza,,,Dnevnik Jedne Ljubavi,1973.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1973.0-Dnevnik Jedne Ljubavi,1973.0-Dnevnik Jedne Ljubavi/nan-Dnevnik Jedne Ljubavi/1974.0-Ostaješ Mi Samo Ti / Ležaj Od Suza/1997.0-Antologija/nan-The Best Of Josipa Lisac/nan-Hitovi/nan-Live/2007.0-The Platinum Collection/2017.0-Original Album Collection Vol. 1
Josipa Lisac,Josipa Lisac,Ne Prepoznajem Ga,,,Dnevnik Jedne Ljubavi,1973.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1973.0-Dnevnik Jedne Ljubavi,1973.0-Dnevnik Jedne Ljubavi/nan-Dnevnik Jedne Ljubavi/1997.0-Antologija/nan-Live/2007.0-The Platinum Collection/2017.0-Original Album Collection Vol. 1
Josipa Lisac,Josipa Lisac,Vjerujem Ti Sve,,,Dnevnik Jedne Ljubavi,1973.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1973.0-Dnevnik Jedne Ljubavi,1973.0-Dnevnik Jedne Ljubavi/nan-Dnevnik Jedne Ljubavi/nan-Koncert U Čast Karla Metikoša/1997.0-Antologija/2007.0-Koncert Ljubavi U Čast Karla Metikoša HNK 3. 12. 2006./2017.0-Original Album Collection Vol. 1/2018.0-...Tu U Mojoj Duši Stanuješ... - From Croatia Records Studio/nan-...Tu U Mojoj Duši Stanuješ... - From Croatia Records Studio
Josipa Lisac,Josipa Lisac,Kao Stranac,,,Dnevnik Jedne Ljubavi,1973.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1973.0-Dnevnik Jedne Ljubavi,1973.0-Dnevnik Jedne Ljubavi/nan-Dnevnik Jedne Ljubavi/1997.0-Antologija/nan-Hitovi/2017.0-Original Album Collection Vol. 1
Josipa Lisac,Josipa Lisac,"Na, Na, Na, Na",,Karlo Metikoš,"Na, Na, Na, Na / Veče U Luna Parku",,,,Miljenko Prohaska,Ivica Krajač,"Festivalski Orkestar ""Opatija""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"nan-Na, Na, Na, Na / Veče U Luna Parku","nan-Na, Na, Na, Na / Veče U Luna Parku/nan-Najveći Uspjesi 68/73/2007.0-The Platinum Collection/2017.0-Original Album Collection Vol. 1"
Josipa Lisac,Josipa Lisac,Veče U Luna Parku,,Rajmond Ruić,"Na, Na, Na, Na / Veče U Luna Parku",,,,,Ivan Glišić,,Time (16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"nan-Na, Na, Na, Na / Veče U Luna Parku","nan-Na, Na, Na, Na / Veče U Luna Parku"
Josipa Lisac,Josipa Lisac,Što Me Čini Sretnom,3:40,Arsen Dedić,Najveći Uspjesi 68/73,,Stipica Kalogjera,,Miljenko Prohaska,Arsen Dedić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Najveći Uspjesi 68/73,nan-Najveći Uspjesi 68/73/nan-Hitovi/2007.0-The Platinum Collection/2017.0-Original Album Collection Vol. 1
Josipa Lisac,Josipa Lisac,Krenule Su Lađe,3:17,Arsen Dedić,Najveći Uspjesi 68/73,,Stipica Kalogjera,,Vinko Lesić,Arsen Dedić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Najveći Uspjesi 68/73,nan-Najveći Uspjesi 68/73/nan-Hitovi/2017.0-Original Album Collection Vol. 1
