Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Album_title_discogs,Lyrics By_discogs,Album_year_discogs,Lyrics By [English]_discogs,Music By_discogs,Featuring_discogs,Written-By_discogs,Lyrics By [Ana]_discogs,Lyrics By [Ja Nisam Kockar]_discogs,Lyrics By [Lili]_discogs,Lyrics By [Zakuni Se Ljubavi]_discogs,Arranged By_discogs,Adapted By_discogs,Written-by [Slovenska Narodna]_discogs,Vocals [Duet]_discogs,Performer_discogs,Album_year_title_discogs,All_albums_discogs
Vlado Kalember,Vlado Kalember,Kad Na Tebe Pomislim,,Volim Te Do Neba,,2004.0,,,,,,,,,,,,,,2004.0-Volim Te Do Neba,2004.0-Volim Te Do Neba
Vlado Kalember,Vlado Kalember,Duge Su Noći Bez Tebe,,Volim Te Do Neba,,2004.0,,,,,,,,,,,,,,2004.0-Volim Te Do Neba,2004.0-Volim Te Do Neba
Vlado Kalember,Vlado Kalember,Moja Golubice,,Volim Te Do Neba,,2004.0,,,,,,,,,,,,,,2004.0-Volim Te Do Neba,2004.0-Volim Te Do Neba
Vlado Kalember,Vlado Kalember,Otišla Je Žena,4:30,Zlatna Kolekcija,,2008.0,,,,,,,,,,,,,,2008.0-Zlatna Kolekcija,2008.0-Zlatna Kolekcija
Vlado Kalember,Vlado Kalember,Da Imam Srca Dva,3:00,Zlatna Kolekcija,,2008.0,,,,,,,,,,,,,,2008.0-Zlatna Kolekcija,2008.0-Zlatna Kolekcija
Vlado Kalember,Vlado Kalember,Ponovo Noćas Plače Gitara,3:35,Zlatna Kolekcija,,2008.0,,,,,,,,,,,,,,2008.0-Zlatna Kolekcija,2008.0-Zlatna Kolekcija
Vlado Kalember,Vlado Kalember,Poleti Bijela Golubice,3:00,Najljepše Ljubavne Pjesme,,2013.0,,,,,,,,,,,,,,2013.0-Najljepše Ljubavne Pjesme,2013.0-Najljepše Ljubavne Pjesme
Vlado Kalember,Vlado Kalember,Srest Čemo Se Opet,3:49,Najljepše Ljubavne Pjesme,,2013.0,,,,,,,,,,,,,,2013.0-Najljepše Ljubavne Pjesme,2013.0-Najljepše Ljubavne Pjesme
Vlado Kalember,Vlado Kalember,Čao Amore,,Najljepše Ljubavne Pjesme,,2013.0,,,,,,,,,,,,Izolda Barudžija,,2013.0-Najljepše Ljubavne Pjesme,2013.0-Najljepše Ljubavne Pjesme
Vlado Kalember,Vlado Kalember,Usne Moje Zovu Ime Tvoje,3:01,The Best Of Collection,,,,,,,,,,,,,,,,nan-The Best Of Collection,nan-The Best Of Collection
Vlado Kalember,Vlado Kalember,Ljubio Bih Nemam Koga,3:23,The Best Of Collection,,,,,,,,,,,,,,,Razbijači Čaša,nan-The Best Of Collection,nan-The Best Of Collection
Vlado Kalember,Vlado Kalember,Ja Noćas Pijem,3:08,The Best Of Collection,,,,,,,,,,,,,,,,nan-The Best Of Collection,nan-The Best Of Collection
Vlado Kalember,Vlado Kalember,Opušteno,3:15,The Best Of Collection,,,,,,,,,,,,,,,Srebrna Krila,nan-The Best Of Collection,nan-The Best Of Collection
