Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Album_title_discogs,Lyrics By_discogs,Album_year_discogs,Lyrics By [English]_discogs,Music By_discogs,Featuring_discogs,Written-By_discogs,Lyrics By [Ana]_discogs,Lyrics By [Ja Nisam Kockar]_discogs,Lyrics By [Lili]_discogs,Lyrics By [Zakuni Se Ljubavi]_discogs,Arranged By_discogs,Adapted By_discogs,Written-by [Slovenska Narodna]_discogs,Vocals [Duet]_discogs,Performer_discogs,Album_year_title_discogs,All_albums_discogs
Vlado Kalember,Vlado Kalember,Sve je to zbog tebe,,Sve je to zbog tebe,,,,,,,,,,,,,,,,nan-Sve je to zbog tebe,nan-Sve je to zbog tebe
Vlado Kalember,Vlado Kalember,Gremo na morje,,Sve je to zbog tebe,,,,,Helena Blagne,,,,,,,,,,,nan-Sve je to zbog tebe,nan-Sve je to zbog tebe
Vlado Kalember,Vlado Kalember,"Vrati se, vrati (Makar je nevjerna)",,Sve je to zbog tebe,,,,,,,,,,,,,,,,nan-Sve je to zbog tebe,nan-Sve je to zbog tebe
Vlado Kalember,Vlado Kalember,Ti si moja curica,,Sve je to zbog tebe,,,,,,,,,,,,,,,,nan-Sve je to zbog tebe,nan-Sve je to zbog tebe
Vlado Kalember,Vlado Kalember,Ako je kraj,,Sve je to zbog tebe,,,,,,,,,,,,,,,,nan-Sve je to zbog tebe,nan-Sve je to zbog tebe
Vlado Kalember,Vlado Kalember,Ne mogu ti reći zbogom,,Sve je to zbog tebe,,,,,,,,,,,,,,,,nan-Sve je to zbog tebe,nan-Sve je to zbog tebe
Vlado Kalember,Vlado Kalember,Još te volim,,Sve je to zbog tebe,,,,,,,,,,,,,,,,nan-Sve je to zbog tebe,nan-Sve je to zbog tebe
Vlado Kalember,Vlado Kalember,Doris,,Sve je to zbog tebe,,,,,,,,,,,,,,,,nan-Sve je to zbog tebe,nan-Sve je to zbog tebe/2013.0-Najljepše Ljubavne Pjesme/nan-The Best Of Collection
Vlado Kalember,Vlado Kalember,Četrdeseta,,Sve je to zbog tebe,,,,,,,,,,,,,,,,nan-Sve je to zbog tebe,nan-Sve je to zbog tebe
Vlado Kalember,Vlado Kalember,Nisi više moja mala,,Sve je to zbog tebe,,,,,,,,,,,,,,,,nan-Sve je to zbog tebe,nan-Sve je to zbog tebe
