Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Album_title_discogs,Album_year_discogs,Accordion_discogs,Vocals_discogs,Backing Vocals_discogs,Drum Programming [Rhythm Machine]_discogs,Written-By_discogs,Lyrics By [English]_discogs,Music By_discogs,Drum Programming_discogs,Guitar [Solo]_discogs,Synthesizer_discogs,Arranged By_discogs,Lyrics By [Translation]_discogs,Lyrics By [Quote]_discogs,Lyrics By_discogs,Voice_discogs,Featuring_discogs,Producer_discogs,Album_year_title_discogs,All_albums_discogs
Plavi Orkestar,Plavi Orkestar,Zelene su oči te,,Antologija ,2005.0,,,,,,,,,,,,,,,,,,2005.0-Antologija ,2005.0-Antologija 
Plavi Orkestar,Plavi Orkestar,Nisam je probudio,,Antologija ,2005.0,,,,,,,,,,,,,,,,,,2005.0-Antologija ,2005.0-Antologija 
Plavi Orkestar,Plavi Orkestar,Ti si moja sudbina,,Antologija ,2005.0,,,,,,,,,,,,,,,,,,2005.0-Antologija ,2005.0-Antologija 
Plavi Orkestar,Plavi Orkestar,Lovac i kosuta,,Antologija ,2005.0,,,,,,,,,,,,,,,,,,2005.0-Antologija ,2005.0-Antologija 
Plavi Orkestar,Plavi Orkestar,Tell me why ,,Antologija ,2005.0,,,,,,,,,,,,,,,,,,2005.0-Antologija ,2005.0-Antologija 
Plavi Orkestar,Plavi Orkestar,O-la-la,,Antologija ,2005.0,,,,,,,,,,,,,,,,,,2005.0-Antologija ,2005.0-Antologija 
Plavi Orkestar,Plavi Orkestar,Zarazi me,,Antologija ,2005.0,,,,,,,,,,,,,,,,,,2005.0-Antologija ,2005.0-Antologija 
Plavi Orkestar,Plavi Orkestar,Otrovni cvijet,,Antologija ,2005.0,,,,,,,,,,,,,,,,,,2005.0-Antologija ,2005.0-Antologija 
Plavi Orkestar,Plavi Orkestar,Djevojka iz snova,,Antologija ,2005.0,,,,,,,,,,,,,,,,,,2005.0-Antologija ,2005.0-Antologija 
Plavi Orkestar,Plavi Orkestar,Medena Curice / Daj Mi Vruće Rakije,3:09,Antologija (19 Hitova),,,,,,,,,,,,,,,,,,,nan-Antologija (19 Hitova),nan-Antologija (19 Hitova)
Plavi Orkestar,Plavi Orkestar,Zelene Su bile Oči Te,3:26,The Ultimate Collection,2007.0,,,,,,,,,,,,,,,,,,2007.0-The Ultimate Collection,2007.0-The Ultimate Collection
Plavi Orkestar,Plavi Orkestar,Ako su To Samo Bile Laži,5:06,The Ultimate Collection,2007.0,,,,,,,,,,,,,,,,,,2007.0-The Ultimate Collection,2007.0-The Ultimate Collection
Plavi Orkestar,Plavi Orkestar,"Sava, Tiho Teče",4:01,The Ultimate Collection,2007.0,,,,,,,,,,,,,,,,,,2007.0-The Ultimate Collection,2007.0-The Ultimate Collection
Plavi Orkestar,Plavi Orkestar,"Fa, Fa, Fašista",5:02,The Ultimate Collection,2007.0,,,,,,,,,,,,,,,,,,2007.0-The Ultimate Collection,2007.0-The Ultimate Collection
Plavi Orkestar,Plavi Orkestar,U Jervema Slika Ta,3:29,The Ultimate Collection,2007.0,,,,,,,,,,,,,,,,,,2007.0-The Ultimate Collection,2007.0-The Ultimate Collection
Plavi Orkestar,Plavi Orkestar,Ustani Voljena Sajo,3:00,The Ultimate Collection,2007.0,,,,,,,,,,,,,,,,,,2007.0-The Ultimate Collection,2007.0-The Ultimate Collection
Plavi Orkestar,Plavi Orkestar,Kad Si Sam Druže Moj,2:41,The Ultimate Collection,2007.0,,,,,,,,,,,,,,,,,,2007.0-The Ultimate Collection,2007.0-The Ultimate Collection
Plavi Orkestar,Plavi Orkestar,Što Če Nama Šoferima Kuća,3:03,The Ultimate Collection,2007.0,,,,,,,,,,,,,,,,,,2007.0-The Ultimate Collection,2007.0-The Ultimate Collection
Plavi Orkestar,Plavi Orkestar,(R) Evolucija,,Sedam,2012.0,,,,,,,,,,,,,,,,Dubioza Kolektiv,,2012.0-Sedam,2012.0-Sedam
Plavi Orkestar,Plavi Orkestar,Sedam,,Sedam,2012.0,,,,,,,,,,,,,,,,,,2012.0-Sedam,2012.0-Sedam
Plavi Orkestar,Plavi Orkestar,Nedodirljiva,,Sedam,2012.0,,,,,,,,,,,,,,,,,,2012.0-Sedam,2012.0-Sedam
Plavi Orkestar,Plavi Orkestar,Slatke Čari,,Sedam,2012.0,,,,,,,,,,,,,,,,,,2012.0-Sedam,2012.0-Sedam
Plavi Orkestar,Plavi Orkestar,Amerika,,Sedam,2012.0,,,,,,,,,,,,,,,,,,2012.0-Sedam,2012.0-Sedam
Plavi Orkestar,Plavi Orkestar,Ti Misliš Da Je Meni Lako,,Sedam,2012.0,,,,,,,,,,,,,,,,Dragana Mirković,,2012.0-Sedam,2012.0-Sedam
Plavi Orkestar,Plavi Orkestar,S Tvojim Imenom Na Usnama,,Sedam,2012.0,,,,,,,,,,,,,,,,,,2012.0-Sedam,2012.0-Sedam
Plavi Orkestar,Plavi Orkestar,Od Kad Si Dama,,Sedam,2012.0,,,,,,,,,,,,,,,,,,2012.0-Sedam,2012.0-Sedam
Plavi Orkestar,Plavi Orkestar,Bi Li Pošla Sa Mnom,,Sedam,2012.0,,,,,,,,,,,,,,,,,,2012.0-Sedam,2012.0-Sedam
Plavi Orkestar,Plavi Orkestar,Život Nije Bajka,,Sedam,2012.0,,,,,,,,,,,,,,,,,,2012.0-Sedam,2012.0-Sedam
Plavi Orkestar,Plavi Orkestar,Svako Od Nas Nosi Svoju Bol,,Sedam,2012.0,,,,,,,,,,,,,,,,,,2012.0-Sedam,2012.0-Sedam
Plavi Orkestar,Plavi Orkestar,"Fa, Fa, Fašista Nemoj Biti Ti (Cerbo Ću Te Ja Draga Ubiti)",5:02,Greatest Hits Collection,,,,,,Saša Lošić,,,,,,Plavi Orkestar,,,,,,Saša Lošić,nan-Greatest Hits Collection,nan-Greatest Hits Collection
