Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Album_title_discogs,Vocals [Duet]_discogs,Lyrics By_discogs,Album_year_discogs,Featuring_discogs,Written-By_discogs,Music By_discogs,Vocals_discogs,Written By_discogs,Lyrics By [Co-written]_discogs,Arranged By_discogs,Album_year_title_discogs,All_albums_discogs
Goran Karan,Goran Karan,Prid Tvojin Suzama,4:12,Zlatna Kolekcija,,Helena Papić,,,,Ana Stanić,,,,,nan-Zlatna Kolekcija,nan-Zlatna Kolekcija/2010.0-Najljepše Ljubavne Pjesme
Goran Karan,Goran Karan,Pristajem Na Sve,3:58,Zlatna Kolekcija,,Darijo Marunčić,,,,Darijo Marunčić,,,,,nan-Zlatna Kolekcija,nan-Zlatna Kolekcija/2010.0-Najljepše Ljubavne Pjesme/2011.0-Hitovi/2013.0-Komplet 4 CDa
Goran Karan,Goran Karan,Trag Od Jubavi,4:35,Dite Jubavi,,,,,,,,,,,nan-Dite Jubavi,nan-Dite Jubavi
Goran Karan,Goran Karan,Anđele,3:34,Dite Jubavi,,,,,,,,,,,nan-Dite Jubavi,nan-Dite Jubavi
Goran Karan,Goran Karan,Dite Jubavi,3:47,Dite Jubavi,,,,,,,,,,,nan-Dite Jubavi,nan-Dite Jubavi/2011.0-Romanca Pod Zvizdama
Goran Karan,Goran Karan,Di Si Rasla,4:53,Dite Jubavi,,,,,,,,,,,nan-Dite Jubavi,nan-Dite Jubavi/2012.0-Melodie Znad Adriatyku
Goran Karan,Goran Karan,Pali S Oblaka,3:25,Dite Jubavi,,,,,,,,Brown,,,nan-Dite Jubavi,nan-Dite Jubavi
Goran Karan,Goran Karan,Takni Me,3:51,Dite Jubavi,,,,,,,,,,,nan-Dite Jubavi,nan-Dite Jubavi
Goran Karan,Goran Karan,Vitre Moj,3:43,Dite Jubavi,,,,,,,,,,,nan-Dite Jubavi,nan-Dite Jubavi
Goran Karan,Goran Karan,Zašto Sam Još Uvik Sam,3:58,Dite Jubavi,,,,,,,,,,,nan-Dite Jubavi,nan-Dite Jubavi
Goran Karan,Goran Karan,Dica,3:39,Dite Jubavi,,,,,,,,,,,nan-Dite Jubavi,nan-Dite Jubavi
Goran Karan,Goran Karan,Jesen Stiže Dunjo Moja,3:55,Dite Jubavi,,Ištvan Bogdan,,,,Ištvan Bogdan,,,,,nan-Dite Jubavi,nan-Dite Jubavi
Goran Karan,Goran Karan,Da Me Pojubiš,3:51,Dite Jubavi,,,,,,,,,,,nan-Dite Jubavi,nan-Dite Jubavi/2011.0-Romanca Pod Zvizdama
Goran Karan,Goran Karan,Ovo Srce,4:01,Dite Jubavi,,,,,,,,,,,nan-Dite Jubavi,nan-Dite Jubavi
Goran Karan,Goran Karan,Oprostila Si,4:06,Dite Jubavi,,Arsen Dedić,,,,,,,,,nan-Dite Jubavi,nan-Dite Jubavi
Goran Karan,Goran Karan,Un Segno Dell Amore,4:34,Dite Jubavi,,,,,,,,,,,nan-Dite Jubavi,nan-Dite Jubavi
Goran Karan,Goran Karan,Antalya,3:40,Dite Jubavi,,,,,,Selahattin Erhan,,,Nükhet Duru,,nan-Dite Jubavi,nan-Dite Jubavi
