Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Album_title_discogs,Album_year_discogs,Arranged By_discogs,Written-By_discogs,Music By_discogs,Backing Vocals_discogs,Lyrics By_discogs,Synthesizer [Juno 106]_discogs,Piano_discogs,Synthesizer [Yamaha Dx7]_discogs,Vocals_discogs,Drums_discogs,Percussion_discogs,Composed By_discogs,Written By_discogs,Producer_discogs,Vocals [Vocal Sample]_discogs,Choir_discogs,Lead Guitar_discogs,Guitar [Lap Steel]_discogs,Trumpet_discogs,Violin_discogs,Performer [Dj]_discogs,Trombone_discogs,Bass Guitar_discogs,Guitar [Solo]_discogs,Cello_discogs,Tenor Saxophone_discogs,Banjo_discogs,Album_year_title_discogs,All_albums_discogs
Psihomodo Pop,Psihomodo Pop,Surfin' Byrd,3:45,Live In Amsterdam,,John Harris (26),,Carl White (4),,Al Frazier,,,,,,,,,,,,,,,,,,,,,,,nan-Live In Amsterdam,nan-Live In Amsterdam
Psihomodo Pop,Psihomodo Pop,I Wanna Be Your Boyfriend,2:26,Live In Amsterdam,,Tigran Kalebota,,Johnny Ramone,,Johnny Ramone,,,,,,,,,,,,,,,,,,,,,,,nan-Live In Amsterdam,nan-Live In Amsterdam
Psihomodo Pop,Psihomodo Pop,I'm In Love With Gorbac,2:48,Live In Amsterdam,,,,Smiljan Paradiš,,,,,,,,,,,,,,,,,,,,,,,,,nan-Live In Amsterdam,nan-Live In Amsterdam/1990.0-Briljant Video-Pop/2015.0-Original Album Collection
Psihomodo Pop,Psihomodo Pop,Zauvijek!,2:40,ZG Rock Forces Live!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-ZG Rock Forces Live!,nan-ZG Rock Forces Live!/1990.0-Briljant Video-Pop
Psihomodo Pop,Psihomodo Pop,Srce Na Cesti,3:45,ZG Rock Forces Live!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-ZG Rock Forces Live!,nan-ZG Rock Forces Live!
Psihomodo Pop,Psihomodo Pop,Zamisli Život U Ritmu Muzike Za Ples,3:25,ZG Rock Forces Live!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-ZG Rock Forces Live!,nan-ZG Rock Forces Live!
Psihomodo Pop,Psihomodo Pop,Sječam Se Prvog Poljupca,5:20,ZG Rock Forces Live!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-ZG Rock Forces Live!,nan-ZG Rock Forces Live!
Psihomodo Pop,Psihomodo Pop,Valovi (67-77-87),3:43,ZG Rock Forces Live!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-ZG Rock Forces Live!,nan-ZG Rock Forces Live!
Psihomodo Pop,Psihomodo Pop,Pjevajmo Do Zore,4:40,ZG Rock Forces Live!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-ZG Rock Forces Live!,nan-ZG Rock Forces Live!
Psihomodo Pop,Psihomodo Pop,Mi Plešemo,6:15,ZG Rock Forces Live!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-ZG Rock Forces Live!,nan-ZG Rock Forces Live!
Psihomodo Pop,Psihomodo Pop,Ne Zovi Mama Doktora,3:20,ZG Rock Forces Live!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-ZG Rock Forces Live!,nan-ZG Rock Forces Live!
Psihomodo Pop,Psihomodo Pop,Slaži Mi,4:54,ZG Rock Forces Live!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-ZG Rock Forces Live!,nan-ZG Rock Forces Live!
Psihomodo Pop,Psihomodo Pop,Ma Kog' Me Boga Za Tebe Pitaju,4:22,ZG Rock Forces Live!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-ZG Rock Forces Live!,nan-ZG Rock Forces Live!
Psihomodo Pop,Psihomodo Pop,041,4:27,ZG Rock Forces Live!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-ZG Rock Forces Live!,nan-ZG Rock Forces Live!
Psihomodo Pop,Psihomodo Pop,Pusti Nek Traje,3:32,ZG Rock Forces Live!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-ZG Rock Forces Live!,nan-ZG Rock Forces Live!
Psihomodo Pop,Psihomodo Pop,Prokleta Nedjelja,3:54,ZG Rock Forces Live!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-ZG Rock Forces Live!,nan-ZG Rock Forces Live!
Psihomodo Pop,Psihomodo Pop,Gledam Je Dok Spava,7:20,ZG Rock Forces Live!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-ZG Rock Forces Live!,nan-ZG Rock Forces Live!
Psihomodo Pop,Psihomodo Pop,Sexy Magazin,3:36,Sexy Magazin / Ona Odlazi,1990.0,Ivan Piko Stančić,,,,,,,,,,,Ivan Piko Stančić,Ivan Piko Stančić,,,,,,,,,,,,,,,1990.0-Sexy Magazin / Ona Odlazi,1990.0-Sexy Magazin / Ona Odlazi/nan-Sexy Magazin/1993.0-Mix - 93/nan-Best Of/nan-Das Beste Aus Der Grossen Hit Parade (Die Schönen Melodien '98)/nan-Tekućih 20/2004.0-Tekućih 20/2007.0-The Ultimate Collection/2010.0-'Ste Dobro?/2015.0-Original Album Collection/2015.0-Original Album Collection/2017.0-Live - Unpljugd 2 Gavella/2017.0-Live - Unpljugd 2 Gavella/2020.0-Greatest Hits Collection
Psihomodo Pop,Psihomodo Pop,Ona Odlazi,4:08,Sexy Magazin / Ona Odlazi,1990.0,Ivan Piko Stančić,,,,,,,,,,,Davor Gobac,Davor Gobac,,,,,,,,,,,,,,,1990.0-Sexy Magazin / Ona Odlazi,1990.0-Sexy Magazin / Ona Odlazi/nan-Sexy Magazin/1993.0-Mix - 93/nan-Tekućih 20/2004.0-Tekućih 20/2007.0-The Ultimate Collection/2015.0-Original Album Collection/2017.0-Live - Unpljugd 2 Gavella/2017.0-Live - Unpljugd 2 Gavella/2020.0-Greatest Hits Collection
Psihomodo Pop,Psihomodo Pop,"Polako, Polako!",3:35,Briljant Video-Pop,1990.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990.0-Briljant Video-Pop,1990.0-Briljant Video-Pop
Psihomodo Pop,Psihomodo Pop,Hej Djevojko!,2:25,Briljant Video-Pop,1990.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990.0-Briljant Video-Pop,1990.0-Briljant Video-Pop
Psihomodo Pop,Psihomodo Pop,Nebo-Final,1:05,Briljant Video-Pop,1990.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990.0-Briljant Video-Pop,1990.0-Briljant Video-Pop
