,Song_ID,Song,Lyrics
23,hluW+yB/_1_23,Labude kad rata ne bude,"Ne diraj mog labuda, svijetu zla on ne pripada, ne prljaj sjaj bisera, krvavim svojim rukama. Pusti ga da zivi od sna, nek s mirom spi dusa njegova, ne uci ga patnju da zna, dosta je sto moram ja. Labude kad rata ne bude, molicu da te probude. Ne diraj mog labuda, svijetu zla on ne pripada, ne prljaj sjaj bisera, krvavim rukama"
24,hluW+yB/_1_24,Lejla,"Luda noc je blesava, u meni je mecava, vodi me sad bilo gdje, ma samo ne na spavanje. Lejla, Lejla, Lejla, Lejla. Sto je bilo bilo je, za sve more krivo je, oni sto ti prilaze, nek se dobro pripaze. Ja sam, duso, spreman na sve, i lud sam od ljubomore, hajde sada ljubi me, dok usne nam izgore"
25,hluW+yB/_1_25,Let na drugi svijet,"Opet neki glas u noći. Crni jastuk, plavi snovi. Divlji konji mjesec vuku. Što po nebu baca sjaj. Dijele se karte za raj. U dva i pet. Let na drugi svijet. Dijele se karte za raj. U dva i pet. Let na drugi svijet. Iznad grada lete strašni snovi. Djeca u snu broje zvijezde. Zvonik pao sa vrha tornja. Sat je stao, al' nije kraj."
26,hluW+yB/_1_26,Ljubav može sve,"Otvori prozor da udje dan, sunce zivot donosi nam, i slusaj vedrog neba glas, ljubav je spas za nas. Otvori srce kad pokucam, zlatan osmjeh ti nosim na dar, i nemam drugog nacina, ljubav je spas za nas. Ljubav moze sve, ona zna i za bolji svijet, ljubav moze sve, ona ima snagu i lijek, prati njezin trag i vjeruj u sutra). Otvori srce kad pokucam, zlatan osmjeh ti nosim na dar, i nemam drugog nacina, ljubav je spas za nas, ljubav zauvijek. Ljubav moze sve"
27,hluW+yB/_1_27,"Ljubavi, daj mi ljubavi","Jos vjerujem da postojis, k'o sjena neuhvatljiva, u snovima mi dolazis, opojna, gola, zanosna. Ljubavi, daj mi ljubavi. Dok zovem te i trazim te, krijes se vjesto od mene, kad osvane dan bez tebe, u zaboravu gubis me. Mjesec lud da l' te nocas dira, kraljice nemira, mjesec lud samo tebi svira, pjesmu svemira"
28,hluW+yB/_1_28,Ljubi me i ostani,"Ja trazim istinu, a to je cesto najteza stvar, kucam na tvoja vrata, jos uvijek zatvorena, koliko pokusaja, toliko padanja, ja moram ici dalje bez stajanja, zaustavljanja. Svake noci tu si kraj mene, znam, opet dolazi, taj osjecaj da nestaje vrijeme, moje ruke, tvoji pogledi. Ljubi, ljubi me i ostani, toliko dugo da zaboravim, kada bude zadnji put i zadnji dan, bit' cu slobodan; ja bit' cu slobodan. Ono sto nebo spaja, nasa su gola tijela voda i vatra, ostati nista nece izmedju svijetla i mraka, koliko pokusaja, toliko padanja, ja moram ici dalje bez stajanja, zaustavljanja. Svake noci tu si kraj mene, znam, opet dolazi, taj osjecaj da nestaje vrijeme, moje ruke, tvoji pogledi"
29,hluW+yB/_1_29,London,"Duga noć, ljuta kao pas. U daljini čujem underground. Znam da pričaju da sam lud. Čak i to da više nemam kud. Nemam kud. Spreman sam za više. Ja pobijediću ... London, Bože gdje si sad. London, kurvin grad. London, Bože gdje si sad. London, kurvin grad. Kurvin grad ... Bože, gdje si sad ... Čudan strah osjećam. Dok kurvi samo vodi put. Vodi put. Koliko dugo čekati. Samo dragi Bog zna. Vjerujem u ljubav. Ja pobijediću ."
30,hluW+yB/_1_30,Love is in your hands,"I've tried to find a way to love you. I've tried to keep my love inside. I can stand what you get used. Please let my dream comes true. I need your smile to make me stronger. I need your love to carry on. Open your heart and stay with me. Show me what a love can be. You are all i need. Ooo my love is in your hands. Ooo please try to understand. Ooo my heart is full of dreams. Ooo take away my fears. All my memories are wake and nice. I see pain in your eyes. All your tears,are they all live lives, with my lonely nights. Your love is all i need from you. Your touch is only thing i need. Spread your head down on me. Show me what a love can be. You are all i need. Ooo my love is in your hands. Ooo please try to understand. Ooo my heart is full of dreams. Ooo take away my fears"
31,hluW+yB/_1_31,Marija,"Ti i ja smo sunca dva, ti i ja ko anđeli, spojili se nebom letjeli. Do duge mi smo željeli, do duge mi smo plovili, na krilima od sjena mjeseca. Nisam bio mnogo jak, da odolim na tvoj tajni znak, zemlju si očarala, zauvjek si mene uzela. Trebam te Marija, od neba do neba, povedi me Marija, moja Marija. Vjeruj mi Marija, od neba do neba, moja si meni suđena, zajedno smo plovili, morem plavim nebeskim, zajedno u vječnom nestali. Nisam bio mnogo jak, da odolim na tvoj tajni znak, zemlju si očarala, zauvjek si mene uzela."
32,hluW+yB/_1_32,"Meni je lijepo, ja volim slijepo","Jos jedan prodje dan, hladan sivi okean, kao ukleti brod, uranjam u mrak. Da l' si zaspala, il' si u onoj ludjackoj, bijeloj kosulji sna, koju sam nosio ja, otkad za tebe znam. Meni je lijepo, ja volim slijepo, barem sam na tren, bio zaljubljen. Da l' si zaspala, il' si u onoj ludjackoj, bijeloj kosulji sna, koju sam nosio ja, otkad za tebe znam"
33,hluW+yB/_1_33,Metalni radnici,Odlaze u zoru. Odlaze u veče. Da ukrote rijeku. Od gvozđa što teče. Dok nad gradom nebo spi. Svako od njih za nas bdi. Budni sanjaju. Metalni radnici. Hiljadu stepeni. Oko njih kad gori. U znojavoj ruci. Ćelik progovori. Dan nam život bude let. Iskovaće novi svijet. Oni mogu to
34,hluW+yB/_1_34,Moj Dilbere,"Moj dilbere, kud se šećeš, haj što i mene ne povedeš, haj što i mene ne povedeš. Što te volim, ah što te ljubim, aman, aman, Bože moj. Povedi me, u čaršiju, haj pa me prodaj bazardžanu, haj pa me prodaj bazardžanu.  Uzmi za me, oku zlata, haj pa pozlati dvoru vrata, haj pa pozlati dvoru vrata."
35,hluW+yB/_1_35,Moja si,"Priča obična kao svaka ljubavna. Krao sam ti sve zore danima. O znam bajke te, ispričao ti sve. Ljubim,ljubim te. Dugo ljubim te. Nježno ljubim te. Moja si. Kao vode kap na dlanu čuvao te. Sati lopovski su tekli pred nas. Mjesec tajne sve o nama znao je. Ljubim,ljubim te. Dugo ljubim te. Nježno ljubim te. Moja si"
36,hluW+yB/_1_36,Mojoj ljubavi,"U moj svijet si došla ti. Tiho kao suton blag. Moje misli i moj trag. Našao je lik tvoj drag. Ispred nas dug je put. Nad njim bdije strepnja, strah. Tražim nježni pogled tvoj. Dok te ljubim, gubim dah. Sav naš put, moja ljubavi. Prati strast i sumnje dah. Tvoje misli nekud lutaju. Kuda vodi njihov trag"
37,hluW+yB/_1_37,Morrison,"Dijelili smo sve. Od Boga svaki dan. Paštetu, hljeb i grijeh. I maštanja kroz san. A ti. U Morrisona si tad, klela se. Voljeli blue jeans. Po svijetu krili se. Ko parče nade znam. Za sebe čuv'o te. A ti. U Morrisona si tad. Klela se"
38,hluW+yB/_1_38,Motori,"U daljini čuju se, kao gromovi. Auto putem prolaze, kao vjetrovi. Odlaze na dalek put, ko to može znati, samo neki stoper ljut, što ih prstom prati. Motori, motori, motori... Izlizane traperice, jakne čizmice, usijane kacige, kožne torbice. Odlaze na dalek put, ko to može znati, samo neki stoper ljut, što ih prstom prati"
39,hluW+yB/_1_39,Mrak za dvoje,"Mala soba, pozvano drustvo, vec se vrti lagana muzika, gase svjetlo, svako svojoj, praznih ruku ja ostadoh sam, ja ostadoh sam. Zar cigare obasja tijela, vlazan dim suzava vid, da l' to Sonja ledja mi dira, mrak za dvoje ne mijenja stvar. Opet svjetlo, solidan red, znana lica znojava sva, a iz coska Sonja me tjesi, kaze okom za drugi put sam izabran ja"
40,hluW+yB/_1_40,Nasmiješi se,"Neka kraljica zore utonu u more, za sobom stvori zvjezdan trag, dok ruke nježne tvoje traže moje, u očima otkrih da sam ti drag. Sjene neke šeću odlaze u noć, i pospan ponoćni val smiri se sad, kasni su sati ti moraš poć, odavno spava luka i grad, luka i grad. Hej, hej nasmiješi se, i ako sam griješio, nasmiješi se, hej, hej nasmiješi se, i šapnuću ono što nitko ti nije još šapnuo"
41,hluW+yB/_1_41,Nazovi me,"Pozvoni triput u dobru noć. Ma bila bilo gdje. Otmimo sebe od ćutanja. Tišina guši me. Ko dan što ode već prazan sam. Tako je glupo sve. Ma dao bi pola kraljevstva. Samo da čujem te. Nazovi me, pomozi mi. Nazovi me, na stari broj. Skoro me nema, to osjećam. Nemoj da igraš se. Ostavi sva ta mudrovanja. Pogazi riječi sve. Ne budi luda, odluči se. Prevari, dokaži se. Najslađa hajde bar javi se. Sam sam i strah me je"
42,hluW+yB/_1_42,"Ne brini sestro, veceras sam tvoj","Lijepa si i pametna, dobar stas i dobar glas, tatina i mamina, kcerkica im jedina. Ti dobro znas tko sam ja, ti dobro znas ja nisam Bog, ja vidim sjaj u oku tvom, ovo je tvoja noc. Ne brini sestro, veceras sam tvoj, nije mi vazno koji si broj, ne brini sestro, zaboravi sve, ne brini sestro, okreni se. Osmijeh tvoj cudo ljubavi, korak tvoj carobna stvar, isti film po tko zna koji put, da li znas, C’est la vie. Probaj me samo ovu noc, probaj me i to je sve, probaj me i vjeruj mi, ovo je tvoja noc"
43,hluW+yB/_1_43,Ne krivi me,"Radja se novi dan, budan sam, ne spavam, zelja je nestala, sto je zivot grijala, o, zasto, tko zna. Bojim se rijeci kraj"", bojim se preci prag, ja bojim se pogleda, kada rijec savlada strah, kada rijec savlada strah. Sad je kraj, samo led na usnama, sad je kraj za nas, ne krivi me, ne krivi me, sto je zelja nestala. Radja se novi dan, zora je carobna, ne krivim nikoga, bili smo samo navika, o, samo navika"
44,hluW+yB/_1_44,Ne želiš kraj,"Ne želiš kraj, mada je tu. Međ­u nama stvara se jaz, i blijedi sjaj. Ne želiš kraj, teško je znam. Ali idi ne daj se ne daj, ostaću sam. Bili smo luckast par, mada već prošla stvar. Sada još molim te, odbacimo gluposti sve."
45,hluW+yB/_1_45,"Ne, nisam ja","Mjesečina se, plava rasula, u tvoju sobu je, ljubav udahnula. Blaga svjetlost je, suzu otkrila, u oku tvome se, nježnost sakrila. Što se u oku tvom, nježnost sakrila. Ne, nisam ja, uzrok tvojim suzama, sve je skrivila, pjesma lagana. U sobi plavog sna, drhtis usnama, dok pričaš sjenama, svoja sjećanja. U sobi plavog sna, brišeš prstima, suzu što se je, noćas predala. Što se u oku tvom, nježnom predala.  Ne, nisam ja"
46,hluW+yB/_1_46,Nemam ništa protiv,"Objektivno ti uopće nisi komad loš. Subjektivno ja za to neću dati ni groš. Puder i ruž, izgledaš ti top. Briga te baš što skitaš non stop. Nemam ništa protiv, a nisam ni za. I veze neću s tim da imam ja. Proćelav i sjed, otac ti je vrlo strog. Mama još i gora, tebi je već dosta tog. Mada bi ti ludovala ovu noć. Ne sumnjam rado proverila svoju moć. Nemam ništa protiv, a nisam ni za. I veze neću s tim da imam ja. Puder i ruž, izgledaš ti top. Briga te baš što skitaš non stop. Nemam ništa protiv, a nisam ni za. I veze neću s tim da imam ja"
47,hluW+yB/_1_47,Od neba do neba,"Ja sad mogu svukuda ici, ja znam, necu nikuda stici, znam, srce pratiti treba na dugi put, put od neba pa do neba, od neba pa do neba. Zurimo, ne znam gdje to idemo, pricamo, ne znam sta to kazemo, zemlja se stalno u krug okrece, nju ti ni ja, nitko zaustavit nece. Zurimo, mi samo zurimo, a ljubav je kada volis me, ljubav kada volim te, ljubav kada cekam na tebe. Ljubav kada sanjamo, ljubav kada zelimo, ljubav je sve sto trebamo. Gdje nebo je, mir nas ceka sve, gdje nebo je, mir nas ceka sve, gdje nebo je, tu sloboda je. Ljubav, ljubav, gdje nebo je, tu sloboda je, ljubav, ljubav"
48,hluW+yB/_1_48,Oluja,"Istok, zapad, sjever i jug. Zovu putevi čujem im glas. Biti putnik je začaran krug. Svaka cesta mi donosi spas. Putujem ja. Uvjek bez kofera. Putujem sam. Iza sebe ja ne gledam. Dolazi oluja. Nosi me. Ko zna gdje. Dolazi oluja. Ljubav s njom umire. Ispod zvjezda jedan je put. Svako od nas bira ga sam. Vatre gore na obali. Ja više nemam šta da ti dam. Putujem ja. Uvjek bez kofera. Putujem sam. Iza sebe ja ne gledam. Dolazi oluja. Nosi me. Ko zna gdje. Dolazi oluja. Ljubav s njom umire. Putujem ja. Uvjek bez kofera. Putujem sam. Iza sebe ja ne gledam."
49,hluW+yB/_1_49,"Osjećam, gola si ispod haljine","Volim, volim što si tu. Miriše na vjetrove. Noću tražim tvoje ruke i u snu ih volim. Osjećam, gola si ispod haljine, sklopi oči, budi poljubac, i to je sve, to je sve. Volim tu tvoju malenu, fantastičnu ogrlicu od žada. Volim kad pričaš, kada ćutiš, volim sve što ti pripada. Osjećam, gola si ispod haljine, sklopi oči, budi poljubac, i to je sve, to je sve. Noću tražim tvoje ruke, i u snu ih volim. Osjećam, gola si ispod haljine, sklopi oči, budi poljubac, i to je sve, i to je sve. Osjećam, gola si ispod haljine, budi poljubac, i to je, to je sve. Osjećam, gola si ispod haljine, samo poljubac..."
50,hluW+yB/_1_50,Patkica,"Voljela je da je zovem patkica, zeljela je da joj svi se dive, voljela je hladnu koca-kolu, divila se nekom svom idolu, bas svaki dan, svaki dan, zeljela je mnogo toga, mnogo. Gdje si sad, moja mala patkice, gdje si sad, koga sada ljubis, gdje si sad. Mastala je o pariskoj modi, zeljela u Pariz da je vodim, voljela je lude nocne setnje, da joj sviram melodije sjetne, dugo u noc, ah u noc, zeljala je mnogo toga, mnogo"
51,hluW+yB/_1_51,Pepeljuga,"Princeza znaj bićeš ti. I poći ćeš na strašan bal. Sve što si htjela, sve što ti treba. Još ove noći pašće sa neba. Al' znaj u ova čudna vremena. Cipele zlatne Pepeljugo. Možda su lažne shvati to. Cipele zlatne Pepeljugo. Skinuće tebi jutro zlo. Strpi se sunce je. Sačekaj da padne noć. A onda princ tvoj brzo će stići. Kočijom zlatnom i ti ćeš poći"
52,hluW+yB/_1_52,Piramida,"Neki cudni tragovi, mracni, hladni putevi, vode jedne noci lutati. Kao da sam izgubljen, svijet od mene sakriven, nebo trazi da je otkrijem. Pa me vjetar obori, zemlja tu se otvori, ispred mene izroni. Piramida krije tajnu zemlje, tajnu svemira, piramida nosi grijehe, ovog naseg vremena, piramida skrivena. Prica mi o zemljama, gdje su blaga skrivena, vijekovima tajnu cuvala. Slaze slike proslosti, ljubavi i ratovi toliki, se na njoj vodili. Iz dubine izranja, penje se visinama, bjezi od nas zvijezdama"
53,hluW+yB/_1_53,Piši mi,"Da li iz Londona ili Kalifornije, iz Beča il' Bona da se javiš da mi je, da li je Kanada ili Australija, dok postoji nada znaš da čekaću te ja. Piši mi, piši mi, piši kao ranije, oprosti mi, nisam znao šta mi je. Da li iz Berlina ili Skandinavije, iz bilo kog djela bivše Jugoslavije, koja je zemlja koji pusti grad, sada tebe sniva ko zna gdje si sad."
