Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Album_title_discogs,Album_year_discogs,Written-By_discogs,Backing Vocals_discogs,Guitar_discogs,Music By_discogs,Rap_discogs,Lyrics By [Rap]_discogs,Programmed By_discogs,Recorded By_discogs,Mixed By_discogs,Arranged By [Backing Vocals]_discogs,Saxophone_discogs,Lyrics By_discogs,Producer_discogs,Remix_discogs,Arranged By_discogs,Keyboards_discogs,Drums [Def]_discogs,Piano_discogs,Engineer_discogs,Remix [Credited To]_discogs,Arranged By [Co-arranged]_discogs,Featuring_discogs,Arranged By [Additional]_discogs,Arranged By [Vocals]_discogs,Edited By [Vocals]_discogs,Bass_discogs,Percussion_discogs,Drums_discogs,Other [Sound Supervisor]_discogs,Mixed By [Assistant]_discogs,Edited By_discogs,Recorded By [Instruments]_discogs,Recorded By [Vocals]_discogs,Vocals [Duet]_discogs,Featuring [Vocals]_discogs,Acoustic Guitar_discogs,Double Bass_discogs,Mandolin_discogs,Arranged By [Brass]_discogs,Trumpet_discogs,Edited By [Drums]_discogs,Piano [Jazz]_discogs,Accordion_discogs,Mixed By [Vocals]_discogs,Organ [Hammond]_discogs,Recorded By [Hammond Organ]_discogs,Arranged By [Strings]_discogs,Drums [Asma Davul]_discogs,Other [Duduk]_discogs,Strings_discogs,Chorus_discogs,Orchestrated By [Brass]_discogs,Orchestrated By [Strings]_discogs,Cello_discogs,Violin_discogs,Mixed By [Instruments]_discogs,Supervised By [Sound]_discogs,Co-producer_discogs,Vocals [Guest]_discogs,Trombone_discogs,Harmonica_discogs,Guitar [Pedal Steel]_discogs,Synthesizer_discogs,Electric Guitar_discogs,Programmed By [Keyboards_discogs,Additional]_discogs,Bass Guitar_discogs,Engineer [Pre-production]_discogs,Album_year_title_discogs,All_albums_discogs
Nina Badrić,Nina Badrić,Riding On A Meteorite (Earth Mix),3:57,Riding On A Meteorite,1997.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997.0-Riding On A Meteorite,1997.0-Riding On A Meteorite
Nina Badrić,Nina Badrić,Budi Tu,3:39,Personality,,,Yvonne Yanney,Gordan Halajkijević,Ilan Kabiljo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Personality,nan-Personality/nan-Live/nan-Collection/nan-The Best Of Nina/nan-Platinum Collection/2013.0-Komplet 4 CDa
Nina Badrić,Nina Badrić,Daleko Od Tebe,4:19,Personality,,,,,Igor Geržina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Personality,nan-Personality/nan-Live
Nina Badrić,Nina Badrić,I'm So Excited,3:50,Personality,,Trevor Lawrence,Miss Fis,Željko Banić Bane,,Boytronic (3),Boytronic (3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Personality,nan-Personality/nan-Me/nan-Collection/nan-The Best Of Nina/nan-Ljubav Za Ljubav/nan-Ljubav Za Ljubav/nan-Platinum Collection/2013.0-Komplet 4 CDa
Nina Badrić,Nina Badrić,Pusti Me Da Živim,4:00,Personality,,,Vladimir Pavelić,,Boytronic (3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Personality,nan-Personality
Nina Badrić,Nina Badrić,Ako Odeš Ti,3:58,Personality,,,Vladimir Pavelić,,Boytronic (3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Personality,nan-Personality/nan-Live/nan-Ljubav Za Ljubav/nan-Ljubav Za Ljubav
Nina Badrić,Nina Badrić,Ja Za Ljubav Neću Moliti,4:35,Personality,,,,Davor Ferenčić-Malvazija,Ilan Kabiljo,,,Ilan Kabiljo,Davorin Ilić,Davorin Ilić,Davorin Ilić,Igor Geržina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Personality,nan-Personality/nan-Live/nan-Collection/nan-The Best Of Nina/nan-Ljubav Za Ljubav/nan-Ljubav Za Ljubav/nan-Platinum Collection/nan-Untitled/2013.0-Komplet 4 CDa
Nina Badrić,Nina Badrić,Bolja Od Najbolje,5:03,Personality,,,,,Predrag Martinjak,Phill La Shill,Phill La Shill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Personality,nan-Personality
Nina Badrić,Nina Badrić,Ako Pogledaš U Mene,4:15,Personality,,,Yvonne Yanney,Gordan Halajkijević,Igor Geržina,Phill La Shill,Phill La Shill,,,,,,Igor Geržina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Personality,nan-Personality/nan-Live
Nina Badrić,Nina Badrić,Trebam Te,4:48,Personality,,,Miss Fis,,Boytronic (3),,,,,,,Igor Geržina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Personality,nan-Personality/nan-Live/nan-Collection/nan-The Best Of Nina/nan-Ljubav Za Ljubav/nan-Ljubav Za Ljubav/nan-Untitled
Nina Badrić,Nina Badrić,Ostani,4:06,Personality,,,,,Srđan Kurpjel,,,,,,,,Srđan Kurpjel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Personality,nan-Personality
Nina Badrić,Nina Badrić,Ja Za Ljubav Neću Moliti (Lady Rea Remix By Dus),6:10,Personality,,,,,,,,,,,,,,Zvonimir Dusper,Zvonimir Dusper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Personality,nan-Personality
Nina Badrić,Nina Badrić,I'm So Excited (Ice Pick Mix),3:50,Personality,,,,,,,,,,,,,,,Boytronic (3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Personality,nan-Personality
Nina Badrić,Nina Badrić,Ako Odeš Ti (Instrumental),3:58,Personality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Personality,nan-Personality
Nina Badrić,Nina Badrić,Još I Sad,,Još I Sad,1998.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1998.0-Još I Sad,1998.0-Još I Sad/nan-Unique/nan-Collection/nan-The Best Of Nina/nan-Ljubav Za Ljubav/nan-Ljubav Za Ljubav/nan-Platinum Collection/2013.0-Komplet 4 CDa
Nina Badrić,Nina Badrić,I'm So Excited (NYC RnB Mix),3:20,I'm So Excited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-I'm So Excited,nan-I'm So Excited
Nina Badrić,Nina Badrić,I'm So Excited (Exciting House Mix),3:21,I'm So Excited,,,,,,,,,,,,,,Adonis,,Z. Dosper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-I'm So Excited,nan-I'm So Excited
Nina Badrić,Nina Badrić,I'm So Excited (London Clip Version),3:40,I'm So Excited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-I'm So Excited,nan-I'm So Excited
Nina Badrić,Nina Badrić,Wanna Love You Baby (Columbia Mix),3:35,I'm So Excited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-I'm So Excited,nan-I'm So Excited
Nina Badrić,Nina Badrić,Diamonds Are Forever,3:55,Diamonds Are Forever,1999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999.0-Diamonds Are Forever,1999.0-Diamonds Are Forever
Nina Badrić,Nina Badrić,Time After Time (Daddy B. Mix),,Me,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Me,nan-Me
Nina Badrić,Nina Badrić,Gimme Sunshine / Bandtitos Bonitos Feat. Nina,,Me,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Me,nan-Me
Nina Badrić,Nina Badrić,Gimme Gimme Gimme,,Me,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Me,nan-Me
