Song_ID,Artist,Artist_diskografija,Song_tekstovinet,Views_tekstovinet,Lyrics_tekstovinet,Url_tekstovinet,Writer_lyricstranslate,Song_lyricstranslate,EngTitle_lyricstranslate,Album_lyricstranslate,Lyrics_lyricstranslate,EngLyrics_lyricstranslate,Url_lyricstranslate
CDOhygHn_1_58,Najbolji Hrvatski Tamburaši,Najbolji Hrvatski Tamburaši,Jedan stari kontrabas,5616,"Jedan stari kontrabas
izgubio dobar glas
obis'o je sve kavane
sve bircuze i mejane
lutao je svud po svijetu
i po kisi, i po snijegu
veselio mnoge snase
kartarose i birtase
 
Svirali ga begesari
nekad mladi, nekad stari
sipali su u njeg' vina
spricer piva i rakije
a beges k'o svaki beges
samo svira i tuguje

Ali jedan lipi sokac
crni Mata iz Stitara
uz'o beges pod svoj ajer
naglanc'o ga k'o fijaker
skinuo mu staru zicu
promijenio kobilicu
naglanc'o mu sve civije
pa se beges samo smije

I sad Mata cuva beges
miluje ga k'o djevojku
jos kad netko sale radi
mlatne banku ili stotku
pa da vidis moj djerdane
svira beges dok ne svane
","https://tekstovi.net/2,610,7482.html",,,,,,,
CDOhygHn_1_59,Najbolji Hrvatski Tamburaši,Najbolji Hrvatski Tamburaši,Jednom,6443,"Jednom kad bez rijeci krenes dalje
jer ti zivot novu stranu pise
vjeruj makar umro ja od tuge
tebe necu trazit' nikad vise

Pustit' tad cu tugu neka brise
sve sto ikad bilo nam je vazno
tragove kad isperu nam kise
znat' cu da si ljubila me lazno
 
Ref.
Jucer jos sam volio te ludo
danas mi smo jedno drugom stranci
ako ljubav veze cvrsto, dugo
nas jos vezu samo tuge lanci

Kako li smo voljeli se njezno
danas mi smo jedno drugom stranci
ako ljubav veze cvrsto, dugo
nas jos vezu samo tuge lanci

Tvoje oci novim sjajem sjaje
tvoje srce ne sjeca se vise
zivot sad ti novu snagu daje
meni samo ostale su kise

Kreni sada, odlazi od mene
kreni ako ne volis me vise
znaj na mome licu sjene sjajne
nisu suze, to su kapi kise

Ref.","https://tekstovi.net/2,610,18193.html",,,,,,,
CDOhygHn_1_60,Najbolji Hrvatski Tamburaši,Najbolji Hrvatski Tamburaši,Jesam li u Vukovaru,8147,"Moj dom na pragu srca
a srce na kraju grada
tamo je ona kuca
sto povratku mom se nada

Ref.
Jesam li u Vukovaru
il' Dunav kroz Zagreb tece
i gdje svoju casu tuge
ispijam svaku vece
 
Moj dom na pragu duse
a dusa tone od tuge
ja samo povratak sanjam
i nemam snove druge

Ref.

Moj dom na pragu nade
a nada na kraju svijeta
onaj tko tu ne spada
samome sebi smeta

Ref.
","https://tekstovi.net/2,610,7432.html",,,,,,,
CDOhygHn_1_61,Najbolji Hrvatski Tamburaši,Najbolji Hrvatski Tamburaši,"Jesen stize, dunjo moja",27947,"Jesen stize, dunjo moja
ne mirise vise cvice
zumbul, lale, jorgovani

Pa i ti me iznevjeri, dunjo moja
otisla si, slavuj suti, lisce zuti
 
S cvijetnih grana lisce pade
s njime ode moja ljubav
moja mladost, moje nade

Ti mi ode, ljeto prodje, nesta cvijeca
otisla si, slavuj suti, lisce zuti

Da li znas bar kako patim
kad se sjetim jorgovana
ljubicica i jasmina","https://tekstovi.net/2,610,11656.html",,,,,,,
CDOhygHn_1_62,Najbolji Hrvatski Tamburaši,Najbolji Hrvatski Tamburaši,Joj Anice,20278,"Kisa pada, kisa pada
mutna voda tece
eno Ane, eno Ane
po selu se sece

Ref.
Joj Ano, joj Anice
ne na kisu, ne na kisu
bez kabanice
 
Kisa pada, kisa pada
skoro tjedan cijel
eno Ane, eno Ane,
novo platno bijeli

Ref.

Kisa pada, kisa pada
kisnu kola nova
eno Ane, eno Ane
ide iz svatova

Ref.
","https://tekstovi.net/2,610,6934.html",,,,,,,
CDOhygHn_1_63,Najbolji Hrvatski Tamburaši,Najbolji Hrvatski Tamburaši,Jos Hrvatska ni propala,11658,"Jos Hrvatska ni propala dok mi zivimo
ona nam je zivot dala, mi ju volimo

Ref.
Hura, nek se ori
za svoj rod se Hrvat bori
hura, sad se cuje
Hrvatskom odjekuje

Jos Hrvatska ni propala dok mi zivimo
ona nam je zivot dala, mi ju branimo

Ref.
","https://tekstovi.net/2,610,10644.html",,,,,,,
CDOhygHn_1_64,Najbolji Hrvatski Tamburaši,Najbolji Hrvatski Tamburaši,Jure ova kola nasa,4010,"Sad nas nece, sad nas hoce
guraju nas, pa nas koce
pa nas hvale, pa nas kude
prastaju nam, pa nam sude

Oni okom, a mi skokom
pa im dobro, pa im nije
u glibu smo mi dubokom
ko tu placa, ko tu pije
 
Ref. 2x
Jure ova kola nasa
preko Uvratina i Vagasa
jadna ova lijepa nasa
di ce stic' bez kocijasa

U Evropi med i mlijeko
ne znam ljudi sta bi' rek'o
ko tu vaze, ko tu mjeri
ima tamo puno zvijeri

Puno riba u kanalu
a velika jede malu
kaze narod u pravu je
sit gladnome ne vjeruje

Ref. 2x","https://tekstovi.net/2,610,18359.html",,,,,,,
CDOhygHn_1_65,Najbolji Hrvatski Tamburaši,Najbolji Hrvatski Tamburaši,Kad je Stjepan Radic umirao,5572,"U tisucu devetoj stotini
u dvadeset i osmoj godini
jednog jutra usred Beograda
puno tuge i jos vise jada

U Skupstini pistolj opalio
Stjepana i Pavla pogodio
Hrvatska je majka zaplakala
braca Radic za Hrvatsku pala

Kad je Stjepan Radic umirao
Hrvatsku je bracu dozivao
oj, Hrvati, braco, moja mila
nasa majka Hrvatska je ziva","https://tekstovi.net/2,610,35154.html",,,,,,,
CDOhygHn_1_66,Najbolji Hrvatski Tamburaši,Najbolji Hrvatski Tamburaši,Kad me jednom krene karta,5813,"Od kako me majka rodila
cesta me zivotom vodila
umjesto skole, slavonske lole
zanat me ucile

Nisam puno toga citao
nisam stig'o jer sam skitao
trikove stare, za sitne pare
sam prodavao
 
Ref.
Kad me jednom krene karta
kupit' cu konjica dva
bijeloga djevojcici
a sebi garava
al' me karta nesto nece
zadnji mi oteli gros
dat' ce dva djevojcica
da probam jednom jos

Stagljevi me nocu skrivali
jutrom potoci umivali
svuda sam pros'o, nikuda dos'o
to ti je nemirna krv

Ref. 2x

Dat' ce dva djevojcica
da probam jednom jos","https://tekstovi.net/2,610,12473.html",,,,,,,
CDOhygHn_1_67,Najbolji Hrvatski Tamburaši,Najbolji Hrvatski Tamburaši,Kada zora ravnicu obasja,4146,"Zarasle su staze kud smo
nekad prolazili
sto smo puta njima kuci
kradom dolazili

Ref.
Tambure nas prate
gledamo u klasja
i ti dodjes kada zora
ravnicu obasja
 
Zajedno smo uvijek bili
i lutali svijetom
kitili nas bijeli svati
i cure sa cvijetom

Ref. 2x

Sve godine sto su prosle
bas zbog tebe vrijede
ostale su nase pjesme
slike neka blijede

Ref. 2x","https://tekstovi.net/2,610,29120.html",,,,,,,
