Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Album_title_discogs,Written-By_discogs,Arranged By_discogs,Lyrics By_discogs,Music By_discogs,Strings_discogs,Album_year_discogs,Recorded By_discogs,Producer_discogs,Engineer_discogs,Guitar_discogs,Backing Vocals_discogs,Vocals_discogs,Mixed By_discogs,Brass_discogs,Harp_discogs,Keyboards_discogs,Bass_discogs,Bagpipes_discogs,Drums_discogs,Interviewee_discogs,Interviewer_discogs,Album_year_title_discogs,All_albums_discogs
Bijelo Dugme,Bijelo Dugme,"Da Mi Je Znati, Koji Joj Je Vrag",,"Da Mi Je Znati, Koji Joj Je Vrag / Blues Za Moju Bivšu Dragu",,,,,,,,,,,,,,,,,,,,,,"nan-Da Mi Je Znati, Koji Joj Je Vrag / Blues Za Moju Bivšu Dragu","nan-Da Mi Je Znati, Koji Joj Je Vrag / Blues Za Moju Bivšu Dragu"
Bijelo Dugme,Bijelo Dugme,Химна Листа Здраво,,Химна Листа Здраво,,,,,,1976.0,,,,,,,,,,,,,,,,1976.0-Химна Листа Здраво,1976.0-Химна Листа Здраво
Bijelo Dugme,Bijelo Dugme,Eto! Baš Hoću!,3:53,Eto! Baš Hoću!,,,,,,,Jon Kelly,,,,,,,,,,,,,,,nan-Eto! Baš Hoću!,"nan-Eto! Baš Hoću!/nan-Eto! Baš Hoću!/nan-Singl Ploče (1976 - 1980)/nan-Bijelo Dugme/nan-Singlice 1974-1980/2004.0-10 Albuma/2004.0-10 Albuma/2004.0-10 Albuma/2004.0-10 Albuma/nan-'Ajmo Curice, 'Ajmo Dječaci!/nan-Prvih Šest Studijskih Albuma/nan-Prvih Šest Studijskih Albuma/nan-Rock 'N' Roll Hitovi/nan-Box Set Deluxe/nan-Box Set Deluxe/nan-Box Set Deluxe 14.11.14 Sampler"
Bijelo Dugme,Bijelo Dugme,Džambo,,Džambo / Vatra,,,,,,,,,,,,,,,,,,,,,,nan-Džambo / Vatra,nan-Džambo / Vatra/nan-Singlice 1974-1980/2004.0-10 Albuma
Bijelo Dugme,Bijelo Dugme,Vatra,,Džambo / Vatra,,,,,,,,,,,,,,,,,,,,,,nan-Džambo / Vatra,nan-Džambo / Vatra/nan-Singlice 1974-1980/2004.0-10 Albuma
Bijelo Dugme,Bijelo Dugme,Milovan,,Milovan,,,,,,,,,,,,,,,,,,,,,,nan-Milovan,nan-Milovan/nan-Singl Ploče (1976 - 1980)/nan-Singlice 1974-1980/2004.0-10 Albuma/2022.0-Singl ploče (1974. - 1980.)
Bijelo Dugme,Bijelo Dugme,"Goodbye, Amerika",,Milovan,,,,,,,,,,,,,,,,,,,,,,nan-Milovan,nan-Milovan
Bijelo Dugme,Bijelo Dugme,Izgledala Je Malo Čudno U Kaputu Žutom Krojenom Bez Veze,,Eto! Baš Hoću!,,,,,,,,,,,,,,,,,,,,,,nan-Eto! Baš Hoću!,"nan-Eto! Baš Hoću!/nan-5. April '81./nan-Bijelo Dugme 2/2004.0-10 Albuma/2004.0-10 Albuma/nan-'Ajmo Curice, 'Ajmo Dječaci!/nan-Prvih Šest Studijskih Albuma/nan-The Ultimate Collection"
Bijelo Dugme,Bijelo Dugme,Loše Vino,,Eto! Baš Hoću!,,,Arsen Dedić,,,,,,,,,,,,,,,,,,,nan-Eto! Baš Hoću!,"nan-Eto! Baš Hoću!/nan-Sanjao Sam Noćas Da Te Nemam (Velike Rock Balade)/nan-Bijelo Dugme 2/2004.0-10 Albuma/2004.0-10 Albuma/2005.0-Antologija 1 ('75 - '83)/nan-'Ajmo Curice, 'Ajmo Dječaci!/nan-Prvih Šest Studijskih Albuma/nan-Antologija - 18 Najvećih Hitova/nan-Najlepše Balade - 17 Nezaboravnih Balada/nan-Turneja 2005 Sarajevo Zagreb Beograd/nan-The Ultimate Collection/2010.0-Najljepše Ljubavne Pjesme/nan-Box Set Deluxe/2016.0-40"
Bijelo Dugme,Bijelo Dugme,"Dede Bona, Sjeti Se, De, Tako Ti Svega",,Eto! Baš Hoću!,,,,,,,,,,,,,,,,,,,,,,nan-Eto! Baš Hoću!,nan-Eto! Baš Hoću!/2004.0-10 Albuma/nan-Prvih Šest Studijskih Albuma
Bijelo Dugme,Bijelo Dugme,Slatko Li Je Ljubit Tajno,,Eto! Baš Hoću!,,,,,,,,,,,,,,,,,,,,,,nan-Eto! Baš Hoću!,nan-Eto! Baš Hoću!/nan-Rock & Roll/2004.0-10 Albuma/nan-Prvih Šest Studijskih Albuma/2010.0-Najljepše Ljubavne Pjesme/nan-Box Set Deluxe
Bijelo Dugme,Bijelo Dugme,Ništa Mudro,,Eto! Baš Hoću!,,,,,,,,,,,,,,,,,,,,,,nan-Eto! Baš Hoću!,nan-Eto! Baš Hoću!/2004.0-10 Albuma/2004.0-10 Albuma/nan-Prvih Šest Studijskih Albuma/nan-Box Set Deluxe
Bijelo Dugme,Bijelo Dugme,Ne Dese Se Takve Stvari Pravome Muškarcu,,Eto! Baš Hoću!,,,,,,,,,,,,,,,,,,,,,,nan-Eto! Baš Hoću!,nan-Eto! Baš Hoću!/nan-5. April '81./2004.0-10 Albuma/2004.0-10 Albuma/nan-Prvih Šest Studijskih Albuma/nan-The Ultimate Collection/2014.0-Bijelo Dugme/nan-Box Set Deluxe
Bijelo Dugme,Bijelo Dugme,Sanjao Sam Noćas Da Te Nemam,,Eto! Baš Hoću!,,,,,,,,,,,,,,,,,,,,,,nan-Eto! Baš Hoću!,"nan-Eto! Baš Hoću!/nan-Sanjao Sam Noćas Da Te Nemam (Velike Rock Balade)/nan-Mramor Kamen I Željezo (Bijelo Dugme UŽivo)/nan-Hitovi 3/2004.0-10 Albuma/2004.0-10 Albuma/2004.0-10 Albuma/2004.0-1974 - 2004/nan-'Ajmo Curice, 'Ajmo Dječaci!/nan-Prvih Šest Studijskih Albuma/nan-Antologija - 18 Najvećih Hitova/nan-Najlepše Balade - 17 Nezaboravnih Balada/nan-Turneja 2005 Sarajevo Zagreb Beograd/2010.0-Najljepše Ljubavne Pjesme/nan-Box Set Deluxe/2016.0-40/0.0-Hitovi 3"
Bijelo Dugme,Bijelo Dugme,"Tako Ti Je, Mala Moja, Kad Ljubi Bosanac",,Iz Sve Snage,,,,,,,,,,,,,,,,,,,,,,nan-Iz Sve Snage,nan-Iz Sve Snage/2004.0-10 Albuma/2005.0-Antologija 1 ('75 - '83)/2005.0-Antologija 1 ('75 - '83)/2005.0-Antologija 1 ('75 - '83)/2016.0-40
Bijelo Dugme,Bijelo Dugme,"Ne Spavaj, Mala Moja, Muzika Dok Svira",,Iz Sve Snage,,,,,,,,,,,,,,,,,,,,,,nan-Iz Sve Snage,nan-Iz Sve Snage/2004.0-10 Albuma/2005.0-Antologija 1 ('75 - '83)/2016.0-40
Bijelo Dugme,Bijelo Dugme,"Bekrija Si, Cijelo Selo Viče, E Pa Jesam, Šta Se Koga Tiče",,Iz Sve Snage,,,,,,,,,,,,,,,,,,,,,,nan-Iz Sve Snage,nan-Iz Sve Snage
Bijelo Dugme,Bijelo Dugme,"Sve Ću Da Ti Dam, Samo Da Zaigram",,Iz Sve Snage,,,,,,,,,,,,,,,,,,,,,,nan-Iz Sve Snage,nan-Iz Sve Snage/2004.0-10 Albuma
Bijelo Dugme,Bijelo Dugme,Hop - Cup,,Iz Sve Snage,,,,,,,,,,,,,,,,,,,,,,nan-Iz Sve Snage,nan-Iz Sve Snage/nan-Box Set Deluxe
Bijelo Dugme,Bijelo Dugme,Da Mi Je Znati Koji Joj Je Vrag,,Iz Sve Snage,,,,,,,,,,,,,,,,,,,,,,nan-Iz Sve Snage,nan-Iz Sve Snage/nan-Singl Ploče (1974-1975)/nan-Singlice 1974-1980/2004.0-10 Albuma/nan-Rock 'N' Roll Hitovi
Bijelo Dugme,Bijelo Dugme,Nissta Mudro,,Koncert Kod Hajduccke Ccesme,,,,,,,,,,,,,,,,,,,,,,nan-Koncert Kod Hajduccke Ccesme,nan-Koncert Kod Hajduccke Ccesme
Bijelo Dugme,Bijelo Dugme,Blues Za Moju Bivssu Dragu,,Koncert Kod Hajduccke Ccesme,,,,,,,,,,,,,,,,,,,,,,nan-Koncert Kod Hajduccke Ccesme,nan-Koncert Kod Hajduccke Ccesme
Bijelo Dugme,Bijelo Dugme,"Sve Ccu Da Ti Dam, Samo Da Zaigram",,Koncert Kod Hajduccke Ccesme,,,,,,,,,,,,,,,,,,,,,,nan-Koncert Kod Hajduccke Ccesme,nan-Koncert Kod Hajduccke Ccesme
Bijelo Dugme,Bijelo Dugme,"Tako Ti Je Mala Moja, Kad Ljubi Bosanac",,Koncert Kod Hajduccke Ccesme,,,,,,,,,,,,,,,,,,,,,,nan-Koncert Kod Hajduccke Ccesme,nan-Koncert Kod Hajduccke Ccesme
Bijelo Dugme,Bijelo Dugme,"Ne Spavaj Mala Moja, Muzika Dok Svira",,Koncert Kod Hajduccke Ccesme,,,,,,,,,,,,,,,,,,,,,,nan-Koncert Kod Hajduccke Ccesme,nan-Koncert Kod Hajduccke Ccesme
Bijelo Dugme,Bijelo Dugme,"Eto, Bass Hoccu",,Koncert Kod Hajduccke Ccesme,,,,,,,,,,,,,,,,,,,,,,nan-Koncert Kod Hajduccke Ccesme,nan-Koncert Kod Hajduccke Ccesme
Bijelo Dugme,Bijelo Dugme,Bitanga I Princeza,,Bitanga I Princeza,,,,,,1979.0,,Neil Harrison,,,,,,,,,,,,,,1979.0-Bitanga I Princeza,"1979.0-Bitanga I Princeza/nan-Bitanga I Princeza/nan-5. April '81./nan-Singl Ploče (1976 - 1980)/nan-Rock & Roll/nan-Bijelo Dugme/nan-Singlice 1974-1980/2004.0-10 Albuma/2004.0-10 Albuma/2004.0-10 Albuma/2004.0-10 Albuma/nan-'Ajmo Curice, 'Ajmo Dječaci!/nan-Prvih Šest Studijskih Albuma/nan-Prvih Šest Studijskih Albuma/nan-Antologija - 18 Najvećih Hitova/nan-The Ultimate Collection/2010.0-Najljepše Ljubavne Pjesme/nan-Rock 'N' Roll Hitovi/2014.0-Bijelo Dugme/nan-Box Set Deluxe/nan-Box Set Deluxe/nan-Box Set Deluxe 14.11.14 Sampler/0.0-..Kad Smo Bili/0.0-The best of volume 2 "
Bijelo Dugme,Bijelo Dugme,"Dede Bona, Sjeti Se, Tako Ti Svega",,Bitanga I Princeza,,,,,,1979.0,,Zoran Redžić,,,,,,,,,,,,,,1979.0-Bitanga I Princeza,1979.0-Bitanga I Princeza
Bijelo Dugme,Bijelo Dugme,Ala Je Glupo Zaboravit Njen Broj,,Bitanga I Princeza,,,,,,,,,,,,,,,,,,,,,,nan-Bitanga I Princeza,nan-Bitanga I Princeza/nan-Rock & Roll/nan-The Ultimate Collection/nan-Box Set Deluxe/0.0-..Kad Smo Bili
Bijelo Dugme,Bijelo Dugme,"Ipak, Poželim Neko Pismo",,Bitanga I Princeza,,,,,,,,,,,,,,,,,,,,,,nan-Bitanga I Princeza,"nan-Bitanga I Princeza/nan-5. April '81./2004.0-10 Albuma/2004.0-10 Albuma/nan-'Ajmo Curice, 'Ajmo Dječaci!/nan-Prvih Šest Studijskih Albuma/nan-Antologija - 18 Najvećih Hitova/nan-Turneja 2005 Sarajevo Zagreb Beograd/2010.0-Najljepše Ljubavne Pjesme/nan-Box Set Deluxe/2016.0-40"
Bijelo Dugme,Bijelo Dugme,Kad Zaboraviš Juli,,Bitanga I Princeza,,Vojkan Borisavljević,,,,,,,,,,,,,,,,,,,,nan-Bitanga I Princeza,nan-Bitanga I Princeza/nan-Sanjao Sam Noćas Da Te Nemam (Velike Rock Balade)/nan-Hitovi 3/nan-Bijelo Dugme 2/2004.0-10 Albuma/2004.0-10 Albuma/nan-Prvih Šest Studijskih Albuma/nan-Antologija - 18 Najvećih Hitova/nan-Najlepše Balade - 17 Nezaboravnih Balada/nan-The Ultimate Collection/2010.0-Najljepše Ljubavne Pjesme/nan-Box Set Deluxe/0.0-Hitovi 3
