Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Lyrics By_discogs,Album_title_discogs,Album_year_discogs,Arranged By_discogs,Music By_discogs,Written-By_discogs,Written By_discogs,Composed By_discogs,Text By_discogs,Featuring_discogs,Guest_discogs,Vocals_discogs,Album_year_title_discogs,All_albums_discogs
Mate Bulić,Mato Bulić,Puni Vjetre,,,Hrvatske Narodne Pjesme 1,,,,,,,,,,,nan-Hrvatske Narodne Pjesme 1,nan-Hrvatske Narodne Pjesme 1
Mate Bulić,Mato Bulić,Djevojka Je Zelen Bor Sadila,,,Hrvatske Narodne Pjesme 1,,,,,,,,,,,nan-Hrvatske Narodne Pjesme 1,nan-Hrvatske Narodne Pjesme 1
Mate Bulić,Mato Bulić,Sedamdeset I Dva Dana,,,Hrvatske Narodne Pjesme 1,,,,,,,,,,,nan-Hrvatske Narodne Pjesme 1,nan-Hrvatske Narodne Pjesme 1
Mate Bulić,Mato Bulić,Siroče Sam,,,Hrvatske Narodne Pjesme 1,,,,,,,,,,,nan-Hrvatske Narodne Pjesme 1,nan-Hrvatske Narodne Pjesme 1
Mate Bulić,Mato Bulić,Jednoga Jutra Čim Stigoh Doma,,,Hrvatske Narodne Pjesme 1,,,,,,,,,,,nan-Hrvatske Narodne Pjesme 1,nan-Hrvatske Narodne Pjesme 1
Mate Bulić,Mato Bulić,Daj Ne Čekaj,3:33,,Pjevajte Sa Mnom,1999.0,,,,,Z. Frljić,Z. Frljić,,,,1999.0-Pjevajte Sa Mnom,1999.0-Pjevajte Sa Mnom/2003.0-Anthology - Najveći Hitovi
Mate Bulić,Mato Bulić,Bil' Ti Meni Mala,3:13,,Pjevajte Sa Mnom,1999.0,,,,,Bruno Kovačić,Bruno Kovačić,,,,1999.0-Pjevajte Sa Mnom,1999.0-Pjevajte Sa Mnom/2013.0-Zlatna Kolekcija
Mate Bulić,Mato Bulić,Boli Glava,2:39,,Pjevajte Sa Mnom,1999.0,,,,,Siniša Vuco,Siniša Vuco,,,,1999.0-Pjevajte Sa Mnom,1999.0-Pjevajte Sa Mnom/2013.0-Zlatna Kolekcija
Mate Bulić,Mato Bulić,Platio Sam Do Zore Svirače,3:32,,Pjevajte Sa Mnom,1999.0,,,,,Vladimir Blagec,Ivo Mrvelj Fabijan,,,,1999.0-Pjevajte Sa Mnom,1999.0-Pjevajte Sa Mnom/2013.0-Zlatna Kolekcija
Mate Bulić,Mato Bulić,Pjevajte Sa Mnom,3:21,,Pjevajte Sa Mnom,1999.0,Bratislav Zlatanović,,,,Dražen Zečić,Dražen Zečić,,,,1999.0-Pjevajte Sa Mnom,1999.0-Pjevajte Sa Mnom/2003.0-Anthology - Najveći Hitovi/2013.0-Zlatna Kolekcija
