Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Album_title_discogs,Album_year_discogs,Piano_discogs,Producer_discogs,Panpipes [Sikus]_discogs,Remix_discogs,Arranged By_discogs,Lyrics By [Co-written]_discogs,Lyrics By_discogs,Music By_discogs,Voice [Dracula]_discogs,DJ Mix_discogs,Guitar_discogs,Featuring_discogs,Vocals [Duet With]_discogs,Engineer_discogs,Instruments [Additional]_discogs,Vocals [French]_discogs,Featuring [Rap]_discogs,Backing Vocals_discogs,Tamburitza [Brač_discogs,Bugarija_discogs,Prim]_discogs,Arranged By [Tambura]_discogs,Vocals_discogs,Saxophone_discogs,Guest_discogs,Album_year_title_discogs,All_albums_discogs
Colonia,Colonia,Ti (Dee Jay Time Club Remix),3:43,Ritam Ljubavi,,,Dee Jay Time,,Dee Jay Time,Jure Havlicek,,,,,,,,,,,,,,,,,,,,,nan-Ritam Ljubavi,nan-Ritam Ljubavi
Colonia,Colonia,Dok Je Tebe I Ljubavi (Eurobeat Remix),3:21,Ritam Ljubavi,,,Damir K. Rogina,,,Damir K. Rogina,,,,,,,,,,,,,,,,,,,,,nan-Ritam Ljubavi,nan-Ritam Ljubavi
Colonia,Colonia,Sve Oko Mene Je Grijeh (Neno DJ Remix),6:33,Ritam Ljubavi,,,Neno DJ,,Neno DJ,Neno DJ,,,,,,,,,,,,,,,,,,,,,nan-Ritam Ljubavi,nan-Ritam Ljubavi
Colonia,Colonia,Dok Je Tebe I Ljubavi ( Video Edit ),3:25,Dok Je Tebe I Ljubavi,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,2000.0-Dok Je Tebe I Ljubavi,2000.0-Dok Je Tebe I Ljubavi
Colonia,Colonia,Dok Je Tebe I Ljubavi ( Album Edit ),3:11,Dok Je Tebe I Ljubavi,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,2000.0-Dok Je Tebe I Ljubavi,2000.0-Dok Je Tebe I Ljubavi
Colonia,Colonia,Dok Je Tebe I Ljubavi ( Unrealesed Ext.Mix ),4:10,Dok Je Tebe I Ljubavi,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,2000.0-Dok Je Tebe I Ljubavi,2000.0-Dok Je Tebe I Ljubavi
Colonia,Colonia,Dok Je Tebe I Ljubavi ( Eurobeat Remix By Jd Babe ),3:23,Dok Je Tebe I Ljubavi,2000.0,,,,Jd Babe,,,,,,,,,,,,,,,,,,,,,,2000.0-Dok Je Tebe I Ljubavi,2000.0-Dok Je Tebe I Ljubavi
Colonia,Colonia,Megamix (D.J. Damir Rukavina),3:13,Dok Je Tebe I Ljubavi,2000.0,,,,D.J. Damir Rukavina,,,,,,D.J. Damir Rukavina,,,,,,,,,,,,,,,,2000.0-Dok Je Tebe I Ljubavi,2000.0-Dok Je Tebe I Ljubavi
Colonia,Colonia,Ti Da Bu Di Bu Da (Album Version),3:41,Ti Da Bu Di Bu Da,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,2000.0-Ti Da Bu Di Bu Da,2000.0-Ti Da Bu Di Bu Da
Colonia,Colonia,Ti Da Bu Di Bu Da (Karma Vs Neno DJ Remix),4:01,Ti Da Bu Di Bu Da,2000.0,,,,Neno DJ,,,,,,,,,,,,,,,,,,,,,,2000.0-Ti Da Bu Di Bu Da,2000.0-Ti Da Bu Di Bu Da
Colonia,Colonia,Ti Da Bu Di Bu Da (Goblin Extended Remix),4:37,Ti Da Bu Di Bu Da,2000.0,,,,Goblin (19),,,,,,,,,,,,,,,,,,,,,,2000.0-Ti Da Bu Di Bu Da,2000.0-Ti Da Bu Di Bu Da
Colonia,Colonia,Ti Da Bu Di Bu Da (Album Extended Version),4:53,Ti Da Bu Di Bu Da,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,2000.0-Ti Da Bu Di Bu Da,2000.0-Ti Da Bu Di Bu Da
Colonia,Colonia,Ti Da Bu Di Bu Da (Goblin Radio Remix),3:52,Ti Da Bu Di Bu Da,2000.0,,,,Goblin (19),,,,,,,,,,,,,,,,,,,,,,2000.0-Ti Da Bu Di Bu Da,2000.0-Ti Da Bu Di Bu Da
Colonia,Colonia,Božićna Noć (Goblin 2000 Remix),3:58,Ti Da Bu Di Bu Da,2000.0,,,,Goblin (19),,,,,,,,,,,,,,,,,,,,,,2000.0-Ti Da Bu Di Bu Da,2000.0-Ti Da Bu Di Bu Da
Colonia,Colonia,Božićni Jingle,0:22,Ti Da Bu Di Bu Da,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,2000.0-Ti Da Bu Di Bu Da,2000.0-Ti Da Bu Di Bu Da
Colonia,Colonia,Budi Mi Zbogom (Album Version),4:12,Budi Mi Zbogom,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,2000.0-Budi Mi Zbogom,2000.0-Budi Mi Zbogom
Colonia,Colonia,Budi Mi Zbogom (Radio Mix By Neno D.J.),4:25,Budi Mi Zbogom,2000.0,,,,Neno DJ,,,,,,,,,,,,,,,,,,,,,,2000.0-Budi Mi Zbogom,2000.0-Budi Mi Zbogom
Colonia,Colonia,Budi Mi Zbogom (D.J. Badass Pumpin' Disco Takeover Mix),5:19,Budi Mi Zbogom,2000.0,,,,D.J. Badass,,,,,,,,,,,,,,,,,,,,,,2000.0-Budi Mi Zbogom,2000.0-Budi Mi Zbogom
Colonia,Colonia,Budi Mi Zbogom (Extended Remix By Neno D.J.),7:21,Budi Mi Zbogom,2000.0,,,,Neno DJ,,,,,,,,,,,,,,,,,,,,,,2000.0-Budi Mi Zbogom,2000.0-Budi Mi Zbogom
Colonia,Colonia,Budi Mi Zbogom (D.J. Badass Body&Soul Mix),5:24,Budi Mi Zbogom,2000.0,,,,D.J. Badass,,,,,,,,,,,,,,,,,,,,,,2000.0-Budi Mi Zbogom,2000.0-Budi Mi Zbogom
Colonia,Colonia,Sexy Body,3:33,Jača Nego Ikad,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Jača Nego Ikad,nan-Jača Nego Ikad/2003.0-The Best Of/0.0-The Best Of
Colonia,Colonia,Budi Mi Zbogom,4:09,Jača Nego Ikad,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Jača Nego Ikad,nan-Jača Nego Ikad/nan-The Best Of Volume 1/2003.0-The Best Of/2009.0-Special Dance Edition/nan-Retroactive Early Years/nan-C'est La Vie/0.0-The Best Of
Colonia,Colonia,1001 Noć,4:20,Jača Nego Ikad,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Jača Nego Ikad,nan-Jača Nego Ikad/nan-Oduzimaš Mi Dah (The Best Of...)/2003.0-The Best Of/0.0-The Best Of
Colonia,Colonia,Deja Vu,3:38,Jača Nego Ikad,,,,,,,,,,,,Miro Lesić,,,,,,,,,,,,,,,nan-Jača Nego Ikad,nan-Jača Nego Ikad/nan-Oduzimaš Mi Dah (The Best Of...)/nan-The Best Of Volume 1/2003.0-The Best Of/2005.0-Gold Edition/2009.0-Special Dance Edition/nan-Retroactive Early Years/2011.0-Gold Edition/2013.0-Komplet 4 CDa/nan-C'est La Vie/0.0-The Best Of
