Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Album_title_discogs,Album_year_discogs,Lyrics By [English]_discogs,Piano [Solo]_discogs,Written-By_discogs,Lyrics By_discogs,Arranged By [Co-arranged]_discogs,Music By_discogs,Arranged By_discogs,Producer_discogs,Guitar_discogs,Programmed By_discogs,Keyboards_discogs,Film Director [Video Directed By]_discogs,Featuring_discogs,Vocals [Duet]_discogs,Album_year_title_discogs,All_albums_discogs
Danijela Martinović,Danijela Martinović,Grube Riječi,3:54,Pleši Sa Mnom,,,,,Zlatko Sabolek,,Đorđe Novković,,,,,,,,,nan-Pleši Sa Mnom,nan-Pleši Sa Mnom/2006.0-Zlatna Kolekcija/nan-Pjeva Hitove Đorđa Novkovića - Nek' Živi Ljubav/2010.0-Najljepše Ljubavne Pjesme/2014.0-The Best Of Collection/2016.0-50 Originalnih Pjesama/2020.0-Neopisivo
Danijela Martinović,Danijela Martinović,U Životu Mom,3:35,Pleši Sa Mnom,,,,,Denis Dumančić,,Denis Dumančić,,,,,,,,,nan-Pleši Sa Mnom,nan-Pleši Sa Mnom/2002.0-Gold Collection (Volume 02)/2016.0-50 Originalnih Pjesama
Danijela Martinović,Danijela Martinović,Gladujem,3:17,Pleši Sa Mnom,,,,,Bruno Kovačić,,Ivana Plechinger,,,,,,,,,nan-Pleši Sa Mnom,nan-Pleši Sa Mnom
Danijela Martinović,Danijela Martinović,Rano Je Rano,4:14,Pleši Sa Mnom,,,,,Nenad Ninčević,,Đorđe Novković,,,,,,,,,nan-Pleši Sa Mnom,nan-Pleši Sa Mnom/2016.0-50 Originalnih Pjesama
Danijela Martinović,Danijela Martinović,Virus,3:34,Pleši Sa Mnom,,,,,Alka Vuica,,Petar Grašo,,,,,,,,,nan-Pleši Sa Mnom,nan-Pleši Sa Mnom/2002.0-Gold Collection (Volume 02)/2006.0-Zlatna Kolekcija/2016.0-50 Originalnih Pjesama
Danijela Martinović,Danijela Martinović,Pleši Sa Mnom,3:54,Pleši Sa Mnom,,,,,Zlatan Fazlić,,Zlatan Fazlić,,,,,,,,,nan-Pleši Sa Mnom,nan-Pleši Sa Mnom/2006.0-Zlatna Kolekcija/2006.0-Canta Y Baila Con Danijela/nan-Canta Y Baila Con Danijela/2014.0-The Best Of Collection/2016.0-50 Originalnih Pjesama/2020.0-Neopisivo
Danijela Martinović,Danijela Martinović,"Odavno, Zauvijek",3:49,Pleši Sa Mnom,,,,,Petar Grašo,,Petar Grašo,Remi Kazinoti,Remi Kazinoti,,,,,,,nan-Pleši Sa Mnom,nan-Pleši Sa Mnom/2006.0-Zlatna Kolekcija/2010.0-Najljepše Ljubavne Pjesme/2016.0-50 Originalnih Pjesama
Danijela Martinović,Danijela Martinović,Ovako Ne Mogu Dalje,3:38,Pleši Sa Mnom,,,,,Zlatan Fazlić,,Kemal Monteno,Stipica Kalogjera,Stipica Kalogjera,Vedran Božić,,,,,,nan-Pleši Sa Mnom,nan-Pleši Sa Mnom/2006.0-Zlatna Kolekcija/2010.0-Najljepše Ljubavne Pjesme/2016.0-50 Originalnih Pjesama/2020.0-Neopisivo
Danijela Martinović,Danijela Martinović,Zovem Te Ja,,Najbolje Godine,,,,,,,,,,,,,,,,nan-Najbolje Godine,nan-Najbolje Godine/2006.0-Zlatna Kolekcija/2010.0-Najljepše Ljubavne Pjesme/2014.0-The Best Of Collection/2016.0-50 Originalnih Pjesama/2020.0-Neopisivo
Danijela Martinović,Danijela Martinović,Nemam S Kime Dočekati Zime,,Najbolje Godine,,,,,,,,,,,,,,,,nan-Najbolje Godine,nan-Najbolje Godine/2006.0-Zlatna Kolekcija/2010.0-Najljepše Ljubavne Pjesme/2016.0-50 Originalnih Pjesama/2020.0-Neopisivo
Danijela Martinović,Danijela Martinović,"Godinama, Danima, Satima",,Najbolje Godine,,,,,,,,,,,,,,,,nan-Najbolje Godine,nan-Najbolje Godine
Danijela Martinović,Danijela Martinović,Čekala Sam Kao žena,,Najbolje Godine,,,,,,,,,,,,,,,,nan-Najbolje Godine,nan-Najbolje Godine/nan-Canta Y Baila Con Danijela
Danijela Martinović,Danijela Martinović,Ti Možeš Lagati Svakome,,Najbolje Godine,,,,,,,,,,,,,,,,nan-Najbolje Godine,nan-Najbolje Godine/nan-Canta Y Baila Con Danijela
Danijela Martinović,Danijela Martinović,Razlog,,Najbolje Godine,,,,,,,,,,,,,,,,nan-Najbolje Godine,nan-Najbolje Godine/2006.0-Zlatna Kolekcija/2014.0-The Best Of Collection/2016.0-50 Originalnih Pjesama
Danijela Martinović,Danijela Martinović,Zovem Te Ja - Instrumental,,Najbolje Godine,,,,,,,,,,,,,,,,nan-Najbolje Godine,nan-Najbolje Godine
Danijela Martinović,Danijela Martinović,Sreda,3:47,Gold Collection (Volume 02),2002.0,,,,Ljilja Jorgovanović,,Željko Joksimović,Alek Aleksov,,,,,,,,2002.0-Gold Collection (Volume 02),2002.0-Gold Collection (Volume 02)
Danijela Martinović,Danijela Martinović,Konobarica,3:17,Gold Collection (Volume 02),2002.0,,,,Nikola Grbić,,Miloš Kozić,Kornelije Kovač,,,,,,,,2002.0-Gold Collection (Volume 02),2002.0-Gold Collection (Volume 02)
