Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Album_title_discogs,Lyrics By_discogs,Music By_discogs,Written-By_discogs,Backing Vocals_discogs,Guitar_discogs,Vocals_discogs,Album_year_discogs,Guest_discogs,Violin_discogs,Written By_discogs,Featuring_discogs,Arranged By_discogs,Vocals [Duet]_discogs,Film Director_discogs,Conductor_discogs,Leader_discogs,Orchestra_discogs,Performer_discogs,Acoustic Guitar_discogs,Mandolin_discogs,Bass Guitar_discogs,Electric Guitar_discogs,Keyboards_discogs,Programmed By_discogs,Producer_discogs,Drum_discogs,Recorded By_discogs,Mixed By_discogs,Mastered By_discogs,Clarinet_discogs,Kaval_discogs,Trumpet_discogs,Accordion_discogs,Cello_discogs,Viola_discogs,Album_year_title_discogs,All_albums_discogs
Severina,Severina,Ti Si Moj,4:25,Dalmatinka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Dalmatinka,nan-Dalmatinka/nan-Paloma Nera Uzivo/2010.0-Najljepše Ljubavne Pjesme/nan-50 originalnih pjesama
Severina,Severina,Paloma Nera,3:41,Dalmatinka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Dalmatinka,nan-Dalmatinka/nan-Paloma Nera Uzivo/2002.0-Virujen U Te [Najbolje Uživo!]/nan-18 Velikih Hitova/2006.0-The Platinum Collection/nan-50 originalnih pjesama/nan-The Best Of Collection
Severina,Severina,"Adio, Ljube",3:17,Dalmatinka,,,Zrinko Tutić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Dalmatinka,nan-Dalmatinka/nan-50 originalnih pjesama
Severina,Severina,"Ne Spavaj, Mala Moja",3:29,Dalmatinka,,,Goran Bregović,,Silvio Pasarić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Dalmatinka,nan-Dalmatinka/nan-50 originalnih pjesama
Severina,Severina,Mornarica Mlada,3:11,Dalmatinka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Dalmatinka,nan-Dalmatinka/nan-Paloma Nera Uzivo
Severina,Severina,Čovjek Kojeg Volim,4:14,Dalmatinka,Zlatan Stipišić Gibonni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Dalmatinka,nan-Dalmatinka/2006.0-The Platinum Collection/2010.0-Najljepše Ljubavne Pjesme/nan-50 originalnih pjesama/nan-The Best Of Collection
Severina,Severina,Trava Zelena,,Trava Zelena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Trava Zelena,nan-Trava Zelena/2002.0-Virujen U Te [Najbolje Uživo!]/nan-18 Velikih Hitova/nan-Virujen U Te [Najbolje Uživo!]/2006.0-The Best Of/2006.0-The Platinum Collection/2010.0-Najljepše Ljubavne Pjesme/nan-50 originalnih pjesama/nan-The Best Of Collection
Severina,Severina,Vatra I Led,,Trava Zelena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Trava Zelena,nan-Trava Zelena/2006.0-The Platinum Collection/2013.0-Komplet 4 CDa
Severina,Severina,Ti Si Srce Moje,,Trava Zelena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Trava Zelena,nan-Trava Zelena/nan-18 Velikih Hitova/2006.0-The Best Of/2006.0-The Platinum Collection/2010.0-Najljepše Ljubavne Pjesme/nan-50 originalnih pjesama/nan-The Best Of Collection
Severina,Severina,Mr. Taliman,,Trava Zelena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Trava Zelena,nan-Trava Zelena
Severina,Severina,Bože Moj,,Trava Zelena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Trava Zelena,nan-Trava Zelena/2006.0-The Platinum Collection/2010.0-Najljepše Ljubavne Pjesme/nan-50 originalnih pjesama
Severina,Severina,Bambola,,Trava Zelena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Trava Zelena,nan-Trava Zelena
Severina,Severina,Lude Godine,,Trava Zelena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Trava Zelena,nan-Trava Zelena/nan-50 originalnih pjesama
Severina,Severina,Poželi Me,,Trava Zelena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Trava Zelena,nan-Trava Zelena/2006.0-The Platinum Collection/2010.0-Najljepše Ljubavne Pjesme/nan-50 originalnih pjesama
Severina,Severina,Pruži Mi Ruke,,Trava Zelena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Trava Zelena,nan-Trava Zelena
Severina,Severina,Ludo Moja,,Trava Zelena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Trava Zelena,nan-Trava Zelena/2010.0-Najljepše Ljubavne Pjesme/nan-50 originalnih pjesama
Severina,Severina,Moja Stvar,,Moja Stvar,,,,,,,1996.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1996.0-Moja Stvar,1996.0-Moja Stvar/nan-Moja Stvar/2002.0-Virujen U Te [Najbolje Uživo!]/nan-18 Velikih Hitova/nan-Virujen U Te [Najbolje Uživo!]/2006.0-The Platinum Collection/nan-50 originalnih pjesama
Severina,Severina,Uspavanka,,Moja Stvar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Moja Stvar,nan-Moja Stvar/nan-Moja Stvar
Severina,Severina,Od Rođendana Do Rođendana,,Moja Stvar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Moja Stvar,nan-Moja Stvar/2002.0-Virujen U Te [Najbolje Uživo!]/nan-18 Velikih Hitova/nan-Virujen U Te [Najbolje Uživo!]/2006.0-The Best Of/2006.0-The Platinum Collection/2010.0-Najljepše Ljubavne Pjesme/nan-50 originalnih pjesama
Severina,Severina,...,,Moja Stvar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Moja Stvar,nan-Moja Stvar/nan-Moja Stvar/nan-Moja Stvar/nan-Moja Stvar
Severina,Severina,Spreman Za To,,Moja Stvar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Moja Stvar,nan-Moja Stvar
Severina,Severina,Pomalo,,Moja Stvar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Moja Stvar,nan-Moja Stvar
Severina,Severina,Zime Ljeta Jeseni,,Moja Stvar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Moja Stvar,nan-Moja Stvar
Severina,Severina,Zvijezde Padaju,,Moja Stvar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Moja Stvar,nan-Moja Stvar
Severina,Severina,Budi Happy,,Moja Stvar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Moja Stvar,nan-Moja Stvar
Severina,Severina,Slobodna,,Moja Stvar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Moja Stvar,nan-Moja Stvar/nan-50 originalnih pjesama
Severina,Severina,Ajajajaj,,Moja Stvar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Moja Stvar,nan-Moja Stvar
Severina,Severina,Milost,,Moja Stvar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Moja Stvar,nan-Moja Stvar
Severina,Severina,Djevojka Sa Sela,,Djevojka Sa Sela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Djevojka Sa Sela,nan-Djevojka Sa Sela/2002.0-Virujen U Te [Najbolje Uživo!]/nan-18 Velikih Hitova/2006.0-The Best Of/2006.0-The Platinum Collection/nan-Tridesete Uživo/nan-Tridesete Uživo/nan-50 originalnih pjesama/2014.0-Dobrodošao U Klub - Live/nan-The Best Of Collection
Severina,Severina,Prijateljice,,Djevojka Sa Sela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Djevojka Sa Sela,nan-Djevojka Sa Sela/2002.0-Virujen U Te [Najbolje Uživo!]/nan-18 Velikih Hitova/nan-Virujen U Te [Najbolje Uživo!]/2005.0-Cocktail/2006.0-The Best Of/2006.0-The Platinum Collection/nan-Tridesete Uživo/nan-Tridesete Uživo/nan-50 originalnih pjesama/2014.0-Dobrodošao U Klub - Live/2014.0-Dobrodošao U Klub - Live/nan-The Best Of Collection
Severina,Severina,Rastajem Se Od Života,,Djevojka Sa Sela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Djevojka Sa Sela,nan-Djevojka Sa Sela/nan-18 Velikih Hitova/2006.0-The Best Of/2006.0-The Platinum Collection/2010.0-Najljepše Ljubavne Pjesme/2013.0-Komplet 4 CDa/nan-50 originalnih pjesama/nan-The Best Of Collection
Severina,Severina,Meni Fali On,,Djevojka Sa Sela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Djevojka Sa Sela,nan-Djevojka Sa Sela/nan-50 originalnih pjesama
Severina,Severina,"Sija Sunce,Trava Miriše",,Djevojka Sa Sela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Djevojka Sa Sela,nan-Djevojka Sa Sela
Severina,Severina,Savršena Žena,,Djevojka Sa Sela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Djevojka Sa Sela,nan-Djevojka Sa Sela
Severina,Severina,Priznajem,,Djevojka Sa Sela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Djevojka Sa Sela,nan-Djevojka Sa Sela
Severina,Severina,Prevara,,Djevojka Sa Sela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Djevojka Sa Sela,nan-Djevojka Sa Sela
Severina,Severina,Zaustavite Tramvaj,,Djevojka Sa Sela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Djevojka Sa Sela,nan-Djevojka Sa Sela
Severina,Severina,Marjane Moj,,Djevojka Sa Sela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Djevojka Sa Sela,nan-Djevojka Sa Sela
Severina,Severina,Paloma Nera (a capella),,Paloma Nera Uzivo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Paloma Nera Uzivo,nan-Paloma Nera Uzivo
Severina,Severina,Ljubi Me Nocas,,Paloma Nera Uzivo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Paloma Nera Uzivo,nan-Paloma Nera Uzivo
Severina,Severina,Covjek Kojeg Volim,,Paloma Nera Uzivo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Paloma Nera Uzivo,nan-Paloma Nera Uzivo
Severina,Severina,Adio Ljube,,Paloma Nera Uzivo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Paloma Nera Uzivo,nan-Paloma Nera Uzivo/nan-18 Velikih Hitova/2006.0-The Platinum Collection
Severina,Severina,Severina mix ,,Paloma Nera Uzivo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Paloma Nera Uzivo,nan-Paloma Nera Uzivo
Severina,Severina,Ante,3:04,Ja Samo Pjevam,Severina,Severina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Ja Samo Pjevam,nan-Ja Samo Pjevam/2002.0-Virujen U Te [Najbolje Uživo!]/nan-18 Velikih Hitova/nan-Virujen U Te [Najbolje Uživo!]/2004.0-Special Limited Edition/2005.0-Cocktail/2006.0-The Best Of/2006.0-The Platinum Collection/nan-Tridesete Uživo/nan-Tridesete Uživo/nan-50 originalnih pjesama/nan-The Best Of Collection
Severina,Severina,Ja Samo Pjevam,3:36,Ja Samo Pjevam,Severina,Severina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Ja Samo Pjevam,nan-Ja Samo Pjevam/2002.0-Virujen U Te [Najbolje Uživo!]/nan-18 Velikih Hitova/nan-Virujen U Te [Najbolje Uživo!]/2005.0-Cocktail/2006.0-The Best Of/2006.0-The Platinum Collection/2010.0-Najljepše Ljubavne Pjesme/nan-Tridesete Uživo/nan-Tridesete Uživo/2012.0-Grad Bez Ljudi/2013.0-Komplet 4 CDa/nan-50 originalnih pjesama/2014.0-Dobrodošao U Klub - Live/2014.0-Dobrodošao U Klub - Live/nan-The Best Of Collection
Severina,Severina,"Dodirni Mi, Koljena",4:29,Ja Samo Pjevam,Marina Tucaković,Radovan Jovićević,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Ja Samo Pjevam,nan-Ja Samo Pjevam/nan-50 originalnih pjesama
Severina,Severina,Nedostaješ Mi,3:47,Ja Samo Pjevam,Fayo,Rajko Dujmić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Ja Samo Pjevam,nan-Ja Samo Pjevam/2006.0-The Platinum Collection/nan-50 originalnih pjesama
Severina,Severina,Tužna Pjesma,3:42,Ja Samo Pjevam,Severina,Severina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Ja Samo Pjevam,nan-Ja Samo Pjevam/nan-50 originalnih pjesama
Severina,Severina,Da Si Moj,3:37,Ja Samo Pjevam,Severina,Đorđe Novković,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Ja Samo Pjevam,nan-Ja Samo Pjevam/2002.0-Virujen U Te [Najbolje Uživo!]/nan-18 Velikih Hitova/2006.0-The Best Of/2006.0-The Platinum Collection/nan-Tridesete Uživo/nan-Tridesete Uživo/2013.0-Komplet 4 CDa/nan-50 originalnih pjesama/nan-The Best Of Collection
Severina,Severina,Bolna Ti Bolujem,3:33,Ja Samo Pjevam,Severina,Severina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Ja Samo Pjevam,nan-Ja Samo Pjevam
Severina,Severina,Esmeralda,3:49,Ja Samo Pjevam,Maja Maria Županović,Maja Maria Županović,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Ja Samo Pjevam,nan-Ja Samo Pjevam
Severina,Severina,Daj Da Biram,3:03,Ja Samo Pjevam,Damjan J. Vilotić,Damjan J. Vilotić,,,,,,Sar E Roma,Emil Gabrić,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Ja Samo Pjevam,nan-Ja Samo Pjevam/2002.0-Virujen U Te [Najbolje Uživo!]/nan-Virujen U Te [Najbolje Uživo!]/2005.0-Cocktail/nan-Tridesete Uživo/nan-Tridesete Uživo/2014.0-Dobrodošao U Klub - Live/2014.0-Dobrodošao U Klub - Live
Severina,Severina,Odavde Do Vječnosti,3:08,Ja Samo Pjevam,Spomenka Kovač,Aleksandra Kovač,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Ja Samo Pjevam,nan-Ja Samo Pjevam/2010.0-Najljepše Ljubavne Pjesme/nan-50 originalnih pjesama
Severina,Severina,"Ajde, Ajde, Zlato Moje",,"Ajde, Ajde, Zlato Moje",,,,,,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2000.0-Ajde, Ajde, Zlato Moje","2000.0-Ajde, Ajde, Zlato Moje/2000.0-Ajde, Ajde, Zlato Moje/2013.0-Komplet 4 CDa"
Severina,Severina,Tako Je To,3:44,Pogled Ispod Obrva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Pogled Ispod Obrva,nan-Pogled Ispod Obrva/2002.0-Virujen U Te [Najbolje Uživo!]/nan-Virujen U Te [Najbolje Uživo!]/2005.0-Cocktail/nan-50 originalnih pjesama
Severina,Severina,Mala Je Dala,3:52,Pogled Ispod Obrva,Zlatko Sabolek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Pogled Ispod Obrva,nan-Pogled Ispod Obrva/2002.0-Virujen U Te [Najbolje Uživo!]/nan-Virujen U Te [Najbolje Uživo!]/2005.0-Cocktail/2006.0-The Platinum Collection/2013.0-Komplet 4 CDa/nan-50 originalnih pjesama/nan-The Best Of Collection
Severina,Severina,"Noću, Danju",3:07,Pogled Ispod Obrva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Pogled Ispod Obrva,nan-Pogled Ispod Obrva
Severina,Severina,Mili Moj,4:16,Pogled Ispod Obrva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Pogled Ispod Obrva,nan-Pogled Ispod Obrva/2002.0-Virujen U Te [Najbolje Uživo!]/nan-Virujen U Te [Najbolje Uživo!]/2004.0-Special Limited Edition/2005.0-Cocktail/2006.0-The Platinum Collection/2010.0-Najljepše Ljubavne Pjesme/nan-Tridesete Uživo/nan-Tridesete Uživo/2012.0-Grad Bez Ljudi/2013.0-Komplet 4 CDa/nan-50 originalnih pjesama/2014.0-Dobrodošao U Klub - Live/nan-The Best Of Collection
Severina,Severina,"Voli Me, Ne Voli",4:07,Pogled Ispod Obrva,Dino Šaran,Dino Šaran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Pogled Ispod Obrva,nan-Pogled Ispod Obrva/2002.0-Virujen U Te [Najbolje Uživo!]/nan-50 originalnih pjesama
Severina,Severina,Pogled Ispod Obrva,4:30,Pogled Ispod Obrva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Pogled Ispod Obrva,nan-Pogled Ispod Obrva/2002.0-Virujen U Te [Najbolje Uživo!]/nan-Virujen U Te [Najbolje Uživo!]/2004.0-Special Limited Edition/2005.0-Cocktail/2006.0-The Platinum Collection/2010.0-Najljepše Ljubavne Pjesme/nan-Tridesete Uživo/nan-Tridesete Uživo/2012.0-Grad Bez Ljudi/2013.0-Komplet 4 CDa/nan-50 originalnih pjesama/2014.0-Dobrodošao U Klub - Live/2014.0-Dobrodošao U Klub - Live/nan-The Best Of Collection
Severina,Severina,Krivi Spoj,3:24,Pogled Ispod Obrva,Zlatko Sabolek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Pogled Ispod Obrva,nan-Pogled Ispod Obrva/2002.0-Virujen U Te [Najbolje Uživo!]/2006.0-The Platinum Collection/nan-Tridesete Uživo/nan-Tridesete Uživo/2013.0-Komplet 4 CDa/nan-50 originalnih pjesama/2014.0-Dobrodošao U Klub - Live/nan-The Best Of Collection
Severina,Severina,Parfem,3:36,Pogled Ispod Obrva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Pogled Ispod Obrva,nan-Pogled Ispod Obrva/nan-50 originalnih pjesama
Severina,Severina,Srce Je Moje Veliko Ko Kuća,3:48,Pogled Ispod Obrva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Pogled Ispod Obrva,nan-Pogled Ispod Obrva
Severina,Severina,Idi,3:01,Pogled Ispod Obrva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Pogled Ispod Obrva,nan-Pogled Ispod Obrva/nan-50 originalnih pjesama
Severina,Severina,More Na Leđa,3:29,Pogled Ispod Obrva,Zlatko Sabolek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Pogled Ispod Obrva,nan-Pogled Ispod Obrva
Severina,Severina,"Ajde, Ajde Zlato Moje (MHJ 2000.)",3:38,Pogled Ispod Obrva,Severina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Pogled Ispod Obrva,nan-Pogled Ispod Obrva
Severina,Severina,Virujen U Te (MHJ 2001.),4:28,Pogled Ispod Obrva,Ante Muštra Tulija,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Pogled Ispod Obrva,nan-Pogled Ispod Obrva
Severina,Severina,Žene 20. Stolječa,,Virujen U Te [Najbolje Uživo!],,,,,,,2002.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002.0-Virujen U Te [Najbolje Uživo!],2002.0-Virujen U Te [Najbolje Uživo!]
Severina,Severina,Dodirni Mi Koljena,,Virujen U Te [Najbolje Uživo!],,,,,,,2002.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002.0-Virujen U Te [Najbolje Uživo!],2002.0-Virujen U Te [Najbolje Uživo!]/nan-Virujen U Te [Najbolje Uživo!]/2006.0-The Platinum Collection/nan-Tridesete Uživo/nan-Tridesete Uživo/2013.0-Komplet 4 CDa
Severina,Severina,Zora Sumraka,,Virujen U Te [Najbolje Uživo!],,,,,,,2002.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002.0-Virujen U Te [Najbolje Uživo!],2002.0-Virujen U Te [Najbolje Uživo!]
Severina,Severina,"Daj Mi, Daj",,Virujen U Te [Najbolje Uživo!],,,,,,,2002.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002.0-Virujen U Te [Najbolje Uživo!],2002.0-Virujen U Te [Najbolje Uživo!]
