Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Lyrics By_discogs,Music By_discogs,Album_title_discogs,Album_year_discogs,Arranged By_discogs,Written By_discogs,Written-By_discogs,Backing Vocals_discogs,Conductor_discogs,Orchestra_discogs,Backing Band_discogs,Choir_discogs,Lyrics By [Croatian]_discogs,Trumpet [Solo]_discogs,Engineer_discogs,Lyrics By [Rendered From German]_discogs,Lyrics By [Rendered from English]_discogs,Lyrics By [Original]_discogs,Arranged By [Original]_discogs,Bass Guitar_discogs,Adapted By_discogs,Written By [Music]_discogs,Text By_discogs,Performer_discogs,Vocals_discogs,Featuring_discogs,Album_year_title_discogs,All_albums_discogs
Mišo Kovač,Mišo Kovač,Serenada,,,,Serenada,1970.0,,,,,Vinko Lesić,Zabavni Orkestar,,,,,,,,,,,,,,,,,1970.0-Serenada,1970.0-Serenada/nan-Mišo Kovač/2012.0-100 Originalnih Hitova/2019.0-Original Album Collection – Vol. 1
Mišo Kovač,Mišo Kovač,Sad Živim Sam,,,,Serenada,1970.0,,,,,Ilija Genić,Revijski Orkestar RTB,,,,,,,,,,,,,,,,,1970.0-Serenada,1970.0-Serenada/nan-Mišo Kovač/2019.0-Original Album Collection – Vol. 1
Mišo Kovač,Mišo Kovač,Tvoje Lice,,Dragutin Britvić,Stipica Kalogjera,Tvoje Lice,,Stipica Kalogjera,,,,Nikica Kalogjera,"Festivalski Orkestar ""Opatija""",,,,,,,,,,,,,,,,,nan-Tvoje Lice,nan-Tvoje Lice/nan-Mišo Kovač/2012.0-100 Originalnih Hitova/2019.0-Original Album Collection – Vol. 1
Mišo Kovač,Mišo Kovač,Marija,,,,Tvoje Lice,,,,Đorđe Novković,,,,Pro Arte (2),,,,,,,,,,,,,,,,nan-Tvoje Lice,nan-Tvoje Lice/nan-Mišo Kovač/2012.0-100 Originalnih Hitova/2019.0-Original Album Collection – Vol. 1
Mišo Kovač,Mišo Kovač,Jugoplastika,,Tomislav Zuppa,,Jugoplastika,,,,,,,,,,,,,,,,,,,,,,,,nan-Jugoplastika,nan-Jugoplastika
Mišo Kovač,Mišo Kovač,Mornaru Za Sretan Put,,Zdenko Runjić,,Jugoplastika,,,,,,,,,,,,,,,,,,,,,,,,nan-Jugoplastika,nan-Jugoplastika/1971.0-Mornaru Za Sretan Put / Vrbe/nan-Mišo Kovač/2019.0-Original Album Collection – Vol. 1
Mišo Kovač,Mišo Kovač,Za Tvoju Ljubav Sve Bih Dao,,,,Za Tvoju Ljubav Sve Bih Dao / Tužno Srce Moje,,,,,,,,,,,,,,,,,,,,,,,,nan-Za Tvoju Ljubav Sve Bih Dao / Tužno Srce Moje,nan-Za Tvoju Ljubav Sve Bih Dao / Tužno Srce Moje
Mišo Kovač,Mišo Kovač,Tužno Srce Moje,,,,Za Tvoju Ljubav Sve Bih Dao / Tužno Srce Moje,,,,,,,,,,,,,,,,,,,,,,,,nan-Za Tvoju Ljubav Sve Bih Dao / Tužno Srce Moje,nan-Za Tvoju Ljubav Sve Bih Dao / Tužno Srce Moje/nan-Mišo Kovač/2012.0-100 Originalnih Hitova/2019.0-Original Album Collection – Vol. 1
Mišo Kovač,Mišo Kovač,Vrbe,,,,Mornaru Za Sretan Put / Vrbe,1971.0,Ivan Kelemen,,,,Miljenko Prohaska,,,,,,,,,,,,,,,,,,1971.0-Mornaru Za Sretan Put / Vrbe,1971.0-Mornaru Za Sretan Put / Vrbe
Mišo Kovač,Mišo Kovač,Za Mene Sreće Nema,,,,Za Mene Sreće Nema / Znam Da Si Sama,,,,,,,,,,,,,,,,,,,,,,,,nan-Za Mene Sreće Nema / Znam Da Si Sama,nan-Za Mene Sreće Nema / Znam Da Si Sama/nan-Mišo Kovač/2019.0-Original Album Collection – Vol. 1
Mišo Kovač,Mišo Kovač,Znam Da Si Sama,,,,Za Mene Sreće Nema / Znam Da Si Sama,,,,,,,,,,,,,,,,,,,,,,,,nan-Za Mene Sreće Nema / Znam Da Si Sama,nan-Za Mene Sreće Nema / Znam Da Si Sama/nan-Mišo Kovač/2019.0-Original Album Collection – Vol. 1
Mišo Kovač,Mišo Kovač,Proplakat Će Zora,,Dragutin Britvić,Stjepan Mihaljinec,Proplakat Će Zora (»Split 71«),,Stjepan Mihaljinec,,,,,,,Festivalski Zbor,,,,,,,,,,,,,,,nan-Proplakat Će Zora (»Split 71«),nan-Proplakat Će Zora (»Split 71«)/nan-Mišo Kovač/nan-Najveći Uspjesi 1./1987.0-Najljepše Pjesme 1/nan-Koncert/nan-Najljepše Pjesme/1997.0-Najbolje/2003.0-Najveći Hitovi/nan-Najdraže Pjesme Miše Kovača/2005.0-Mišo U Šibeniku/2005.0-Mišo U Šibeniku/2005.0-Mišo U Šibeniku/2006.0-The Platinum Collection/2010.0-Sve Najbolje/2010.0-Najljepše Ljubavne Pjesme/2012.0-100 Originalnih Hitova/2013.0-Ostala Si Uvijek Ista/nan-The Best Of Collection/2019.0-Original Album Collection – Vol. 1
Mišo Kovač,Mišo Kovač,Jedan Brod (Le Bateau),,,,Proplakat Će Zora (»Split 71«),,,Laurent,,,,,,,Zvonimir Golob,,,,,,,,,,,,,,nan-Proplakat Će Zora (»Split 71«),nan-Proplakat Će Zora (»Split 71«)
Mišo Kovač,Mišo Kovač,Reci Zbogom,3:11,Ivica Krajač,,Mišo Kovač,,Stipica Kalogjera,Shakespeare,,,Stipica Kalogjera,,,,,,,,,,,,,,,,,,nan-Mišo Kovač,nan-Mišo Kovač/nan-Ostala Si Uvijek Ista/2019.0-Original Album Collection – Vol. 1
Mišo Kovač,Mišo Kovač,Ti Budi Mi Vjerna,,,Ervin Drake,Ti Budi Mi Vjerna / Zaboravi Dane,1972.0,,,,,,,,,,Stanko Selak,,,,,,,,,,,,,1972.0-Ti Budi Mi Vjerna / Zaboravi Dane,1972.0-Ti Budi Mi Vjerna / Zaboravi Dane
Mišo Kovač,Mišo Kovač,Zaboravi Dane,,,Stjepan Mihaljinec,Ti Budi Mi Vjerna / Zaboravi Dane,1972.0,,,,,,,,,,,,,,,,,,,,,,,1972.0-Ti Budi Mi Vjerna / Zaboravi Dane,1972.0-Ti Budi Mi Vjerna / Zaboravi Dane
Mišo Kovač,Mišo Kovač,Zalij To Cvijeće Suzama Sreće,,,Stjepan Mihaljinec,Zalij To Cvijeće Suzama Sreće / Prve Suze,1972.0,,,,,,,,,,,,,,,,,,,,,,,1972.0-Zalij To Cvijeće Suzama Sreće / Prve Suze,1972.0-Zalij To Cvijeće Suzama Sreće / Prve Suze/2012.0-100 Originalnih Hitova
