Artist,ArtistDiskografija,Song,Song_ID,Lyrics,Url,Skladba,Stihovi,Aranžman,Izvedba,Album_1,Album_2,Album_3,Album_4,Album_5,Album_6,Album_7,Album_8
Severina,Severina,Ispovid,kxnrI/8e_1_20,"Zdravo Marijo, milosti puna 
Gospodin s tobom
Blagoslovljena ti među ženama
I blagoslovljen plod utrobe tvoje, Isus
Sveta Marijo, moli za nas grešnike, 
Sada i na času smrti naše, Amen

Marijo, milosti puna, znaš da ga volin
Prid tvoje dite san došla, klečim i molin
Svitlo na licu je tvom, suza na mom
Grišna san došla u tvoj dom

Marijo, milosti puna, znaš da ga jubin
Srce san svoje mu dala
A sad ga gubim
Milost u oku je tvom, suza u mom
Tužna san došla u tvoj dom

Bez cvića proliće, a mladost pobi' će
Bez njega san more koje nema obale
Bez 'tica nebo je
Ni glas se ne čuje
Samo ovu jubav imam
Gospe, spasi je
Marijo, usliši molitve moje
Marijo, srcu mi vrati vid
Ol je ovo zadnja ispovid

Marijo, milosti puna, znaš da ga jubin
Srce san svoje mu dala
A sad ga gubim
Milost u oku je tvom, suza u mom
Tužna san došla u tvoj dom

Bez cvića proliće, a mladost pobi' će
Bez njega san more koje nema obale
Bez 'tica nebo je
Ni glas se ne čuje
Samo ovu jubav imam
Gospe, spasi je
Marijo, usliši molitve moje
Marijo, srcu mi vrati vid
Ol je ovo zadnja ispovid

Marijo, milosti puna, 
Gospodin s tobom
Blagoslovljena ti među ženama
I blagoslovljen plod utrobe tvoje, Isus",https://cuspajz.com//tekstovi-pjesama/pjesma/severina/ispovid.html,,,,,,,,,,,,
Severina,Severina,Iz glave,kxnrI/8e_1_21,"Rastopi me na usnama,
otkopcaj dugme zubima,
tijela u mraku sad su zar,
vec goris mi u grudima

Na kozi ostavljas mi trag,
vlazan od tvojih dodira,
upali svjetlo, gledaj me-
kako te ljubim najbolje...

I svaki tren s tobom me uzbudjuje,
njezan ko cvjet tvoj je dodir za mene...
Ti imas moc nada mnom kao noc 
kad spusti svojih zvjezdica roj...

Iz glave meni ti vise ne izlazis,
ko slatki nemir trncima me prolazis,
i bas te briga sto cu sad ja
u ovoj noci bez sna, 
kad me opet u sebe zaljubis...

Iz glave meni ti vise ne izlazis,
ko slatki nemir trncima me prolazis,
i bas te briga sto cu sad ja
u ovoj noci bez sna,
kad me opet u sebe zaljubis...

S tobom sam tu na jastuku,
osjecam samo kemiju,
ti sutis,ja ne govorim,
citas mi misli-zelim te...

Moje te ruke diraju,
kosu ti njezno miluju,
a tjela traze samo jos,
jos socnih poljubaca sto...

I svaki tren s tobom me uzbudjuje,
njezan ko cvjet tvoj je dodir za mene...
Ti imas moc nada mnom kao noc 
kad spusti svojih zvjezdica roj...

Iz glave meni ti vise ne izlazis,
ko slatki nemir trncima me prolazis,
i bas te briga sto cu sad ja
u ovoj noci bez sna, 
kad me opet u sebe zaljubis...

Iz glave meni ti vise ne izlazis,
ko slatki nemir trncima me prolazis,
i bas te briga sto cu sad ja
u ovoj noci bez sna,
kad me opet u sebe zaljubis...",https://cuspajz.com//tekstovi-pjesama/pjesma/severina/iz-glave.html,"['Sandra Sagena', 'Silvio Pasarić', 'Milo Stavros']",['Sandra Sagena'],['Silvio Pasarić'],['Severina'],2004 - Severgreen,2005 - Cocktail,2006 - The best of,,,,,
Severina,Severina,Ja samo pjevam,kxnrI/8e_1_22,"Ti si najljepši od svih,
Svi drugi stanu u stih,
Tebi ni pjesma nije dovoljna,
Ej, što te ludo, ludo volim ja

Ti si moja mala ikona,
Pred kojom molim se ja,
Nek loše krene i ne ide,
Razvučem osmijeh i briga me

Ja samo pjevam, ja samo sviram
Ja nemam razlog da se živciram
Jer imam tebe, koji me ljubi,
Koji me voli kada život zaboli

Ti si najljepši od svih
Svi drugi stanu u stih
Tebi ni pjesma nije dovoljna
Ej, što te ludo, ludo volim ja",https://cuspajz.com//tekstovi-pjesama/pjesma/severina/ja-samo-pjevam.html,"['Severina Vučković', 'Hrvoje Grčević']",['Severina Vučković'],['Hrvoje Grčević'],['Severina'],1999 - Ja samo pjevam,2002 - 18 velikih hitova,"2002 - Virujen u te (najbolje uživo) - uživo
Aranžman: Nikša Bratoš","2005 - Cocktail - uživo
Aranžman: Nikša Bratoš",2006 - The platinum collection,2006 - The best of,,
Severina,Severina,Kaži da l' je ljubav,kxnrI/8e_1_23,"Ja nikad nisam bila nečija mala
ma mama, ti me bar znaš
i svoj sam put čuvati znala
uvijek je bilo po mom.

Al' odjednom, kao u bajkama
on je sve o čemu sanjam ja.

O, mama, mama, on vuče moje konce
nježno i sigurno
i tako bih mogla bez straha do kraja
sve dok smo zajedno.

I protrnem kada ga dotaknem
a on odlazi kada god poželi.

Kaži da l' je ljubav kad malo ti da pa malo uzima
ma da l' je ljubav kad malo ti da, još više uzima
a kada uzima, tebe ne smeta.

O, mama, mama, 'ajde kaži mi nešto
da l' se plače kad se ljubi i tako često
i kako to da kada plačem suze ne krijem
ipak sam sretna, ipak se smijem.

I protrnem kada ga dotaknem
i poludim kada me poljubi.

Kaži da l' je ljubav kad malo ti da pa malo uzima
ma da l' je ljubav kad malo ti da, još više uzima
pretežno sunčano, ponekad oblačno.

Kaži da l' je ljubav...",https://cuspajz.com//tekstovi-pjesama/pjesma/severina/kazi-da-l-je-ljubav.html,,,,,,,,,,,,
Severina,Severina,Kreni (with Amir Kazić Leo),kxnrI/8e_1_24,"Kreni u mom srcu veni
kreni što ću takvoj ženi ja 
znam da nisam Bog zna šta

Ajde ajde kreni al se ne okreni kreni
nikom ne spomeni to da smo bili zajedno

Kasno je za mene ti se spasi
drugome drugome život krasi 
idi sad idi sad dok još imaš kog

Kasno je za mene ti se spasi
htjela bi htjela bi sretan da si
ne žali ne brini jer ja ću po svom

Kreni u mom srcu veni
kreni što ću takvoj ženi ja 
znam da nisam Bog zna šta

Ajde ajde kreni al se ne okreni kreni
nikom ne spomeni to da smo bili zajedno

Kasno je za mene ti se spasi
drugome drugome život krasi 
idi sad idi sad dok još imaš kog

Kasno je za mene ti se spasi
htjela bi htjela bi sretan da si
ne žali ne brini jer ja ću po svom",https://cuspajz.com//tekstovi-pjesama/pjesma/severina/kreni-with-amir-kazic-leo.html,['Đorđe Novković'],['Faruk Buljubašić Fayo'],['Nikša Bratoš'],"['Severina', 'Leo']",{'2002 - 18 velikih hitova'},{'2006 - The platinum collection'},{'2006 - The best of'},,,,,
Severina,Severina,Lijenčina,kxnrI/8e_1_25,,https://cuspajz.com//tekstovi-pjesama/pjesma/severina/lijencina.html,,,,,,,,,,,,
Severina,Severina,Ljubimo se,kxnrI/8e_1_26,"Ljube se male zlatne zvijezdice na nebu
ribe u moru kradom ljube se
crnci i zuti, ljudi Azije i Kine
ljeto i zima kad ih ne vide

Svi se ljube zasto ne bi
ljubili se mi
sklopi oci ove noci
sat zaustavi

Ljubimo se, ljubimo se
ljubimo se mi
nije vazno sto ce zora
brzo svanuti

Ljubimo se, ljubimo se
ljubimo se mi
sve do jutra pa nek sutra
zavide nam svi

Ljube se kapi kise s oblakom u tami 
negdje u sumi srne pjegave
crnci i zuti, ljudi Azije i Kine
sunce i hladne noci polarne

Svi se ljube zasto ne bi
ljubili se mi
sklopi oci ove noci
sat zaustavi",https://cuspajz.com//tekstovi-pjesama/pjesma/severina/ljubimo-se.html,['Tomislav Mrduljaš'],['Vedran Lekić'],['Remi Kazinoti'],['Severina'],,,,,,,,
Severina,Severina,Lude godine,kxnrI/8e_1_27,"Noc je duga, najduza, nema Mjeseca
u glavi mi nasa pjesma svira
ja ne spavam jer ne mogu biti bez tebe
a gdje je tvoja ruka da me dira.

Jer, dan kad svane ja te ne volim, ne, ne
a noc, noc kad padne ja ti sve oprostim, da,da
zlatni kriz na mojim grudima
i moja molitva, to si ti.

Godine, lude godine
sve mi prolaze bez tebe
godine moje najbolje
sve mi odlaze bez tebe
naj, naj, naj, naj, naj, naj, naj, naj
sve mi prolaze bez tebe.

A ti si moja jubav, moja losa navika
pamet ne zna zasto srce dira
sve su zvijezde zaspale na tvome ramenu
samo jedna ostala pa svira.",https://cuspajz.com//tekstovi-pjesama/pjesma/severina/lude-godine.html,['Zrinko Tutić'],['Nenad Ninčević'],['Nikša Bratoš'],['Severina'],,,,,,,,
Severina,Severina,Ma daj,kxnrI/8e_1_28,"Ma daj me ljubi kako zapovijeda Bog,
ma daj me ljubi kao nekog stvarno svog,
ma ne me ne daj da budem sama noćima,
o zar ne vidiš požudu u očima?

Hajde malo dođi u moj stan
(pa-ra-ra-ra-ra-ra)
Imam nešto važno da ti dam

Ma daj me ljubi, tako si mi zgodan, hej,
ma daj me ljubi, tako si mi super hu,
ma ne me ne ne daj da budem sama noćima,
o zar ne vidiš požudu u očima?

Hajde malo...",https://cuspajz.com//tekstovi-pjesama/pjesma/severina/ma-daj.html,"['Severina Vučković', 'Silvio Pasarić']",['Severina Vučković'],['Silvio Pasarić'],['Severina'],2004 - Severgreen,2005 - Cocktail,"2006 - Moja štikla, moj sokole",,,,,
Severina,Severina,Marjane moj,kxnrI/8e_1_29,"Tamo sam rasla i tamo narasla
neka me ptica u svijet odnijela
ja cu ti doci, ti ne brini
njezno ko otac me zagli
samo njezno ko otac me zagli

Marjane moj, tvoje dite sam ja
dobro mi stoj izmedju jave i sna

Dajem ti pismu, sve za tebe
jer ti si mi dao sve od sebe
ja cu ti doci, ti ne brini
njezno kao otac me zagli
samo njezno ko otac me zagli

Marjane moj, tvoje dite sam ja
dobro mi stoj izmedju jave i sna

Dobro mi stoj jer volim te ja.",https://cuspajz.com//tekstovi-pjesama/pjesma/severina/marjane-moj.html,['Severina Vučković'],['Severina Vučković'],['Vedran Ostojić'],['Severina'],,,,,,,,
