Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Album_title_discogs,Album_year_discogs,Music By_discogs,Lyrics By_discogs,Vocals_discogs,Saxophone_discogs,Written-By_discogs,Arranged By_discogs,Producer_discogs,Adapted By_discogs,Voice_discogs,Narrator_discogs,Featuring_discogs,Songwriter_discogs,Goblet Drum_discogs,Vocals [Duet]_discogs,Trumpet_discogs,Trombone_discogs,Lead Vocals_discogs,Guest_discogs,Guitar_discogs,Album_year_title_discogs,All_albums_discogs
Crvena Jabuka,Crvena Jabuka,Dođi Kod Mene,2:37,Za Sve Ove Godine,,Dražen Ričl,Dražen Ričl,,,,,,,,,,,,,,,,,,nan-Za Sve Ove Godine,nan-Za Sve Ove Godine/2013.0-Original Album Collection
Crvena Jabuka,Crvena Jabuka,"Hajde, Hajde De, Opusti Se",3:20,Za Sve Ove Godine,,Zlatko Arslanagić,Zlatko Arslanagić,,,,,,,,,,,,,,,,,,nan-Za Sve Ove Godine,nan-Za Sve Ove Godine
Crvena Jabuka,Crvena Jabuka,Da Je Samo Malo Sreće,3:40,Za Sve Ove Godine,,,,,,Dražen Ričl,,,,,,,,,,,,,,,nan-Za Sve Ove Godine,nan-Za Sve Ove Godine/2008.0-The Ultimate Collection/2013.0-Original Album Collection
Crvena Jabuka,Crvena Jabuka,Jedina,3:36,Za Sve Ove Godine,,,,,,,,,,,,,,,,,,,,,nan-Za Sve Ove Godine,nan-Za Sve Ove Godine/2013.0-Original Album Collection/nan-100 Originalnih Hitova
Crvena Jabuka,Crvena Jabuka,"Osim Tebe, Ljubavi",1:57,Za Sve Ove Godine,,,,,,,,,,,,,,,,,,,,,nan-Za Sve Ove Godine,nan-Za Sve Ove Godine/2009.0-25 Godina - Da Nije Ljubavi/2013.0-Original Album Collection/nan-100 Originalnih Hitova
Crvena Jabuka,Crvena Jabuka,Kad Kazaljke Se Poklope,4:47,Kad Kazaljke Se Poklope,1988.0,,,,,Zlatko Arslanagić,,,,,,,,,,,,,,,1988.0-Kad Kazaljke Se Poklope,1988.0-Kad Kazaljke Se Poklope/nan-Uzmi Me (Kad Hoćeš Ti) Live/2009.0-25 Godina - Da Nije Ljubavi/2010.0-S Druge Strane Sjećanja/nan-- Christmas Limited Edition -
Crvena Jabuka,Crvena Jabuka,Sviđa Mi Se Ova Stvar (Twist And Shout),2:48,Kad Kazaljke Se Poklope,1988.0,,Zlatko Arslanagić,,,Phil Medley,,,,,,,,,,,,,,,1988.0-Kad Kazaljke Se Poklope,1988.0-Kad Kazaljke Se Poklope
Crvena Jabuka,Crvena Jabuka,Ima Nešto Od Srca Do Srca,3:59,Ima Nešto Od Srca Do Srca,1988.0,Zlatko Arslanagić,Zlatko Arslanagić,,,,Crvena Jabuka,Nikša Bratoš,,,,,,,,,,,,,1988.0-Ima Nešto Od Srca Do Srca,1988.0-Ima Nešto Od Srca Do Srca/nan-Sanjati/nan-Uzmi Me (Kad Hoćeš Ti) Live/nan-Ima Nešto Od Srca Do Srca - 18 Originalnih Hitova/nan-Moje Najmilije/nan-Riznice Sjećanja/2001.0-Live Dom Sportova Zagreb/nan-Zlatna Kolekcija/2005.0-Antologija/2008.0-The Ultimate Collection/2010.0-Najljepše Ljubavne Pjesme/nan-18 Zlatnih Hitova/2013.0-Original Album Collection/nan-100 Originalnih Hitova
Crvena Jabuka,Crvena Jabuka,"Sanjati, Slušati I Ništa Više",4:40,Ima Nešto Od Srca Do Srca,1988.0,Zlatko Arslanagić,Senad Tanović,,,,,,Zlatko Arslanagić,Senad Tanović,,,,,,,,,,,1988.0-Ima Nešto Od Srca Do Srca,1988.0-Ima Nešto Od Srca Do Srca
Crvena Jabuka,Crvena Jabuka,Malo Ćemo Da Se Kupamo,,Malo Ćemo Da Se Kupamo / Ti Znaš,1988.0,,,,,,,,,,,,,,,,,,,,1988.0-Malo Ćemo Da Se Kupamo / Ti Znaš,1988.0-Malo Ćemo Da Se Kupamo / Ti Znaš/nan-Sanjati/nan-Riznice Sjećanja/nan-Zlatna Kolekcija/2013.0-Original Album Collection
Crvena Jabuka,Crvena Jabuka,Ti Znaš,,Malo Ćemo Da Se Kupamo / Ti Znaš,1988.0,,,,,,,,,,,,,,,,,,,,1988.0-Malo Ćemo Da Se Kupamo / Ti Znaš,1988.0-Malo Ćemo Da Se Kupamo / Ti Znaš/nan-Sanjati/nan-Uzmi Me (Kad Hoćeš Ti) Live/nan-Ima Nešto Od Srca Do Srca - 18 Originalnih Hitova/nan-Riznice Sjećanja/2001.0-Live Dom Sportova Zagreb/nan-Zlatna Kolekcija/2005.0-Antologija/2008.0-The Ultimate Collection/2010.0-Najljepše Ljubavne Pjesme/2013.0-Original Album Collection/nan-100 Originalnih Hitova
Crvena Jabuka,Crvena Jabuka,Zovu Nas Ulice,3:48,Sanjati,,,,,,,,,,,,,,,,,,,,,nan-Sanjati,nan-Sanjati/nan-Uzmi Me (Kad Hoćeš Ti) Live/nan-Ima Nešto Od Srca Do Srca - 18 Originalnih Hitova/nan-Moje Najmilije/nan-Riznice Sjećanja/2001.0-Live Dom Sportova Zagreb/nan-Zlatna Kolekcija/2005.0-Antologija/2008.0-The Ultimate Collection/2009.0-25 Godina - Da Nije Ljubavi/2010.0-S Druge Strane Sjećanja/nan-18 Zlatnih Hitova/2013.0-Original Album Collection/nan-100 Originalnih Hitova
Crvena Jabuka,Crvena Jabuka,Ne Daj Na Sebe,2:59,Sanjati,,,,,,,,,,,,,,,,,,,,,nan-Sanjati,nan-Sanjati/nan-Moje Najmilije/2009.0-25 Godina - Da Nije Ljubavi/2013.0-Original Album Collection/nan-100 Originalnih Hitova
Crvena Jabuka,Crvena Jabuka,Oči Su Se Navikle Na Mrak,3:13,Sanjati,,,,,,,,,,,,,,,,,,,,,nan-Sanjati,nan-Sanjati/2013.0-Original Album Collection
Crvena Jabuka,Crvena Jabuka,Twist And Shout (Sviđa Mi Se Ova Stvar),2:48,Sanjati,,,Zlatko Arslanagić,,,Phil Medley,,,,,,,,,,,,,,,nan-Sanjati,nan-Sanjati/nan-Uzmi Me (Kad Hoćeš Ti) Live/nan-Moje Najmilije/nan-Zlatna Kolekcija/2005.0-Antologija/2008.0-The Ultimate Collection/2013.0-Original Album Collection/2014.0-Bivše Djevojčice Bivši Dječaci - Unplugged Live U Lisinskom
Crvena Jabuka,Crvena Jabuka,Ljeta Koja Dolaze,3:48,Sanjati,,,,,,,,,,,,,,,,,,,,,nan-Sanjati,nan-Sanjati/2009.0-25 Godina - Da Nije Ljubavi/nan-Volim Te/2010.0-S Druge Strane Sjećanja/2013.0-Original Album Collection
Crvena Jabuka,Crvena Jabuka,Zvona Zvone,4:09,Sanjati,,,,,,,,,,,,,,,,,,,,,nan-Sanjati,nan-Sanjati/2010.0-S Druge Strane Sjećanja
Crvena Jabuka,Crvena Jabuka,Vozovi Polaze,3:43,Sanjati,,,,,,,,,,,,,,,,,,,,,nan-Sanjati,nan-Sanjati/2013.0-Original Album Collection/nan-100 Originalnih Hitova
Crvena Jabuka,Crvena Jabuka,Na Dlanu Mi Piše,3:01,Sanjati,,,,,,,,,,,,,,,,,,,,,nan-Sanjati,nan-Sanjati/2010.0-S Druge Strane Sjećanja/2013.0-Original Album Collection
Crvena Jabuka,Crvena Jabuka,Sanjati,2:45,Sanjati,,,,,,,,,,,,,,,,,,,,,nan-Sanjati,nan-Sanjati/nan-Uzmi Me (Kad Hoćeš Ti) Live/nan-Ima Nešto Od Srca Do Srca - 18 Originalnih Hitova/2001.0-Live Dom Sportova Zagreb/nan-Zlatna Kolekcija/2005.0-Antologija/2008.0-The Ultimate Collection/2013.0-Original Album Collection/nan-100 Originalnih Hitova
Crvena Jabuka,Crvena Jabuka,Ostani,3:24,Ostani,1989.0,,,,,Zlatko Arslanagić,,,,,,,,,,,,,,,1989.0-Ostani,1989.0-Ostani/nan-Tamo Gdje Ljubav Počinje/nan-Uzmi Me (Kad Hoćeš Ti) Live/nan-Ima Nešto Od Srca Do Srca - 18 Originalnih Hitova/nan-Zlatna Kolekcija/2008.0-The Ultimate Collection/2009.0-25 Godina - Da Nije Ljubavi/2010.0-Najljepše Ljubavne Pjesme/2013.0-Original Album Collection/nan-100 Originalnih Hitova
Crvena Jabuka,Crvena Jabuka,Ples Nevjernih Godina,4:45,Ostani,1989.0,,,,,Zlatko Arslanagić,,,,,,,,,,,,,,,1989.0-Ostani,1989.0-Ostani/nan-Tamo Gdje Ljubav Počinje/2013.0-Original Album Collection
Crvena Jabuka,Crvena Jabuka,To Mi Radi,,To Mi Radi,1989.0,,,,,,,,,,,,,,,,,,,,1989.0-To Mi Radi,1989.0-To Mi Radi/nan-Tamo Gdje Ljubav Počinje/nan-Uzmi Me (Kad Hoćeš Ti) Live/nan-Ima Nešto Od Srca Do Srca - 18 Originalnih Hitova/nan-Moje Najmilije/2001.0-Live Dom Sportova Zagreb/nan-Zlatna Kolekcija/2005.0-Antologija/2008.0-The Ultimate Collection/2010.0-Najljepše Ljubavne Pjesme/nan-18 Zlatnih Hitova/2013.0-Original Album Collection
Crvena Jabuka,Crvena Jabuka,Radio Medley 1 I 2,,To Mi Radi,1989.0,,,,,,,,,,,,,,,,,,,,1989.0-To Mi Radi,1989.0-To Mi Radi
Crvena Jabuka,Crvena Jabuka,Čarolija (Kad Prestane),,To Mi Radi,1989.0,,,,,,,,,,,,,,,,,,,,1989.0-To Mi Radi,1989.0-To Mi Radi/nan-Tamo Gdje Ljubav Počinje/2013.0-Original Album Collection
Crvena Jabuka,Crvena Jabuka,Radio Medley 3 I 4,,To Mi Radi,1989.0,,,,,,,,,,,,,,,,,,,,1989.0-To Mi Radi,1989.0-To Mi Radi
Crvena Jabuka,Crvena Jabuka,"Tuga, Ti I Ja",,Tamo Gdje Ljubav Počinje,,,,,,,,,,,,,,,,,,,,,nan-Tamo Gdje Ljubav Počinje,nan-Tamo Gdje Ljubav Počinje/nan-Uzmi Me (Kad Hoćeš Ti) Live/nan-Ima Nešto Od Srca Do Srca - 18 Originalnih Hitova/nan-Moje Najmilije/nan-Zlatna Kolekcija/2005.0-Antologija/2010.0-Najljepše Ljubavne Pjesme/nan-18 Zlatnih Hitova/2013.0-Original Album Collection/2014.0-Bivše Djevojčice Bivši Dječaci - Unplugged Live U Lisinskom/nan-100 Originalnih Hitova
Crvena Jabuka,Crvena Jabuka,Neka Vrijeme Mijenja Se,,Tamo Gdje Ljubav Počinje,,,,,,,,,,,,,,,,,,,,,nan-Tamo Gdje Ljubav Počinje,nan-Tamo Gdje Ljubav Počinje/2013.0-Original Album Collection
Crvena Jabuka,Crvena Jabuka,Volio Bih Da Si Tu,,Tamo Gdje Ljubav Počinje,,,,,,,,,,,,,,,,,,,,,nan-Tamo Gdje Ljubav Počinje,nan-Tamo Gdje Ljubav Počinje/nan-Uzmi Me (Kad Hoćeš Ti) Live/nan-Ima Nešto Od Srca Do Srca - 18 Originalnih Hitova/nan-Moje Najmilije/nan-Zlatna Kolekcija/2005.0-Antologija/2008.0-The Ultimate Collection/2009.0-25 Godina - Da Nije Ljubavi/2010.0-Najljepše Ljubavne Pjesme/nan-18 Zlatnih Hitova/2013.0-Original Album Collection/2014.0-Bivše Djevojčice Bivši Dječaci - Unplugged Live U Lisinskom/nan-100 Originalnih Hitova/2016.0-Greatest Hits Collection
Crvena Jabuka,Crvena Jabuka,Šetajući Daljinama,,Tamo Gdje Ljubav Počinje,,,,,,,,,,,,,,,,,,,,,nan-Tamo Gdje Ljubav Počinje,nan-Tamo Gdje Ljubav Počinje/2013.0-Original Album Collection
Crvena Jabuka,Crvena Jabuka,Riznice Sjećanja,,Tamo Gdje Ljubav Počinje,,,,,,,,,,,,,,,,,,,,,nan-Tamo Gdje Ljubav Počinje,nan-Tamo Gdje Ljubav Počinje/nan-Riznice Sjećanja/nan-Zlatna Kolekcija/2008.0-The Ultimate Collection/2010.0-Najljepše Ljubavne Pjesme/2013.0-Original Album Collection/2014.0-Bivše Djevojčice Bivši Dječaci - Unplugged Live U Lisinskom
Crvena Jabuka,Crvena Jabuka,Na Oluje Navikli Smo,,Tamo Gdje Ljubav Počinje,,,,,,,,,,,,,,,,,,,,,nan-Tamo Gdje Ljubav Počinje,nan-Tamo Gdje Ljubav Počinje/2013.0-Original Album Collection
Crvena Jabuka,Crvena Jabuka,Ne Dam Da Ovaj Osjećaj Ode,,Tamo Gdje Ljubav Počinje,,,,,,,,,,,,,,,,,,,,,nan-Tamo Gdje Ljubav Počinje,nan-Tamo Gdje Ljubav Počinje/nan-Uzmi Me (Kad Hoćeš Ti) Live/nan-Ima Nešto Od Srca Do Srca - 18 Originalnih Hitova/nan-Zlatna Kolekcija/2008.0-The Ultimate Collection/2010.0-Najljepše Ljubavne Pjesme/2013.0-Original Album Collection/nan-100 Originalnih Hitova/nan-- Christmas Limited Edition -
