Song_ID,Artist,Artist_diskografija,Song_tekstovinet,Views_tekstovinet,Lyrics_tekstovinet,Url_tekstovinet,Writer_lyricstranslate,Song_lyricstranslate,EngTitle_lyricstranslate,Album_lyricstranslate,Lyrics_lyricstranslate,EngLyrics_lyricstranslate,Url_lyricstranslate
zT3Xu5sD_1_91,Mišo Kovač,Mate Mišo Kovač,Ranjeno je srce moje,882,"Zelim bar jos malo da se nadam
da ce vrijeme rane da izlijeci
da cu jednog dana, poslije tuzne noci
opet cuti njene njezne rijeci

Zelim bar jos malo da je cekam
cak iako nikad nece doci
jos u srcu cuvam samo malo nade
ljubav ne smije nitko da ukrade
 
Ref. 2x
Ranjeno je srce moje, ranjeno
otislo je zlato moje voljeno
odnijelo je dane nase mladosti
odnijelo je noci nase radosti

Ponekad se pitam kud je posla
al' ne zelim nikad da je krivim
kad bi bar jos jednom
u moje snove dosla
znao bih zbog cega jos da zivim

Ref. 2x","https://tekstovi.net/2,692,60165.html",,,,,,,
zT3Xu5sD_1_92,Mišo Kovač,Mate Mišo Kovač,Reci zbogom,5101,"Sakrij sad svoju bol i idi
bice jos teze, znaj, ostanes li tu
shvati vec da je kraj jednoj prici
tuzan kraj jednoj sreci
jednom snu

Ref.
Zbogom svemu sto je bilo oko nas
zivot zna biti grub, budi hrabra
nema nacina da mijenjas ovaj svijet
 
Reci rijec, samo rijec, reci zbogom
jednom i ti budi gruba kao ja
shvati vec jednom sad zakon igre
u njoj uvek gube takvi kao ti

Ref.

Sad je kasno da me mijenjas
nadji nacin da zaboravis
na sve, na sve, na sve","https://tekstovi.net/2,692,43210.html",,,,,,,
zT3Xu5sD_1_93,Mišo Kovač,Mate Mišo Kovač,Rodjen sam da te volim,346,"Rodjen sam da volim
rodjen sam da patim
da od tebe odem
i da ti se vratim

Rodjen sam da slijedim
neku sjajnu zvijezdu
k´o ptica sto sanja
samo o svom gnijezdu
 
Ref. 2x
Uzalud te cekam
uzalud te molim
rodjen sam da patim
rodjen sam da volim

Uzalud te cekam
uzalud te molim
rodjen sam da grjesim
rodjen da te volim

Rodjen sam da volim
rodjen sam da grjesim
kad je meni tesko
ja drugoga tjesim

Rodjen sam da trazim
sto ne mogu naci
daleko je sunce
i ono ce zaci

Ref. 2x","https://tekstovi.net/2,692,63946.html",,,,,,,
zT3Xu5sD_1_94,Mišo Kovač,Mate Mišo Kovač,Sakrij me,334,"Sakrij me negdje duboko u dusi
da prezivim zaborav hladan
sakrij me u crti na svojoj ruci
da utjeha ti budem u brizi i muci

Ref.
Sakrij me negdje u dzemperu modrom
sakrij me negdje u svoj kosi
i budi uvijek na mojoj strani
kad se otegnu buduci dani
 
Sakrij, sakrij me od vremena i jave
nek' me cuvaju tvoje oci plave

Sakrij me negdje duboko u dusi
da prezivim zaborav hladan
sakrij me u crti na svojoj ruci
da utjeha ti budem u brizi i muci

Ref.","https://tekstovi.net/2,692,62800.html",,,,,,,
zT3Xu5sD_1_95,Mišo Kovač,Mate Mišo Kovač,Samo me nemoj pitati za ljubav,410,"Samo me nemoj pitati za ljubav
voljet´ me nikad nisi znala
ljubeci tebe, ljubio sam druge
ove godine duge, ove godine duge

Samo me nemoj pitati za ljubav
gdje sam sve bio, nije vazno sada
da smo bili skupa, bilo bi nam bolje
bilo bi nam bolje, bilo bi nam bolje
 
Ref.
Samo me nemoj pitati za ljubav
mozda ti necu priznati bas sve
godine duge bili smo skupa
samoca mi danas ´mjesto gosta lupa
samo me nemoj, ne, pitati za ljubav
aha, pitati za ljubav

Ref. 2x","https://tekstovi.net/2,692,63127.html",,,,,,,
zT3Xu5sD_1_96,Mišo Kovač,Mate Mišo Kovač,Samo nas nebo rastavit moze,9861,"Ref.
Samo nas nebo rastavit moze
i nista vise i nista vise

Ne boj se onog sto tamo cuva
saku drage i gorke druge
ista nas krv u zilama veze
isti teret sudbine lude
 
Cuvaj se onog 
sto na glas se kune
a iza ledja
 sve rijeci brise

Ref. 2x

Ref. 2x","https://tekstovi.net/2,692,47050.html",,,,,,,
zT3Xu5sD_1_97,Mišo Kovač,Mate Mišo Kovač,San Francisko,4868,"Ako dodjes u San Francisko
okiti cvijecem kosu svoju ti
ako dodjes u San Francisko
znam da ce ljudi dopast' ti se svi

Dosli su tu u San Francisko
s cvijecem u kosi, isto kao ti
jer u tom gradu, u San Francisku
kazu da snovi ispune se svi
 
Ref.
Ljudi crni i bijeli
tko zna, tko jos ih dijeli
srce je isto

Vrijeme pobjedu slavi
lude misli u glavi
srce je isto, srce je isto

K'o i svi sto dodju u San Francisko
stavi i ti u kosu svoju cvijet
ako dodjes u San Francisko
odjednom, znaj, zavoljeti ces svijet","https://tekstovi.net/2,692,41093.html",,,,,,,https://lyricstranslate.com/en/translations/36/36?page=29
zT3Xu5sD_1_98,Mišo Kovač,Mate Mišo Kovač,Sanjari,3597,"Dobro je vrijeme
za ljubav i srecu
grad je miran
tek pjesnici bdiju

Od tebe nocas
ja otici necu
zadnji sanjari
i za nas bdiju
 
Dobro je vrijeme
i sve nam je jasno
kise su davne
u njihovim snima

Ostani ovdje
i neka je kasno
mi cemo tako
nestati s njima

Ref. 2x
Sanjari, sanjari, sanjari
nasi stari drugari
sto zivot zive na jednoj gitari
sanjari, sanjari, sanjari

Dobro je vrijeme
u dusi sve tise
zvijezdane boli
prijete nam jace

Ostani ovdje
gdje ljubav se pise
tu gdje se smije
i kad se place

Ref. 2x","https://tekstovi.net/2,692,41094.html",,,,,,,
zT3Xu5sD_1_99,Mišo Kovač,Mate Mišo Kovač,Sibenske kale,455,"Zvone i sad moje kale
koracima, dragom pismon
ostale su iste kale
samo ljudi isti nismo

Otvaraju druge zene
ponistre i ista vrata
samo nigdi nema mene
´ko da vrati skvere sata
 
Ref. 2x 
Sibenske kale ostale di jesu
samo ja san davno prominija adresu
sibenske kale docekale druge
ne umiru one, ne umiru one
ne umiru one ka´ covik od tuge

Ostale su tople i tise
s arjon od proslog lita
samo na me ni´ko vise
ne racuna i ne pita

Ref. 2x","https://tekstovi.net/2,692,63197.html",,,,,,,
zT3Xu5sD_1_100,Mišo Kovač,Mate Mišo Kovač,Slijetale su lastavice,198,"Slijetale su lastavice
u dvorista neka davna
zivjeli smo nemilice
o, mladosti, jednostavna

Slijetale su lastavice
u proljeca neka rana
imala si i krila ptice
o, mladosti, nasmijana
 
Ref. 2x
Lomio sam tvoja krila
u tom dugom ludom letu
padali smo, al' si bila
ipak, najljepsa na svijetu

Sanjao sam lastavice
i proljeca neka rana
medju njima, tvoje lice
suzo moja isplakana

Ref. 2x","https://tekstovi.net/2,692,64035.html",,,,,,,
