Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Album_title_discogs,Featuring_discogs,Remix_discogs,Producer_discogs,Arranged By_discogs,Guitar_discogs,Vocals_discogs,Mixed By_discogs,Choir_discogs,Bass_discogs,Conductor_discogs,Drums_discogs,Keyboards_discogs,Strings_discogs,Guest_discogs,Album_year_discogs,Acoustic Guitar_discogs,Electric Guitar_discogs,Backing Vocals_discogs,Bass Guitar_discogs,Music By_discogs,Lyrics By_discogs,Vocals [Recital]_discogs,Oboe_discogs,Fife_discogs,Orchestrated By_discogs,Trumpet_discogs,Violin_discogs,Chorus Master_discogs,Mandolin_discogs,Written-By_discogs,Performer_discogs,Album_year_title_discogs,All_albums_discogs
Thompson,Marko Perković Thompson,Neću Izdat Ja,4:08,"E, Moj Narode",,,,,,Jadranka Krištof,,,,,,,,,,,,,,,,,,,,,,,,,,"nan-E, Moj Narode","nan-E, Moj Narode/nan-Sve Najbolje 1991. - 2003./2004.0-Turneja E Moj Narode/2004.0-Turneja E Moj Narode/nan-Bilo Jednom U Hrvatskoj - Stadion Maksimir Anno Domini MMVII/2013.0-Poljud Live Ora Et Labora/2015.0-The Best Of Collection/2016.0-Antologija/2019.0-Original Album Collection"
Thompson,Marko Perković Thompson,Zeleno Je Bilo Polje,4:07,"E, Moj Narode",,,,,,,Muc Softić,,,,,,,,,,,,,,,,,,,,,,,,,"nan-E, Moj Narode","nan-E, Moj Narode/2004.0-Turneja E Moj Narode/2008.0-Tri Kuma - No'1/2016.0-Antologija/2019.0-Original Album Collection"
Thompson,Marko Perković Thompson,Radost S' Visina,4:58,"E, Moj Narode",,,Branimir Mihaljević,Branimir Mihaljević,Boris Duginovački - Zamba,,,Zvjezdice,,,,,,,,,,,,,,,,,,,,,,,,"nan-E, Moj Narode","nan-E, Moj Narode/2016.0-Antologija/2019.0-Original Album Collection"
Thompson,Marko Perković Thompson,"Reci, Brate Moj",4:25,"E, Moj Narode",,,Nikša Bratoš,Nikša Bratoš,Nikša Bratoš,Miroslav Škoro,,,,,,,,,,,,,,,,,,,,,,,,,,"nan-E, Moj Narode","nan-E, Moj Narode/nan-Bilo Jednom U Hrvatskoj - Stadion Maksimir Anno Domini MMVII/2016.0-Antologija/2019.0-Original Album Collection"
Thompson,Marko Perković Thompson,Moj Ivane,3:33,"E, Moj Narode",,,,,,Kuprešaci,,,,,,,,,,,,,,,,,,,,,,,,,,"nan-E, Moj Narode","nan-E, Moj Narode/nan-Sve Najbolje 1991. - 2003./2004.0-Turneja E Moj Narode/nan-Bilo Jednom U Hrvatskoj - Stadion Maksimir Anno Domini MMVII/2008.0-Tri Kuma - No'1/2013.0-Poljud Live Ora Et Labora/2015.0-The Best Of Collection/2016.0-Antologija/2016.0-Knin 5.8.2015. - Dan Pobjede: 20. Obljetnica Operacije ""Oluja""/2019.0-Original Album Collection"
Thompson,Marko Perković Thompson,Ne Pitaj Mene,4:09,"E, Moj Narode",,,,,,,Hrvoje Grčević,,,,,,,,,,,,,,,,,,,,,,,,,"nan-E, Moj Narode","nan-E, Moj Narode/2016.0-Antologija/2019.0-Original Album Collection"
Thompson,Marko Perković Thompson,Stari Se,3:47,"E, Moj Narode",,,,,,Tiho Orlić,,,,,,,,,,,,,,,,,,,,,,,,,,"nan-E, Moj Narode","nan-E, Moj Narode/nan-Sve Najbolje 1991. - 2003./2004.0-Turneja E Moj Narode/nan-Bilo Jednom U Hrvatskoj - Stadion Maksimir Anno Domini MMVII/2016.0-Antologija/2019.0-Original Album Collection"
Thompson,Marko Perković Thompson,Geni Kameni (Uživo),6:01,"E, Moj Narode",,,,,Ante Pupačić,,,Zvjezdice,Tiho Orlić,Zdravko Šljivac,Marino Strmo,Mario Salvador,Zagreb Stars Orchestra,,,,,,,,,,,,,,,,,,,"nan-E, Moj Narode","nan-E, Moj Narode"
Thompson,Marko Perković Thompson,Ivane Pavle II,4:28,Sve Najbolje 1991. - 2003.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Sve Najbolje 1991. - 2003.,nan-Sve Najbolje 1991. - 2003./2008.0-Druga Strana/2016.0-Antologija
Thompson,Marko Perković Thompson,Radost S Visina,4:57,Sve Najbolje 1991. - 2003.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Sve Najbolje 1991. - 2003.,nan-Sve Najbolje 1991. - 2003./2004.0-Turneja E Moj Narode
Thompson,Marko Perković Thompson,Reci Brate Moj,4:23,Sve Najbolje 1991. - 2003.,,,,,,Miroslav Škoro,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Sve Najbolje 1991. - 2003.,nan-Sve Najbolje 1991. - 2003./2004.0-Turneja E Moj Narode/2008.0-Tri Kuma - No'1
Thompson,Marko Perković Thompson,Rosa,2:57,Sve Najbolje 1991. - 2003.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Sve Najbolje 1991. - 2003.,nan-Sve Najbolje 1991. - 2003./2004.0-Turneja E Moj Narode/2008.0-Druga Strana/2016.0-Antologija/2019.0-Original Album Collection
